X519679,X400022,X165521,X000550,X001626,X000042,X270023,X202801,X160132,X762001,X519710,X000656,X001156,X519655,X570006,X165509,X000118,X001236,X110027,X690005,X001276,X162201,X530011,X519026,X000619,X000466,X001600,X000601,X000251,X000117,X110001,X001338,X001463,X288002,X501001,X000688,X502020,X000481,X310508,X050002,X163110,X161616,X000541,X519727,X040015,X164905,X070010,X320018,X001170
3.8970,1.0071,0.8520,2.3720,1.0070,1.5660,1.4380,0.8230,0.9430,1.6598,1.0150,1.3290,0.9660,0.8600,1.4730,1.1460,1.3040,0.7350,1.5070,0.8010,0.6970,1.5580,1.4970,1.1710,1.9560,0.9960,1.0514,1.0080,2.4100,1.7050,2.6040,1.0630,0.8860,4.2360,1.0550,1.3430,1.1880,1.2840,1.2820,1.2210,0.8890,1.1460,1.9870,1.5190,1.8780,1.4440,0.6760,1.7940,0.9450
3.9250,1.0062,0.8530,2.3750,1.0110,1.5640,1.4870,0.8210,0.9450,1.6598,1.0150,1.3290,0.9660,0.8610,1.4870,1.1460,1.3080,0.7440,1.5080,0.8180,0.7000,1.5601,1.4570,1.1840,1.9620,0.9930,1.0452,1.0010,2.4340,1.6450,2.5410,1.0640,0.8810,4.2170,1.0330,1.3460,1.1910,1.2810,1.2820,1.1571,0.8740,1.1400,1.9880,1.5050,1.8570,1.4410,0.6740,1.7910,0.9360
3.8440,1.0093,0.8580,2.3480,1.0010,1.5450,1.4950,0.8230,0.9360,1.6599,1.0010,1.3050,0.9640,0.8540,1.4560,1.1460,1.2980,0.7280,1.4960,0.8110,0.7290,1.5198,1.4830,1.1460,1.9370,0.9910,1.0174,0.9770,2.3970,1.6930,2.5840,1.0640,0.8670,4.2620,1.0280,1.3200,1.1740,1.2740,1.2830,1.1629,0.8790,1.0900,1.9440,1.4760,1.8850,1.4690,0.6740,1.7810,0.9140
3.8430,1.0121,0.8550,2.3510,1.0020,1.5420,1.5070,0.8220,0.9380,1.6600,1.0000,1.3010,0.9640,0.8590,1.4520,1.1460,1.3000,0.7240,1.4940,0.8160,0.7390,1.5116,1.4850,1.1450,1.9330,0.9870,1.0116,0.9740,2.3840,1.6640,2.5820,1.0640,0.8690,4.2970,1.0340,1.3220,1.1700,1.2730,1.2830,1.1734,0.8990,1.0960,1.9190,1.4720,1.8800,1.4480,0.6970,1.7780,0.9140
4.0150,1.0118,0.8560,2.4560,1.0240,1.5950,1.4970,0.8130,0.9560,1.6602,1.0290,1.3600,0.9710,0.8890,1.5300,1.1470,1.3130,0.7610,1.5220,0.8070,0.7310,1.5950,1.5460,1.2090,2.0050,0.9860,1.0630,1.0220,2.5010,1.6400,2.5500,1.0640,0.9090,4.2880,1.0360,1.3900,1.2230,1.2870,1.2830,1.2138,0.9110,1.1200,2.0160,1.5300,1.8570,1.4130,0.7080,1.8320,0.9600
4.0150,1.0069,0.8550,2.4810,1.0250,1.6250,1.4920,0.8220,0.9610,1.6601,1.0320,1.3860,0.9710,0.8850,1.5370,1.1460,1.3100,0.7590,1.5260,0.8030,0.7410,1.6030,1.5440,1.2070,2.0120,0.9720,1.0686,1.0190,2.5660,1.6980,2.6150,1.0640,0.9170,4.2340,1.0440,1.3820,1.2580,1.2850,1.2830,1.2233,0.9110,1.1130,2.0090,1.5440,1.8950,1.4680,0.7030,1.8160,0.9640
4.1350,1.0110,0.8600,2.5480,1.0410,1.6380,1.5090,0.8190,0.9760,1.6610,1.0700,1.4180,0.9740,0.9060,1.5840,1.1470,1.3210,0.7840,1.5480,0.8060,0.7530,1.6713,1.5960,1.2530,2.0460,0.9710,1.0977,1.0500,2.6380,1.7200,2.6440,1.0650,0.9350,4.2430,1.0390,1.4170,1.2830,1.2910,1.2850,1.2015,0.9190,1.1280,2.0700,1.5760,1.8990,1.4810,0.6860,1.8590,0.9900
4.2580,1.0166,0.8560,2.5880,1.0600,1.6470,1.5120,0.8100,0.9690,1.6611,1.0880,1.4340,0.9810,0.9190,1.6210,1.1440,1.3170,0.8030,1.5390,0.8060,0.7460,1.7090,1.6240,1.2920,2.0630,0.9730,1.1110,1.0650,2.6800,1.7010,2.6220,1.0670,0.9470,4.1140,1.0450,1.4430,1.3010,1.2940,1.2830,1.2029,0.9160,1.1310,2.1160,1.5890,1.8860,1.4470,0.6970,1.8760,0.9970
4.3030,1.0165,0.8600,2.6070,1.0640,1.6460,1.5120,0.8110,0.9720,1.6621,1.1060,1.4330,0.9840,0.9170,1.6370,1.1420,1.3150,0.8060,1.5420,0.8030,0.7460,1.7233,1.6230,1.2990,2.0520,0.9740,1.1132,1.0690,2.6800,1.7290,2.6430,1.0680,0.9480,4.0790,1.0400,1.4440,1.2940,1.2960,1.2810,1.1819,0.9240,1.1180,2.1570,1.6040,1.8980,1.4630,0.7050,1.8870,0.9930
4.3870,1.0137,0.8590,2.6450,1.0750,1.6400,1.5160,0.8070,0.9720,1.6632,1.1130,1.4340,0.9860,0.9290,1.6480,1.1430,1.3170,0.8250,1.5470,0.8160,0.7090,1.7380,1.6520,1.3230,2.0520,0.9750,1.1271,1.0940,2.6810,1.7920,2.6890,1.0690,0.9480,4.1180,1.0460,1.4690,1.2850,1.3030,1.2820,1.1859,0.9300,1.1430,2.1960,1.6210,1.9380,1.4910,0.6840,1.9130,1.0060
