data,东方利群混合型发起式证券投资基金A类(400022)
1,1.2937
2,1.2960
3,1.2996
4,1.2956
5,1.2899
6,1.2934
7,1.2978
8,1.2974
9,1.3014
10,1.3019
11,1.0001
12,1.0006
13,1.0010
14,1.0012
15,1.0016
16,1.0021
17,1.0022
18,1.0021
19,1.0032
20,1.0034
21,1.0037
22,1.0037
23,1.0037
24,1.0039
25,1.0040
26,1.0041
27,1.0040
28,1.0044
29,1.0046
30,1.0046
31,1.0046
32,1.0058
33,1.0057
34,1.0048
35,1.0052
36,1.0059
37,1.0059
38,1.0063
39,1.0051
40,1.0050
41,1.0060
42,1.0084
43,1.0084
44,1.0087
45,1.0095
46,1.0090
47,1.0083
48,1.0054
49,1.0053
50,1.0053
51,1.0074
52,1.0066
53,1.0048
54,1.0050
55,1.0043
56,1.0036
57,1.0032
58,1.0063
59,1.0062
60,1.0051
61,1.0046
62,1.0049
63,1.0027
64,1.0020
65,1.0007
66,1.0036
67,1.0032
68,1.0063
69,1.0062
70,1.0051
71,1.0046
72,1.0049
73,1.0027
74,1.0020
75,1.0007
76,0.9994
77,1.0003
78,0.9980
79,0.9996
80,1.0043
81,1.0149
82,1.0138
83,1.0148
84,1.0100
85,1.0075
86,1.0071
87,1.0062
88,1.0093
89,1.0121
90,1.0118
91,1.0069
92,1.0110
93,1.0166
94,1.0165
95,1.0137
96,1.0071
97,1.0062
98,1.0093
99,1.0121
100,1.0118
101,1.0069
102,1.0110
103,1.0166
104,1.0165
105,1.0137
106,1.0164
107,1.0181
108,1.0129
109,1.0126
110,1.0137
111,1.0115
112,1.0084
113,1.0080
114,1.0027
115,0.9942
116,0.9934
117,0.9948
118,0.9985
119,0.9924
120,0.9999
121,0.9990
122,1.0044
123,1.0029
124,0.9987
125,0.9915
126,0.9934
127,0.9948
128,0.9985
129,0.9924
130,0.9999
131,0.9990
132,1.0044
133,1.0029
134,0.9987
135,0.9915
136,0.9904
137,0.9896
138,0.9889
139,0.9879
140,0.9872
141,0.9880
142,0.9874
143,0.9880
144,0.9870
145,0.9870
146,0.9904
147,0.9896
148,0.9889
149,0.9879
150,0.9872
151,0.9880
152,0.9874
153,0.9880
154,0.9870
155,0.9870
156,0.9876
157,0.9893
158,0.9889
159,0.9899
160,0.9895
161,0.9932
162,0.9945
163,0.9929
164,0.9937
165,0.9951
166,0.9955
167,0.9957
168,0.9954
169,0.9958
170,0.9964
171,0.9961
172,0.9969
173,0.9965
174,0.9963
175,0.9946
176,0.9955
177,0.9957
178,0.9954
179,0.9958
180,0.9964
181,0.9961
182,0.9969
183,0.9965
184,0.9963
185,0.9946
186,0.9938
187,0.9941
188,0.9942
189,0.9951
190,0.9953
191,0.9956
192,0.9950
193,0.9964
194,0.9960
195,0.9950
196,0.9938
197,0.9941
198,0.9942
199,0.9951
200,0.9953
201,0.9956
202,0.9950
203,0.9964
204,0.9960
205,0.9950
