data,东方红产业升级灵活配置混合型证券投资基金(000619)
1,1.0000
2,1.0000
3,1.0000
4,1.0010
5,1.0010
6,1.0010
7,1.0010
8,1.0020
9,1.0020
10,1.0030
11,1.0030
12,1.0070
13,1.0100
14,1.0090
15,1.0040
16,1.0060
17,1.0080
18,1.0160
19,1.0190
20,1.0300
21,1.0360
22,1.0520
23,1.0530
24,1.0410
25,1.0570
26,1.0520
27,1.0710
28,1.0640
29,1.0540
30,1.0380
31,1.0380
32,1.0490
33,1.0580
34,1.0590
35,1.0470
36,1.0580
37,1.0650
38,1.0630
39,1.0580
40,1.0540
41,1.0590
42,1.0520
43,1.0530
44,1.0570
45,1.0480
46,1.0550
47,1.0600
48,1.0730
49,1.0860
50,1.0920
51,1.0930
52,1.0860
53,1.0850
54,1.0770
55,1.0820
56,1.0840
57,1.0590
58,1.0670
59,1.0740
60,1.0840
61,1.0690
62,1.0790
63,1.0880
64,1.0900
65,1.0950
66,1.1030
67,1.1070
68,1.1220
69,1.1160
70,1.1080
71,1.1020
72,1.0960
73,1.1070
74,1.0890
75,1.0920
76,1.1030
77,1.0990
78,1.0910
79,1.0810
80,1.0800
81,1.0750
82,1.0920
83,1.1030
84,1.1180
85,1.1240
86,1.1240
87,1.1150
88,1.1080
89,1.1130
90,1.1060
91,1.1260
92,1.1090
93,1.1200
94,1.1190
95,1.1170
96,1.1150
97,1.1100
98,1.1110
99,1.1080
100,1.1130
101,1.1330
102,1.1450
103,1.1590
104,1.1700
105,1.1820
106,1.1890
107,1.2250
108,1.2450
109,1.2960
110,1.2930
111,1.3370
112,1.2750
113,1.3260
114,1.3250
115,1.3170
116,1.3200
117,1.3290
118,1.3250
119,1.3290
120,1.3290
121,1.3330
122,1.3220
123,1.3060
124,1.3330
125,1.3730
126,1.3930
127,1.3890
128,1.4290
129,1.4860
130,1.4870
131,1.4810
132,1.4660
133,1.4630
134,1.4730
135,1.4810
136,1.4680
137,1.4840
138,1.5020
139,1.4310
140,1.4650
141,1.5020
142,1.5050
143,1.4900
144,1.5020
145,1.5040
146,1.4820
147,1.4680
148,1.4510
149,1.4410
150,1.4670
151,1.4650
152,1.4480
153,1.4210
154,1.4250
155,1.4500
156,1.4690
157,1.4790
158,1.4850
159,1.5060
160,1.5160
161,1.5000
162,1.5150
163,1.5250
164,1.5400
165,1.5020
166,1.5220
167,1.4970
168,1.4790
169,1.4930
170,1.5120
171,1.5120
172,1.5170
173,1.5280
174,1.5780
175,1.5920
176,1.6170
177,1.6280
178,1.6390
179,1.6630
180,1.6420
181,1.6650
182,1.6550
183,1.6800
184,1.7300
185,1.7390
186,1.7830
187,1.8150
188,1.8220
189,1.8510
190,1.8460
191,1.8430
192,1.8980
193,1.9090
194,1.8760
195,1.8200
196,1.8670
197,1.8690
198,1.8170
199,1.8880
200,1.9330
201,1.9430
202,1.9080
203,1.9350
204,1.8950
205,1.9470
206,1.9680
207,1.9920
208,1.9270
209,1.9550
210,1.9530
211,2.0160
212,2.0820
213,2.1170
214,2.1440
215,2.1100
216,2.1010
217,2.1090
218,2.1920
219,2.2480
220,2.3260
221,2.3840
222,2.4640
223,2.5500
224,2.5170
225,2.3980
226,2.3960
227,2.4750
228,2.5110
229,2.5170
230,2.4780
231,2.4850
232,2.4940
233,2.5030
234,2.5350
235,2.5240
236,2.5520
237,2.4930
238,2.4230
