data,中欧成长优选回报灵活配置混合型发起式证券投资基金A(166020)
1,1.1759
2,1.1691
3,1.1698
4,1.1680
5,1.1636
6,1.1696
7,1.1726
8,1.1702
9,1.1704
10,1.1746
11,1.0000
12,1.0000
13,1.0010
14,1.0010
15,1.0020
16,1.0020
17,1.0010
18,1.0010
19,1.0010
20,1.0010
21,1.0030
22,1.0040
23,1.0030
24,1.0040
25,1.0040
26,1.0030
27,1.0000
28,1.0000
29,1.0010
30,1.0040
31,1.0030
32,1.0020
33,1.0010
34,0.9970
35,0.9980
36,0.9970
37,1.0020
38,0.9990
39,0.9990
40,1.0000
41,1.0030
42,1.0010
43,0.9950
44,0.9930
45,0.9950
46,0.9960
47,0.9940
48,0.9980
49,1.0020
50,1.0060
51,1.0070
52,1.0080
53,1.0050
54,1.0040
55,1.0030
56,1.0060
57,1.0110
58,1.0160
59,1.0230
60,1.0000
61,1.0100
62,1.0120
63,1.0070
64,1.0040
65,1.0140
66,1.0150
67,1.0130
68,1.0200
69,1.0210
70,1.0150
71,1.0110
72,1.0110
73,1.0100
74,1.0050
75,1.0090
76,1.0190
77,1.0300
78,1.0180
79,1.0290
80,1.0330
81,1.0300
82,1.0400
83,1.0370
84,1.0190
85,1.0250
86,1.0350
87,1.0260
88,1.0100
89,1.0080
90,1.0230
91,1.0320
92,1.0290
93,1.0210
94,1.0110
95,1.0190
96,1.0310
97,1.0390
98,1.0420
99,1.0410
100,1.0420
101,1.0470
102,1.0490
103,1.0520
104,1.0540
105,1.0660
106,1.0730
107,1.0740
108,1.0760
109,1.0750
110,1.0760
111,1.0760
112,1.0760
113,1.0760
114,1.0760
115,1.0770
116,1.0770
117,1.0770
118,1.0770
119,1.0770
120,1.0770
121,1.0780
122,1.0780
123,1.0780
124,1.0760
125,1.0770
126,1.0770
127,1.0770
128,1.0770
129,1.0770
130,1.0770
131,1.0780
132,1.0780
133,1.0780
134,1.0780
135,1.0780
136,1.0780
137,1.0780
138,1.0780
139,1.0780
140,1.0790
141,1.0790
142,1.0790
143,1.0790
144,1.0790
145,1.0790
146,1.0790
147,1.0790
148,1.0790
149,1.0790
150,1.0790
151,1.0790
152,1.0790
153,1.0790
154,1.0800
155,1.0800
156,1.0800
157,1.0800
158,1.0800
159,1.0800
160,1.0800
161,1.0800
162,1.0800
163,1.0800
164,1.0810
165,1.0810
166,1.0810
167,1.0810
168,1.0810
169,1.0810
170,1.0810
171,1.0810
172,1.0810
173,1.0810
174,1.0810
175,1.0810
176,1.0810
177,1.0810
178,1.0810
179,1.0810
180,1.0810
181,1.0810
182,1.0810
183,1.0810
184,1.0810
185,1.0810
186,1.0830
187,1.0830
188,1.0830
189,1.0820
190,1.0820
191,1.0820
192,1.0820
193,1.0820
194,1.0820
195,1.0820
196,1.0830
197,1.0830
198,1.0830
199,1.0830
200,1.0830
201,1.0840
202,1.0840
203,1.0840
204,1.0840
205,1.0840
206,1.0840
207,1.0840
208,1.0860
209,1.0860
210,1.0870
211,1.0880
212,1.0950
213,1.0980
214,1.0840
215,1.0840
216,1.0840
217,1.0840
218,1.0860
219,1.0860
220,1.0870
221,1.0880
222,1.0950
223,1.0980
224,1.1010
225,1.1050
226,1.1080
227,1.1120
228,1.1160
229,1.1210
230,1.1260
231,1.1230
232,1.1180
233,1.1170
234,1.1150
235,1.1140
236,1.1150
237,1.1130
238,1.1140
239,1.1120
240,1.1130
241,1.1130
242,1.1160
243,1.1150
244,1.1140
245,1.1150
246,1.1160
247,1.1150
248,1.1150
249,1.1150
250,1.1160
251,1.1160
252,1.1150
253,1.1150
254,1.1160
255,1.1170
256,1.1170
257,1.1180
258,1.1170
259,1.1190
260,1.1200
261,1.1180
262,1.1180
263,1.1200
264,1.1210
265,1.1220
266,1.1250
267,1.1240
268,1.1250
