data,中欧行业成长混合型证券投资基金（LOF）C(004231)
1,0.9780
2,0.9707
3,0.9638
4,0.9688
5,0.9767
6,0.9738
7,0.9818
8,0.9898
9,0.9878
10,0.9893
11,0.9986
12,0.9915
13,0.9949
14,0.9960
15,0.9997
16,1.0005
17,1.0013
18,1.0079
19,1.0123
20,1.0069
21,1.0125
22,1.0060
23,1.0246
24,1.0289
25,1.0371
26,1.0311
27,1.0277
28,1.0189
29,1.0207
30,1.0232
31,1.0245
32,1.0277
33,1.0378
34,1.0421
35,1.0373
36,1.0266
37,1.0336
38,1.0441
39,1.0484
40,1.0523
41,1.0582
42,1.0451
43,1.0467
44,1.0613
45,1.0638
46,1.0673
47,1.0714
48,1.0618
49,1.0569
50,1.0575
51,1.0501
52,1.0627
53,1.0765
54,1.0743
55,1.0789
56,1.0719
57,1.0640
58,1.0624
59,1.0677
60,1.0547
61,1.0542
62,1.0640
63,1.0674
64,1.0774
65,1.0717
66,1.0577
67,1.0734
68,1.0710
69,1.0748
70,1.0715
71,1.0772
72,1.0747
73,1.0753
74,1.0693
75,1.0491
76,1.0566
77,1.0561
78,1.0676
79,1.0739
80,1.0800
81,1.1040
82,1.0930
83,1.0858
84,1.0889
85,1.0922
86,1.0946
87,1.0934
88,1.0883
89,1.0811
90,1.0808
91,1.0794
92,1.0763
93,1.0812
94,1.0942
95,1.1100
96,1.1225
97,1.1276
98,1.1243
99,1.1364
100,1.1252
101,1.1245
102,1.1255
103,1.1360
104,1.1373
105,1.1561
106,1.1517
107,1.1706
108,1.1839
109,1.1882
110,1.1703
111,1.1786
112,1.1836
113,1.1756
114,1.1664
115,1.1848
116,1.1862
117,1.1842
118,1.1764
119,1.1804
120,1.1768
121,1.1773
122,1.1802
123,1.1696
124,1.1673
125,1.1896
126,1.2026
127,1.1969
128,1.1975
129,1.1912
130,1.1854
131,1.1771
132,1.1912
133,1.2012
134,1.2001
135,1.1973
136,1.1911
137,1.1851
138,1.1960
139,1.1903
140,1.1936
141,1.1829
142,1.1595
143,1.1846
144,1.1912
145,1.1856
146,1.1851
147,1.1806
148,1.1901
149,1.1921
150,1.1879
151,1.1858
152,1.1993
153,1.2094
154,1.2091
155,1.2222
156,1.2214
157,1.2326
158,1.2311
159,1.2388
160,1.2383
161,1.2291
162,1.2298
163,1.0950
164,1.1027
165,1.1076
166,1.0991
167,1.0975
168,1.1098
169,1.1006
170,1.1079
171,1.1020
172,1.1006
173,1.0995
174,1.1008
175,1.1085
176,1.1150
177,1.1267
178,1.1401
179,1.1423
180,1.1467
181,1.1477
182,1.1482
183,1.1441
184,1.1520
185,1.1618
186,1.1601
187,1.1558
188,1.1598
189,1.1595
190,1.1659
191,1.1709
192,1.1855
193,1.1854
194,1.1884
195,1.1797
196,1.1777
197,1.1775
198,1.2018
199,1.2046
200,1.2010
201,1.2123
202,1.2390
