data,中融竞争优势股票型证券投资基金(003145)
1,0.9979
2,0.9916
3,0.9960
4,0.9882
5,1.0073
6,1.0076
7,1.0028
8,0.9946
9,0.9923
10,0.9974
11,0.9885
12,0.9968
13,0.9960
14,1.0084
15,1.0136
16,1.0137
17,1.0024
18,1.0026
19,1.0050
20,1.0101
21,1.0018
22,0.9897
23,0.9947
24,0.9904
25,0.9856
26,0.9876
27,0.9885
28,0.9678
29,0.9724
30,0.9716
31,0.9772
32,0.9698
33,0.9644
34,0.9017
35,0.9054
36,0.8963
37,0.9053
38,0.9178
39,0.9083
40,0.9092
41,0.9149
42,0.9112
43,0.9071
44,0.9121
45,0.9126
46,0.9082
47,0.9045
48,0.9054
49,0.9054
50,0.9081
51,0.9192
52,0.9151
53,0.9006
54,0.9010
55,0.8975
56,0.8902
57,0.8804
58,0.8635
59,0.8261
60,0.8424
61,0.8321
62,0.8268
63,0.8460
64,0.8522
65,0.8418
66,0.8466
67,0.8562
68,0.8493
69,0.8611
70,0.8586
71,0.8686
72,0.8749
73,0.8650
74,0.8681
75,0.8649
76,0.8586
77,0.8593
78,0.8517
79,0.8503
80,0.8605
81,0.8624
82,0.8677
83,0.8762
84,0.8745
85,0.8767
86,0.8785
87,0.8785
88,0.8896
89,0.9058
90,0.9099
91,0.9037
92,0.8988
93,0.8981
94,0.9112
95,0.9093
96,0.9054
97,0.9167
98,0.9053
99,0.9091
100,0.9097
101,0.9046
102,0.9042
103,0.9046
104,0.9003
105,0.8914
106,0.8725
107,0.8492
108,0.8498
109,0.8659
110,0.8637
111,0.8645
112,0.8557
113,0.8614
114,0.8511
115,0.8531
116,0.8468
117,0.8400
118,0.8353
119,0.8309
120,0.8374
121,0.8300
122,0.8107
123,0.8207
124,0.8314
125,0.8517
126,0.8510
127,0.8559
128,0.8531
129,0.8309
130,0.8374
131,0.8300
132,0.8107
133,0.8207
134,0.8314
135,0.8517
136,0.8510
137,0.8559
138,0.8531
139,0.8507
140,0.8407
141,0.8237
142,0.8320
143,0.8251
144,0.8306
145,0.8240
146,0.8378
147,0.8685
148,0.8640
149,0.8535
150,0.8458
151,0.8442
152,0.8273
153,0.8332
154,0.8303
155,0.8220
156,0.8180
157,0.8027
158,0.8088
159,0.8535
160,0.8458
161,0.8442
162,0.8273
163,0.8332
164,0.8303
165,0.8220
166,0.8180
167,0.8027
168,0.8088
169,0.8206
170,0.8254
171,0.8478
172,0.8491
173,0.8499
174,0.8358
175,0.8531
176,0.8492
177,0.8587
178,0.8618
179,0.9057
180,0.9004
181,0.9279
182,0.9342
183,0.9444
184,0.9317
185,0.9214
186,0.9385
187,0.9199
188,0.9253
189,0.8913
190,0.8920
191,0.9184
192,0.9308
193,0.9407
194,0.9365
195,0.9316
196,0.9278
197,0.9294
198,0.9455
199,0.9542
200,0.9540
201,0.9515
202,0.9436
203,0.9234
204,0.9259
205,0.9215
206,0.9266
207,0.9252
208,0.9088
209,0.9510
210,0.9597
211,0.9569
212,0.9574
213,0.9416
214,0.9483
215,0.9560
216,0.9442
217,0.9366
218,0.9427
219,0.9645
220,0.9682
221,0.9742
222,0.9853
223,1.0038
224,1.0149
225,1.0318
226,1.0489
227,1.0455
228,1.0499
229,1.0942
230,1.0633
231,1.0751
232,1.0526
233,1.0441
234,1.0546
235,1.0343
236,1.0443
237,1.0222
238,1.0179
239,1.0038
240,1.0133
241,1.0419
242,1.0405
243,1.0344
244,1.0478
245,1.0387
246,1.0275
247,1.0240
248,1.0376
249,1.0266
250,1.0209
251,1.0181
252,1.0149
253,1.0385
254,1.0438
255,1.0463
256,1.0469
257,1.0482
258,1.0432
259,1.0453
260,1.0704
261,1.0724
262,1.0610
263,1.0583
264,1.0734
265,1.0746
266,1.0832
267,1.1020
268,1.1154
