data,中证财通中国可持续发展100（ECPI(000042)
1,1.0000
2,1.0000
3,1.0010
4,1.0010
5,1.0010
6,1.0060
7,1.0040
8,1.0000
9,0.9990
10,1.0080
11,1.0180
12,1.0210
13,1.0220
14,1.0210
15,1.0230
16,1.0220
17,1.0170
18,1.0170
19,1.0280
20,1.0430
21,1.0480
22,1.0490
23,1.0490
24,1.0370
25,1.0410
26,1.0420
27,1.0550
28,1.0550
29,1.0500
30,1.0430
31,1.0400
32,1.0260
33,1.0260
34,1.0150
35,0.9980
36,0.9690
37,0.9730
38,0.9680
39,0.9710
40,0.9660
41,0.9420
42,0.9390
43,0.8980
44,0.8940
45,0.8960
46,0.8940
47,0.9040
48,0.9040
49,0.9080
50,0.9120
51,0.9040
52,0.9150
53,0.9160
54,0.8900
55,0.8900
56,0.9140
57,0.9490
58,0.9320
59,0.9430
60,0.9480
61,0.9360
62,0.9230
63,0.9050
64,0.9110
65,0.9340
66,0.9290
67,0.9270
68,0.9230
69,0.9060
70,0.9130
71,0.9140
72,0.9330
73,0.9340
74,0.9470
75,0.9520
76,0.9460
77,0.9450
78,0.9500
79,0.9760
80,0.9780
81,0.9730
82,0.9630
83,0.9540
84,0.9650
85,0.9580
86,0.9590
87,0.9550
88,0.9470
89,0.9640
90,0.9690
91,0.9680
92,0.9630
93,0.9620
94,0.9630
95,0.9700
96,0.9700
97,0.9650
98,0.9690
99,0.9860
100,0.9960
101,1.0040
102,1.0070
103,1.0060
104,1.0030
105,0.9880
106,0.9910
107,1.0030
108,0.9920
109,0.9850
110,0.9690
111,0.9720
112,0.9750
113,0.9880
114,0.9900
115,0.9840
116,0.9990
117,1.0070
118,1.0060
119,0.9860
120,0.9840
121,0.9860
122,1.0010
123,0.9950
124,0.9840
125,0.9800
126,0.9660
127,0.9650
128,0.9570
129,0.9720
130,0.9650
131,0.9680
132,0.9690
133,0.9710
134,0.9600
135,0.9540
136,0.9420
137,0.9470
138,0.9560
139,0.9390
140,0.9440
141,0.9580
142,0.9800
143,0.9770
144,0.9830
145,0.9790
146,0.9740
147,0.9700
148,0.9710
149,0.9800
150,0.9930
151,0.9920
152,0.9770
153,0.9910
154,1.0070
155,1.0050
156,1.0020
157,1.0010
158,1.0010
159,0.9850
160,0.9830
161,0.9820
162,0.9660
163,0.9610
164,0.9610
165,0.9520
166,0.9310
167,0.9330
168,0.9340
169,0.9400
170,0.9230
171,0.9380
172,0.9350
173,0.9450
174,0.9410
175,0.9310
176,0.9070
177,0.9070
178,0.9030
179,0.8930
180,0.8850
181,0.8840
182,0.8900
183,0.8880
184,0.8910
185,0.8770
186,0.8720
187,0.8810
188,0.9020
189,0.8980
190,0.9050
191,0.8940
192,0.8950
193,0.8960
194,0.8860
195,0.8890
196,0.9100
197,0.9170
198,0.9210
199,0.9150
200,0.9230
201,0.9320
202,0.9230
203,0.9340
204,0.9290
205,0.9180
206,0.8990
207,0.8770
208,0.8820
209,0.8780
210,0.8860
211,0.8950
212,0.8920
213,0.8870
214,0.8890
215,0.8870
216,0.8610
217,0.8650
218,0.8680
219,0.8770
220,0.8710
221,0.8790
222,0.8780
223,0.8750
224,0.8610
225,0.8850
226,0.8950
227,0.8950
228,0.8920
229,0.8850
230,0.8830
231,0.8810
232,0.8890
233,0.8950
234,0.8880
235,0.8940
236,0.9090
237,0.9100
238,0.9200
239,0.9180
