data,中邮消费升级灵活配置混合型发起式证券投资基金(003513)
1,1.0000
2,1.0000
3,1.0000
4,1.0000
5,1.0000
6,1.0010
7,1.0000
8,1.0030
9,1.0040
10,1.0040
11,1.0050
12,1.0060
13,1.0040
14,1.0050
15,1.0090
16,1.0080
17,1.0000
18,1.0030
19,1.0040
20,1.0040
21,1.0050
22,1.0060
23,1.0040
24,1.0050
25,1.0090
26,1.0080
27,1.0100
28,1.0100
29,1.0110
30,1.0110
31,1.0050
32,1.0060
33,1.0050
34,0.9990
35,0.9980
36,0.9970
37,1.0000
38,1.0010
39,1.0030
40,1.0070
41,1.0050
42,1.0020
43,1.0040
44,1.0050
45,1.0040
46,1.0090
47,1.0120
48,1.0130
49,1.0110
50,1.0120
51,1.0130
52,1.0160
53,1.0120
54,1.0120
55,1.0160
56,1.0120
57,1.0120
58,1.0130
59,1.0110
60,1.0120
61,1.0130
62,1.0160
63,1.0120
64,1.0120
65,1.0160
66,1.0120
67,1.0110
68,1.0210
69,1.0240
70,1.0200
71,1.0250
72,1.0200
73,1.0150
74,1.0130
75,1.0020
76,1.0070
77,1.0200
78,1.0180
79,1.0100
80,1.0030
81,1.0000
82,0.9970
83,1.0030
84,0.9940
85,0.9830
86,0.9840
87,1.0200
88,1.0180
89,1.0100
90,1.0030
91,1.0000
92,0.9970
93,1.0030
94,0.9940
95,0.9830
96,0.9840
97,0.9780
98,0.9810
99,0.9800
100,0.9680
101,0.9690
102,0.9740
103,0.9820
104,0.9840
105,0.9830
106,0.9820
107,0.9780
108,0.9810
109,0.9800
110,0.9680
111,0.9690
112,0.9740
113,0.9820
114,0.9840
115,0.9830
116,0.9820
117,0.9800
118,0.9710
119,0.9650
120,0.9650
121,0.9580
122,0.9600
123,0.9530
124,0.9570
125,0.9740
126,0.9770
127,0.9800
128,0.9710
129,0.9650
130,0.9650
131,0.9580
132,0.9600
133,0.9530
134,0.9570
135,0.9740
136,0.9770
137,0.9740
138,0.9710
139,0.9610
140,0.9540
141,0.9560
142,0.9580
143,0.9560
144,0.9560
145,0.9480
146,0.9540
147,0.9610
148,0.9640
149,0.9720
150,0.9710
151,0.9750
152,0.9730
153,0.9760
154,0.9730
155,0.9750
156,0.9760
157,0.9610
158,0.9640
159,0.9720
160,0.9710
161,0.9750
162,0.9730
163,0.9760
164,0.9730
165,0.9750
166,0.9760
167,0.9800
168,0.9790
169,0.9870
170,0.9810
171,0.9860
172,0.9960
173,0.9940
174,0.9870
175,0.9910
176,0.9970
177,0.9800
178,0.9790
179,0.9870
180,0.9810
181,0.9860
182,0.9960
183,0.9940
184,0.9870
185,0.9910
186,0.9970
187,0.9930
188,0.9880
189,0.9960
190,0.9950
191,0.9980
192,0.9870
193,0.9840
194,0.9790
195,0.9720
196,0.9710
197,0.9930
198,0.9880
199,0.9960
200,0.9950
201,0.9980
202,0.9870
203,0.9840
204,0.9790
205,0.9720
206,0.9710
207,0.9500
208,0.9550
209,0.9640
210,0.9650
211,0.9670
212,0.9700
213,0.9680
214,0.9610
215,0.9720
216,0.9700
217,0.9680
218,0.9680
219,0.9590
220,0.9530
221,0.9510
222,0.9530
223,0.9530
224,0.9540
225,0.9580
226,0.9510
227,0.9680
228,0.9680
229,0.9590
230,0.9530
231,0.9510
232,0.9530
233,0.9530
234,0.9540
235,0.9580
236,0.9510
237,0.9710
238,0.9740
239,0.9760
240,0.9730
241,0.9670
242,0.9730
243,0.9690
244,0.9710
245,0.9660
246,0.9710
247,0.9710
248,0.9740
249,0.9760
250,0.9730
251,0.9670
252,0.9730
253,0.9690
254,0.9710
255,0.9660
256,0.9710
257,0.9850
258,0.9880
259,0.9940
260,0.9970
261,1.0050
262,1.0050
263,1.0060
264,1.0010
265,0.9990
266,0.9990
267,0.9850
268,0.9880
269,0.9940
270,0.9970
271,1.0050
272,1.0050
273,1.0060
274,1.0010
275,0.9990
276,0.9990
277,1.0010
278,1.0060
279,1.0080
280,1.0080
281,1.0050
282,1.0140
283,1.0060
284,1.0110
285,1.0080
286,1.0080
287,1.0010
288,1.0060
289,1.0080
290,1.0080
291,1.0050
292,1.0140
293,1.0060
294,1.0110
295,1.0080
296,1.0080
297,1.0030
298,1.0000
299,1.0080
300,1.0110
301,1.0180
302,1.0270
303,1.0320
304,1.0350
305,1.0330
306,1.0450
307,1.0030
308,1.0000
309,1.0080
310,1.0110
311,1.0180
312,1.0270
313,1.0320
314,1.0350
315,1.0330
316,1.0450
317,1.0350
318,1.0360
319,1.0430
320,1.0410
321,1.0400
322,1.0470
323,1.0500
324,1.0570
325,1.0590
326,1.0640
327,1.0350
328,1.0360
329,1.0430
330,1.0410
331,1.0400
332,1.0470
333,1.0500
334,1.0570
335,1.0590
336,1.0640
337,1.0630
338,1.0720
339,1.0650
340,1.0580
341,1.0500
342,1.0580
343,1.0640
344,1.0690
345,1.0730
346,1.0900
