data,九泰久盛量化先锋灵活配置混合型证券投资基金(004510)
1,1.0560
2,1.0620
3,1.0590
4,1.0580
5,1.0350
6,1.0070
7,1.0110
8,1.0180
9,1.0170
10,1.0150
11,0.9950
12,1.0030
13,1.0060
14,1.0120
15,1.0410
16,1.0440
17,1.0470
18,1.0240
19,1.0470
20,1.0560
21,1.0740
22,1.0700
23,1.0790
24,1.0780
25,1.0740
26,1.0570
27,1.0630
28,1.0890
29,1.0930
30,1.0920
31,1.0990
32,1.1000
33,1.1140
34,1.1070
35,1.1180
36,1.1190
37,1.1310
38,1.1370
39,1.1260
40,1.1290
41,1.1350
42,1.1370
43,1.0970
44,1.1140
45,1.1410
46,1.1470
47,1.1560
48,1.1690
49,1.1680
50,1.1710
51,1.1750
52,1.1800
53,1.1970
54,1.1960
55,1.1930
56,1.1970
57,1.1880
58,1.1970
59,1.1990
60,1.2030
61,1.1890
62,1.1630
63,1.1800
64,1.1830
65,1.1870
66,1.1940
67,1.1960
68,1.2050
69,1.2010
70,1.1960
71,1.1900
72,1.2030
73,1.2110
74,1.2110
75,1.2240
76,1.2280
77,1.2380
78,1.2400
79,1.2400
80,1.2460
81,1.2400
82,1.2420
83,1.2500
84,1.2490
85,1.2540
86,1.2490
87,1.2410
88,1.2510
89,1.2440
90,1.2530
91,1.2440
92,1.2360
93,1.2200
94,1.2270
95,1.2350
96,1.2300
97,1.2380
98,1.2550
99,1.2620
100,1.2590
101,1.2550
102,1.2590
103,1.2420
104,1.2470
105,1.2340
106,1.2180
107,1.2310
108,1.2370
109,1.2380
110,1.2480
111,1.2590
112,1.2500
113,1.2300
114,1.2370
115,1.2370
116,1.2240
117,1.2100
118,1.2230
119,1.2280
120,1.2290
121,1.2380
122,1.2440
