data,九泰泰富定增主题灵活配置混合型证券投资基金(168105)
1,1.0000
2,0.9997
3,0.9998
4,0.9998
5,0.9998
6,0.9998
7,0.9999
8,1.0001
9,1.0003
10,1.0008
11,0.9985
12,0.9999
13,0.9966
14,0.9966
15,0.9976
16,0.9984
17,0.9989
18,0.9988
19,0.9978
20,0.9976
21,0.9958
22,0.9922
23,0.9935
24,0.9934
25,0.9938
26,0.9954
27,0.9946
28,0.9947
29,0.9950
30,0.9963
31,0.9973
32,1.0001
33,1.0003
34,1.0008
35,1.0016
36,1.0026
37,1.0029
38,1.0023
39,1.0015
40,1.0031
41,1.0018
42,1.0039
43,1.0051
44,1.0066
45,1.0061
46,1.0066
47,1.0061
48,1.0082
49,1.0094
50,1.0081
51,1.0094
52,1.0110
53,1.0109
54,1.0107
55,1.0099
56,1.0114
57,1.0141
58,1.0149
59,1.0170
60,1.0185
61,1.0163
62,1.0155
63,1.0172
64,1.0169
65,1.0172
66,1.0172
67,1.0174
68,1.0175
69,1.0164
70,1.0117
71,1.0136
72,1.0198
73,1.0215
74,1.0219
75,1.0182
76,1.0217
77,1.0204
78,1.0232
79,1.0216
80,1.0195
81,1.0190
82,1.0166
83,1.0145
84,1.0106
85,0.9983
86,1.0003
87,1.0032
88,1.0085
89,1.0065
90,1.0065
91,1.0082
92,1.0048
93,0.9988
94,0.9969
95,0.9987
96,0.9966
97,0.9938
98,0.9966
99,0.9987
100,1.0065
101,1.0085
102,1.0087
103,1.0046
104,1.0006
105,0.9868
106,0.9886
107,0.9899
108,0.9879
109,0.9845
110,0.9712
111,0.9762
112,0.9806
113,0.9823
114,0.9909
115,0.9901
116,0.9907
117,0.9861
118,0.9933
119,0.9967
120,0.9985
121,1.0023
122,1.0075
123,1.0070
124,1.0091
125,1.0017
126,1.0050
127,1.0090
128,1.0102
129,1.0032
130,1.0030
131,1.0065
132,1.0091
133,1.0077
134,1.0146
135,1.0165
136,1.0197
137,1.0182
138,1.0108
139,1.0132
140,1.0175
141,1.0176
142,1.0015
143,1.0056
144,1.0152
145,1.0212
146,1.0220
147,1.0242
148,1.0210
149,1.0207
150,1.0199
151,1.0215
152,1.0228
153,1.0244
154,1.0155
155,1.0151
156,1.0143
157,1.0174
158,1.0178
159,1.0174
160,1.0124
161,1.0134
162,1.0293
163,1.0325
164,1.0355
165,1.0381
166,1.0356
167,1.0388
168,1.0417
169,1.0390
170,1.0375
171,1.0436
172,1.0547
173,1.0519
174,1.0563
175,1.0570
176,1.0635
177,1.0662
178,1.0697
179,1.0747
180,1.0677
181,1.0564
182,1.0709
183,1.0571
184,1.0610
185,1.0621
186,1.0600
187,1.0718
188,1.0621
189,1.0685
190,1.0615
191,1.0531
192,1.0381
193,1.0426
194,1.0644
195,1.0678
196,1.0757
197,1.0824
198,1.0753
199,1.0688
200,1.0668
201,1.0750
202,1.0694
203,1.0631
204,1.0593
205,1.0496
206,1.0662
207,1.0721
208,1.0721
209,1.0755
210,1.0898
211,1.0881
212,1.0746
213,1.0911
214,1.0881
215,1.0703
216,1.0575
217,1.0706
218,1.0715
219,1.0787
220,1.0804
221,1.0881
