data,交银施罗德国证新能源指数分级证券投资基金(164905)
1,1.0000
2,1.0180
3,1.0440
4,1.0450
5,1.0210
6,1.0430
7,1.0570
8,1.0550
9,1.0150
10,1.0320
11,1.0400
12,1.0210
13,1.0530
14,1.0780
15,1.0960
16,1.0900
17,1.0970
18,1.0590
19,1.0840
20,1.0890
21,1.1090
22,1.0690
23,1.0590
24,1.0310
25,1.0690
26,1.1210
27,1.1490
28,1.1510
29,1.1650
30,1.1570
31,1.1680
32,1.1910
33,1.2130
34,1.2580
35,1.2720
36,1.2980
37,1.3470
38,1.3590
39,1.2750
40,1.2810
41,1.3460
42,1.3910
43,1.3850
44,1.3770
45,1.3970
46,1.3790
47,1.3960
48,1.4090
49,1.4210
50,1.4400
51,1.4130
52,1.3520
53,1.3760
54,1.3300
55,1.2360
56,1.2440
57,1.2760
58,1.2190
59,1.1190
60,1.0250
61,1.0750
62,0.9950
63,0.9180
64,0.8500
65,0.8330
66,0.7690
67,0.7300
68,0.7700
69,0.8150
70,0.8730
71,0.8930
72,0.8360
73,0.8560
74,0.9100
75,0.9380
76,0.9560
77,0.9680
78,1.0000
79,0.9830
80,0.8960
81,0.8620
82,0.9130
83,0.8830
84,0.8750
85,0.8440
86,0.8990
87,0.8970
88,0.9240
89,0.9530
90,0.9960
91,0.9980
92,0.9760
93,1.0050
94,1.0060
95,1.0270
96,0.9400
97,0.9570
98,0.9220
99,0.8670
100,0.7760
101,0.7040
102,0.6800
103,0.7120
104,0.7640
105,0.7370
106,0.6870
107,0.6680
108,0.6740
109,0.7080
110,0.7430
111,0.7280
112,0.7320
113,0.6730
114,0.6280
115,1.0000
116,0.9900
117,1.0080
118,1.0540
119,1.0600
120,1.0630
121,1.0760
122,1.0410
123,1.0680
124,1.0550
125,1.0640
126,1.1150
127,1.1400
128,1.1900
129,1.2190
130,1.2140
131,1.2470
132,1.2540
133,1.2630
134,1.2770
135,1.1780
136,1.2210
137,1.2510
138,1.2880
139,1.2890
140,1.2670
141,1.2770
142,1.2810
143,1.2520
144,1.2520
145,1.3290
146,1.3250
147,1.3530
148,1.3790
149,1.3990
150,1.4260
151,1.4440
152,1.4410
153,1.4690
154,1.4480
155,1.4130
156,1.4680
157,1.4810
158,1.4470
