data,交银施罗德成长30股票型证券投资基金(519727)
1,1.0000
2,1.0000
3,1.0010
4,1.0020
5,1.0020
6,1.0030
7,1.0030
8,1.0030
9,1.0040
10,1.0040
11,1.0050
12,1.0020
13,1.0020
14,1.0000
15,0.9980
16,0.9990
17,1.0000
18,0.9990
19,1.0010
20,1.0060
21,1.0080
22,1.0070
23,1.0090
24,1.0080
25,1.0090
26,1.0090
27,1.0060
28,1.0090
29,1.0170
30,1.0190
31,1.0190
32,1.0170
33,1.0180
34,1.0190
35,1.0220
36,1.0250
37,1.0170
38,1.0260
39,1.0330
40,1.0340
41,1.0320
42,1.0300
43,1.0330
44,1.0480
45,1.0390
46,1.0240
47,1.0160
48,1.0070
49,1.0030
50,0.9930
51,0.9990
52,0.9860
53,0.9930
54,0.9960
55,0.9990
56,0.9930
57,0.9900
58,0.9840
59,0.9890
60,0.9910
61,0.9810
62,0.9870
63,0.9960
64,0.9980
65,0.9970
66,0.9990
67,0.9940
68,0.9930
69,0.9920
70,0.9910
71,0.9930
72,1.0020
73,1.0070
74,0.9850
75,0.9920
76,1.0020
77,1.0040
78,0.9990
79,1.0020
80,1.0020
81,0.9980
82,1.0070
83,1.0060
84,0.9960
85,0.9990
86,1.0000
87,0.9950
88,0.9980
89,1.0060
90,1.0120
91,1.0150
92,1.0110
93,1.0210
94,1.0200
95,1.0210
96,1.0330
97,1.0300
98,1.0120
99,1.0170
100,1.0160
101,1.0070
102,0.9960
103,1.0030
104,1.0210
105,1.0250
106,1.0160
107,1.0030
108,0.9920
109,0.9990
110,1.0160
111,1.0150
112,1.0220
113,1.0150
114,1.0190
115,1.0170
116,1.0070
117,1.0160
118,1.0370
119,1.0390
120,1.0440
121,1.0240
122,1.0330
123,1.0500
124,1.0600
125,1.0580
126,1.0420
127,1.0450
128,1.0540
129,1.0390
130,1.0500
131,1.0310
132,1.0350
133,1.0470
134,1.0440
135,1.0400
136,1.0320
137,1.0340
138,1.0110
139,1.0250
140,1.0270
141,1.0380
142,1.0340
143,1.0490
144,1.0430
145,1.0270
146,0.9960
147,1.0150
148,1.0090
149,1.0090
150,1.0190
151,1.0060
152,0.9930
153,0.9920
154,1.0100
155,1.0010
156,0.9970
157,1.0110
158,1.0310
159,1.0370
160,1.0410
161,1.0430
162,1.0450
163,1.0290
164,1.0250
165,1.0230
166,1.0190
167,1.0110
168,1.0010
169,0.9960
170,0.9900
171,0.9710
172,0.9400
173,0.9530
174,0.9610
175,0.9610
176,0.9700
177,0.9570
178,0.9500
179,0.9360
180,0.9550
181,0.9480
182,0.9480
183,0.9300
184,0.9290
185,0.9200
186,0.9220
187,0.9270
188,0.9270
189,0.9320
190,0.9480
191,0.9440
192,0.9500
193,0.9430
194,0.9420
195,0.9330
196,0.9270
197,0.9340
198,0.9300
199,0.9260
200,0.9310
201,0.9370
202,0.9460
203,0.9550
204,0.9600
205,0.9560
206,0.9460
207,0.9310
208,0.9400
209,0.9380
210,0.9520
211,0.9490
212,0.9580
213,0.9660
214,0.9790
215,0.9840
216,0.9900
217,0.9930
218,0.9860
219,0.9860
220,1.0010
221,0.9950
222,0.9840
223,0.9900
224,1.0010
225,1.0010
226,0.9830
227,0.9800
228,0.9800
229,0.9760
230,0.9840
231,0.9830
232,0.9870
233,0.9880
234,1.0030
235,1.0090
236,1.0160
237,1.0260
238,1.0250
