data,交银施罗德新生活力灵活配置混合型证券投资基金(519772)
1,1.0000
2,0.9970
3,1.0050
4,0.9940
5,0.9940
6,0.9730
7,0.9790
8,0.9740
9,0.9770
10,0.9810
11,0.9840
12,0.9810
13,0.9870
14,0.9860
15,0.9770
16,0.9790
17,0.9800
18,0.9780
19,0.9750
20,0.9770
21,0.9770
22,0.9840
23,0.9930
24,0.9930
25,0.9850
26,0.9950
27,0.9920
28,0.9830
29,0.9730
30,0.9660
31,0.9520
32,0.9600
33,0.9570
34,0.9510
35,0.9610
36,0.9660
37,0.9660
38,0.9650
39,0.9670
40,0.9640
41,0.9700
42,0.9670
43,0.9700
44,0.9740
45,0.9730
46,0.9780
47,0.9780
48,0.9720
49,0.9780
50,0.9770
51,0.9870
52,0.9960
53,0.9980
54,0.9920
55,1.0020
56,0.9940
57,0.9980
58,0.9990
59,0.9940
60,0.9980
61,1.0140
62,1.0160
63,1.0100
64,1.0090
65,1.0210
66,1.0390
67,1.0350
68,1.0240
69,1.0360
70,1.0270
71,1.0260
72,1.0330
73,1.0340
74,1.0350
75,1.0410
76,1.0450
77,1.0400
78,1.0410
79,1.0140
80,1.0160
81,1.0350
82,1.0380
83,1.0410
84,1.0270
85,1.0210
86,1.0120
87,1.0160
88,1.0080
89,1.0040
90,1.0050
91,1.0100
92,1.0090
93,1.0090
94,0.9970
95,1.0040
96,1.0040
97,1.0140
98,1.0130
99,1.0160
100,1.0150
101,1.0090
102,0.9950
103,0.9840
104,0.9910
105,0.9910
106,0.9910
107,0.9980
108,1.0040
109,1.0210
110,1.0160
111,1.0100
112,1.0020
113,0.9990
114,0.9970
115,0.9990
116,1.0000
117,0.9910
118,0.9880
119,0.9790
120,0.9810
121,0.9880
122,0.9880
123,1.0050
124,1.0140
125,1.0170
126,1.0110
127,1.0180
128,1.0110
129,1.0160
130,1.0140
131,1.0250
132,1.0260
133,1.0430
134,1.0280
135,1.0360
136,1.0500
137,1.0430
138,1.0330
139,1.0370
140,1.0430
141,1.0430
142,1.0490
143,1.0570
144,1.0660
145,1.0640
146,1.0590
147,1.0560
148,1.0580
149,1.0550
150,1.0510
151,1.0260
152,1.0260
153,1.0400
154,1.0490
155,1.0610
156,1.0570
157,1.0620
158,1.0590
159,1.0710
160,1.0830
161,1.0860
162,1.0830
163,1.0780
164,1.0780
165,1.0640
166,1.0740
167,1.0720
168,1.0750
169,1.0730
170,1.0630
171,1.0910
172,1.1020
173,1.1120
174,1.1080
175,1.0990
176,1.1080
177,1.1050
178,1.1040
179,1.0930
180,1.1030
181,1.1220
182,1.1250
183,1.1310
184,1.1450
185,1.1470
186,1.1570
187,1.1750
188,1.1800
189,1.1790
190,1.1830
191,1.2000
192,1.1920
193,1.2040
194,1.2190
195,1.2100
196,1.2280
197,1.2290
198,1.2450
199,1.2390
200,1.2460
201,1.2330
202,1.2320
203,1.2580
204,1.2610
205,1.2720
206,1.2930
207,1.3010
208,1.2880
209,1.3070
210,1.3260
211,1.3060
212,1.3130
213,1.3110
214,1.3050
215,1.3100
216,1.3190
217,1.3190
218,1.3310
219,1.3420
220,1.3430
221,1.3450
222,1.3690
223,1.3720
224,1.3610
225,1.3800
226,1.4170
227,1.4340
228,1.4400
229,1.4600
230,1.4750
