data,交银施罗德策略回报灵活配置混合型证券投资基金(519710)
1,1.1980
2,1.2170
3,1.1600
4,1.1060
5,1.0520
6,1.0170
7,0.9630
8,0.9360
9,0.9510
10,0.9760
11,1.0220
12,1.0490
13,0.9930
14,1.0110
15,1.0680
16,1.1030
17,1.1220
18,1.1260
19,1.1570
20,1.1470
21,1.0970
22,1.0790
23,1.1250
24,1.1030
25,1.0850
26,1.0470
27,1.0990
28,1.0930
29,1.0920
30,1.1190
31,1.1670
32,1.1710
33,1.1490
34,1.1780
35,1.1770
36,1.1900
37,1.1110
38,1.1370
39,1.0970
40,1.0470
41,0.9680
42,0.8990
43,0.8770
44,0.8930
45,0.9330
46,0.9210
47,0.8780
48,0.8530
49,0.8550
50,0.8690
51,0.8800
52,0.8780
53,0.8800
54,0.8550
55,0.8350
56,0.8570
57,0.8480
58,0.8540
59,0.8730
60,0.8760
61,0.8710
62,0.8810
63,0.8600
64,0.8750
65,0.8640
66,0.8700
67,0.9010
68,0.9150
69,0.9410
70,0.9580
71,0.9500
72,0.9810
73,0.9950
74,0.9900
75,1.0100
76,0.9560
77,0.9910
78,1.0160
79,1.0200
80,1.0250
81,1.0130
82,1.0150
83,1.0150
84,1.0010
85,1.0000
86,1.0290
87,1.0320
88,1.0700
89,1.0880
90,1.1060
91,1.1130
92,1.1010
93,1.0790
94,1.0980
95,1.0880
96,1.0750
97,1.0990
98,1.1090
99,1.1000
100,1.1090
101,1.1270
102,1.1200
103,1.0630
104,1.0710
105,1.0520
106,1.0480
107,1.0750
108,1.0710
109,1.0820
110,1.0680
111,1.0660
112,1.0660
113,1.0540
114,1.0580
115,1.0740
116,1.0850
117,1.1020
118,1.1010
119,1.1020
120,1.1090
121,1.0980
122,1.0960
123,1.1010
124,1.0890
125,1.0950
126,1.1000
127,1.1010
128,1.0340
129,1.0030
130,1.0240
131,0.9630
132,0.9670
133,0.9280
134,0.9380
135,0.9120
136,0.9360
137,0.9160
138,0.9250
139,0.9460
140,0.9370
141,0.9130
142,0.9190
143,0.9350
144,0.8960
145,0.8980
146,0.8740
147,0.8920
148,0.8840
149,0.9000
150,0.8930
151,0.9010
152,0.8970
153,0.9060
154,0.9330
155,0.9390
156,0.9400
157,0.9370
158,0.9550
159,0.9650
160,0.9680
161,0.9220
162,0.9400
163,0.9250
164,0.9400
165,0.9740
166,0.9710
167,0.9600
168,0.9780
169,0.9710
170,0.9560
171,0.9460
172,0.9460
173,0.9710
174,0.9690
175,0.9640
176,0.9790
177,1.0000
178,1.0110
179,1.0070
180,1.0070
181,0.9940
182,0.9920
183,0.9940
184,0.9830
185,1.0050
186,1.0190
187,1.0140
188,1.0300
189,1.0340
190,1.0290
191,1.0280
192,1.0630
193,1.0570
194,1.0710
195,1.0750
196,1.0690
197,1.0580
198,1.0620
199,1.0370
200,1.0430
201,1.0420
202,1.0410
203,1.0450
204,1.0540
205,1.0510
206,1.0610
207,1.0920
208,1.0890
209,1.0870
210,1.0690
211,1.0490
212,1.0590
213,1.0650
214,1.0600
215,1.0560
216,1.0670
217,1.0580
218,1.0350
219,1.0360
220,1.0380
221,1.0540
222,1.0400
223,1.0360
224,1.0410
225,1.0430
226,1.0360
227,1.0600
228,1.0700
229,1.0730
230,1.0880
231,1.0960
232,1.0960
233,1.0880
234,1.0630
235,1.0680
236,1.0890
237,1.0860
238,1.0920
239,1.0890
240,1.0840
241,1.0880
242,1.0830
243,1.0800
244,1.1130
245,1.1120
246,1.1130
247,1.1210
248,1.1190
249,1.1290
250,1.1310
251,1.1650
252,1.1610
253,1.1570
254,1.1790
255,1.1980
256,1.1860
257,1.1860
258,1.1910
259,1.1820
260,1.1590
261,1.1600
262,1.1670
263,1.1460
264,1.1500
265,1.1760
266,1.1570
267,1.1640
268,1.1630
269,1.1450
270,1.1400
271,1.1420
272,1.1380
273,1.1390
274,1.1580
275,1.1680
276,1.1680
277,1.1640
278,1.1650
279,1.1850
280,1.1900
281,1.1940
282,1.1770
283,1.1680
284,1.1670
285,1.1680
286,1.1630
287,1.1560
288,1.1540
289,1.1600
290,1.1590
291,1.1640
292,1.1500
293,1.1460
294,1.1560
295,1.1650
296,1.1630
297,1.1620
298,1.1530
299,1.1220
300,1.1290
301,1.1240
302,1.1390
303,1.1460
304,1.1500
305,1.1580
306,1.1590
307,1.1470
308,1.1570
309,1.1540
310,1.1670
311,1.1730
312,1.1890
313,1.2110
314,1.1940
315,1.1940
316,1.1940
317,1.2170
318,1.2230
319,1.2300
320,1.2220
321,1.2200
322,1.2230
323,1.2160
324,1.2130
325,1.2160
326,1.2070
327,1.2210
328,1.2320
329,1.2320
330,1.2390
331,1.2450
332,1.2420
333,1.2440
334,1.2370
335,1.2470
336,1.2270
337,1.2180
338,1.2220
339,1.2200
340,1.2130
341,1.2130
342,1.2190
343,1.2230
344,1.2270
345,1.2340
346,1.2350
347,1.2290
348,1.2230
349,1.2150
350,1.2240
351,1.2110
352,1.2030
353,1.2090
354,1.2190
355,1.2120
356,1.2090
357,1.1660
358,1.1690
359,1.1700
360,1.1660
361,1.1610
362,1.1590
363,1.1510
364,1.1580
365,1.1550
366,1.1410
367,1.1420
368,1.1450
369,1.1430
370,1.1420
371,1.1460
372,1.1450
373,1.1570
374,1.1710
375,1.1710
376,1.1650
377,1.1650
378,1.1640
379,1.1550
380,1.1510
381,1.1430
382,1.1350
383,1.1480
384,1.1560
