data,信诚中证800金融指数分级证券投资基金(165521)
1,1.0000
2,1.0010
3,1.0020
4,1.0030
5,1.0040
6,1.0050
7,1.0050
8,1.0060
9,1.0060
10,1.0090
11,1.0080
12,0.9920
13,1.0020
14,1.0110
15,1.0000
16,0.9950
17,1.0120
18,1.0060
19,1.0060
20,1.0090
21,1.0080
22,0.9920
23,1.0020
24,1.0110
25,1.0000
26,0.9950
27,1.0120
28,0.9620
29,0.9620
30,0.9700
31,0.9780
32,0.9700
33,0.9730
34,0.9600
35,0.9690
36,0.9630
37,0.9330
38,0.9340
39,0.9400
40,0.9510
41,0.9440
42,0.9460
43,0.9400
44,0.9340
45,0.9280
46,0.9710
47,0.9800
48,0.9340
49,0.9400
50,0.9510
51,0.9440
52,0.9460
53,0.9400
54,0.9340
55,0.9280
56,0.9710
57,0.9800
58,0.9340
59,0.9400
60,0.9510
61,0.9440
62,0.9460
63,0.9400
64,0.9340
65,0.9280
66,0.9710
67,0.9800
68,0.9340
69,0.9400
70,0.9510
71,0.9440
72,0.9460
73,0.9400
74,0.9340
75,0.9280
76,0.9710
77,0.9800
78,0.9720
79,0.9700
80,0.9730
81,0.9760
82,0.9690
83,0.9720
84,0.9830
85,0.9750
86,0.9840
87,1.0160
88,0.9720
89,0.9700
90,0.9730
91,0.9760
92,0.9690
93,0.9720
94,0.9830
95,0.9750
96,0.9840
97,1.0160
98,1.0100
99,1.0410
100,1.0370
101,1.0300
102,1.0080
103,1.0110
104,1.0070
105,1.0080
106,0.9900
107,1.0040
108,0.9990
109,1.0000
110,0.9960
111,0.9870
112,0.9980
113,0.9960
114,0.9920
115,0.9900
116,0.9860
117,0.9880
118,0.9990
119,1.0000
120,0.9960
121,0.9870
122,0.9980
123,0.9960
124,0.9920
125,0.9900
126,0.9860
127,0.9880
128,0.9910
129,1.0080
130,1.0040
131,1.0040
132,0.9950
133,0.9930
134,0.9740
135,0.9760
136,0.9830
137,0.9830
138,0.9840
139,0.9990
140,0.9940
141,0.9910
142,1.0060
143,1.0160
144,1.0060
145,1.0000
146,0.9890
147,0.9940
148,0.9840
149,0.9990
150,0.9940
151,0.9910
152,1.0060
153,1.0160
154,1.0060
155,1.0000
156,0.9890
157,0.9940
158,0.9890
159,0.9920
160,0.9880
161,0.9930
162,0.9900
163,0.9930
164,0.9910
165,0.9960
166,0.9990
167,0.9990
168,0.9890
169,0.9920
170,0.9880
171,0.9930
172,0.9900
173,0.9930
174,0.9910
175,0.9960
176,0.9990
177,0.9990
178,1.0000
179,1.0000
180,0.9870
181,0.9850
182,0.9870
183,0.9950
184,0.9950
185,0.9940
186,0.9910
187,0.9940
188,0.9910
189,1.0030
190,1.0100
191,1.0380
192,1.0470
193,1.0920
194,1.0940
195,1.0900
196,1.0980
197,1.0900
198,1.1030
199,1.0970
200,1.0930
201,1.0770
202,1.0790
203,1.0950
204,1.0860
205,1.0880
206,1.0780
207,1.0910
208,1.0670
209,1.0830
210,1.0900
211,1.0990
212,1.1040
213,1.0950
214,1.0850
215,1.0840
216,1.0870
217,1.0830
218,1.0670
219,1.0830
220,1.0900
221,1.0990
222,1.1040
223,1.0950
224,1.0850
225,1.0840
226,1.0870
227,1.0830
228,1.0720
229,1.0730
230,1.0790
231,1.0840
232,1.0610
233,1.0690
234,1.0920
235,1.0860
236,1.0840
237,1.0880
238,1.0720
239,1.0730
240,1.0790
241,1.0840
242,1.0610
243,1.0690
244,1.0920
245,1.0860
246,1.0840
247,1.0880
248,1.0860
249,1.0940
250,1.0930
251,1.0870
252,1.0780
253,1.0750
254,1.0890
255,1.0860
256,1.0870
257,1.0900
258,1.0830
259,1.0820
260,1.0780
261,1.0750
262,1.0520
263,1.0720
264,1.0910
265,1.1000
266,1.1360
267,1.1300
268,1.1250
269,1.1260
270,1.1250
271,1.1390
272,1.1700
273,1.1890
274,1.2060
275,1.2000
276,1.1960
277,1.1770
278,1.1570
279,1.1540
280,1.1630
281,1.1990
282,1.2330
283,1.2430
284,1.2840
285,1.3200
286,1.3670
287,1.3660
288,1.4510
289,1.4520
290,1.5520
291,1.0000
292,1.0430
293,0.9810
294,1.0010
295,0.9660
296,0.9700
297,0.9730
298,1.0370
299,1.0910
300,1.0610
301,1.0630
302,1.0790
303,1.0620
304,1.0070
305,1.0490
306,1.1090
307,1.1100
308,1.1370
309,1.1600
310,1.1710
311,1.1540
312,1.1580
313,1.1170
314,1.1260
315,1.1160
316,1.1020
317,1.1120
318,1.1570
319,1.1590
320,1.0530
321,1.0340
322,1.0980
323,1.0970
324,1.1130
325,1.1080
326,1.0860
327,1.0730
328,1.0520
329,1.0390
330,1.0070
331,1.0420
332,1.0230
333,1.0200
334,1.0140
335,1.0380
336,1.0520
337,1.0570
338,1.0530
339,1.0550
340,1.0520
341,1.0590
342,1.0390
343,1.0710
344,1.0660
345,1.0710
346,1.0340
347,1.0320
348,1.0190
349,1.0180
350,1.0400
351,1.0270
352,1.0320
353,1.0710
354,1.0720
355,1.0950
356,1.1100
357,1.1320
358,1.1190
359,1.1500
360,1.1650
361,1.1480
362,1.1260
363,1.1330
364,1.1330
365,1.1710
366,1.1630
367,1.1820
368,1.1720
369,1.1910
370,1.2210
371,1.2560
372,1.2460
373,1.2720
374,1.2780
375,1.2730
376,1.2680
377,1.3030
378,1.1720
379,1.1910
380,1.2210
381,1.2560
382,1.2460
383,1.2720
384,1.2780
385,1.2730
386,1.2680
387,1.3030
388,1.2840
389,1.2390
390,1.2500
391,1.2460
392,1.2450
393,1.2690
394,1.2760
395,1.2540
396,1.2500
397,1.2190
398,1.1930
399,1.2480
400,1.2440
401,1.2480
402,1.2860
403,1.3160
404,1.3240
405,1.3120
406,1.2240
407,1.2190
408,1.1930
409,1.2480
410,1.2440
411,1.2480
412,1.2860
413,1.3160
414,1.3240
415,1.3120
416,1.2240
417,1.2190
418,1.2970
419,1.2820
420,1.2910
421,1.2350
422,1.1790
423,1.2220
424,1.2320
425,1.2000
426,1.1210
427,1.0980
428,1.1750
429,1.1240
430,1.1230
431,1.0800
432,1.1480
433,1.1750
434,1.0900
435,1.1480
436,1.1860
437,1.1670
438,1.1750
439,1.1240
440,1.1230
441,1.0800
442,1.1480
443,1.1750
444,1.0900
445,1.1480
446,1.1860
447,1.1670
448,1.1270
449,1.1150
450,1.1050
451,1.1280
452,1.1160
453,1.1080
454,1.0930
455,1.1150
456,1.0920
457,1.0030
458,1.0210
459,1.0230
460,0.9970
461,0.9970
462,1.0110
463,1.0250
464,1.0030
465,0.9950
466,1.0050
467,1.0410
468,1.0270
469,1.0140
470,1.0180
471,1.0190
472,1.0040
473,0.9620
474,0.9700
475,0.9450
476,0.9090
477,0.8270
478,0.7720
479,0.7920
480,0.8520
481,0.8670
482,0.8790
483,0.8920
484,0.8960
485,0.8560
486,0.8750
487,0.8870
488,0.8850
489,0.8800
490,0.8850
491,0.8670
492,0.8880
493,0.8710
494,0.8720
495,0.8750
496,0.8900
497,0.8700
498,0.8850
499,0.8800
500,0.8850
501,0.8670
502,0.8880
503,0.8710
504,0.8720
505,0.8750
506,0.8900
507,0.8700
508,0.8730
509,0.8720
510,0.8690
511,0.8570
512,0.8630
513,0.8770
514,0.8910
515,0.9160
516,0.9100
517,0.9010
518,0.9180
519,0.9300
520,0.9360
521,0.9390
522,0.9370
523,0.9340
524,0.9410
525,0.9470
526,0.9460
527,0.9300
528,0.9180
