data,光大保德信一带一路战略主题混合型证券投资基金(001463)
1,1.0000
2,1.0020
3,0.9540
4,0.9690
5,0.9760
6,1.0020
7,0.9450
8,0.9520
9,0.9740
10,0.9650
11,0.9580
12,0.9710
13,0.9990
14,1.0010
15,0.9900
16,1.0060
17,1.0090
18,1.0230
19,0.9520
20,0.9680
21,0.9310
22,0.8890
23,0.8170
24,0.7570
25,0.7440
26,0.7810
27,0.8230
28,0.8220
29,0.7980
30,0.7980
31,0.7890
32,0.8130
33,0.8320
34,0.8220
35,0.8210
36,0.7890
37,0.7540
38,0.7990
39,0.7850
40,0.7900
41,0.8070
42,0.8120
43,0.7940
44,0.8010
45,0.7910
46,0.7980
47,0.7800
48,0.7800
49,0.8070
50,0.8220
51,0.8560
52,0.8560
53,0.8460
54,0.8670
55,0.8790
56,0.8750
57,0.8900
58,0.8440
59,0.8650
60,0.8850
61,0.8930
62,0.8950
63,0.8820
64,0.8860
65,0.8810
66,0.8670
67,0.8690
68,0.9090
69,0.9170
70,0.9350
71,0.9470
72,0.9480
73,0.9480
74,0.9460
75,0.9250
76,0.9420
77,0.9280
78,0.9180
79,0.9420
80,0.9550
81,0.9430
82,0.9530
83,0.9690
84,0.9570
85,0.8990
86,0.9020
87,0.9080
88,0.9070
89,0.9260
90,0.9130
91,0.9190
92,0.8980
93,0.8970
94,0.8930
95,0.8870
96,0.9060
97,0.9080
98,0.9090
99,0.9310
100,0.9260
101,0.9440
102,0.9500
103,0.9440
104,0.9350
105,0.9470
106,0.9200
107,0.9320
108,0.9310
109,0.9200
110,0.8530
111,0.8460
112,0.8600
113,0.7990
114,0.8080
115,0.7700
116,0.7790
117,0.7670
118,0.7840
119,0.7600
120,0.7680
121,0.7910
122,0.7780
123,0.7490
124,0.7590
125,0.7650
126,0.7150
127,0.7100
128,0.6900
129,0.7170
130,0.7160
131,0.7350
132,0.7370
133,0.7520
134,0.7460
135,0.7460
136,0.7690
137,0.7750
138,0.7720
139,0.7720
140,0.7880
141,0.7840
142,0.7860
143,0.7280
144,0.7370
145,0.7100
146,0.7290
147,0.7710
148,0.7720
149,0.7560
150,0.7670
151,0.7680
152,0.7370
153,0.7210
154,0.7240
155,0.7440
156,0.7390
157,0.7340
158,0.7550
159,0.7750
160,0.7880
161,0.7810
162,0.7840
163,0.7710
164,0.7740
165,0.7710
166,0.7600
167,0.7830
168,0.7840
169,0.7850
170,0.7990
171,0.7970
172,0.7870
173,0.7820
174,0.7970
175,0.7960
176,0.8210
177,0.8230
178,0.8180
179,0.8060
180,0.8060
181,0.7820
182,0.7870
183,0.7870
184,0.7920
185,0.7990
186,0.7920
187,0.7900
188,0.7900
189,0.8040
190,0.8000
191,0.8050
192,0.7770
193,0.7430
194,0.7420
195,0.7420
196,0.7420
