data,兴业聚丰灵活配置混合型证券投资基金(002668)
1,1.0000
2,1.0000
3,1.0730
4,1.0730
5,1.0720
6,1.0720
7,1.0720
8,1.0720
9,1.0720
10,1.0720
11,1.0720
12,1.0720
13,1.0720
14,1.0720
15,1.0720
16,1.0720
17,1.0720
18,1.0730
19,1.0730
20,1.0740
21,1.0730
22,1.0730
23,1.0730
24,1.0730
25,1.0740
26,1.0740
27,1.0740
28,1.0740
29,1.0740
30,1.0740
31,1.0740
32,1.0740
33,1.0740
34,1.0750
35,1.0750
36,1.0750
37,1.0750
38,1.0740
39,1.0740
40,1.0740
41,1.0750
42,1.0740
43,1.0740
44,1.0750
45,1.0750
46,1.0740
47,1.0740
48,1.0740
49,1.0740
50,1.0750
51,1.0760
52,1.0760
53,1.0760
54,1.0760
55,1.0760
56,1.0760
57,1.0770
58,1.0770
59,1.0770
60,1.0770
61,1.0770
62,1.0780
63,1.0770
64,1.0770
65,1.0770
66,1.0770
67,1.0770
68,1.0760
69,1.0770
70,1.0770
71,1.0780
72,1.0780
73,1.0770
74,1.0780
75,1.0780
76,1.0770
77,1.0770
78,1.0770
79,1.0770
80,1.0770
81,1.0770
82,1.0770
83,1.0770
84,1.0780
85,1.0780
86,1.0780
87,1.0780
88,1.0770
89,1.0770
90,1.0760
91,1.0760
92,1.0750
93,1.0760
94,1.0760
95,1.0760
96,1.0750
97,1.0740
98,1.0730
99,1.0710
100,1.0710
101,1.0700
102,1.0700
103,1.0710
104,1.0720
105,1.0720
106,1.0730
107,1.0740
108,1.0740
109,1.0740
110,1.0740
111,1.0740
112,1.0760
113,1.0770
114,1.0770
115,1.0770
116,1.0780
117,1.0780
118,1.0770
119,1.0770
120,1.0770
121,1.0780
122,1.0780
123,1.0780
124,1.0770
125,1.0780
126,1.0790
127,1.0790
128,1.0790
129,1.0800
130,1.0790
131,1.0800
132,1.0800
133,1.0800
134,1.0800
135,1.0810
136,1.0810
137,1.0820
138,1.0810
139,1.0820
140,1.0810
141,1.0820
142,1.0820
143,1.0820
144,1.0820
145,1.0820
146,1.0820
147,1.0820
148,1.0820
149,1.0820
150,1.0820
151,1.0820
152,1.0820
153,1.0830
154,1.0820
155,1.0820
156,1.0830
157,1.0830
158,1.0830
159,1.0830
160,1.0810
161,1.0820
162,1.0830
163,1.0830
164,1.0830
165,1.0850
166,1.0840
167,1.0840
168,1.0830
169,1.0820
170,1.0830
171,1.0870
172,1.0880
173,1.0890
174,1.0880
175,1.0900
176,1.0890
177,1.0890
178,1.0880
179,1.0880
180,1.0880
181,1.0880
182,1.0890
183,1.0890
184,1.0870
185,1.0890
186,1.0900
187,1.0900
188,1.0890
189,1.0900
190,1.0900
191,1.0890
192,1.0890
193,1.0860
194,1.0870
195,1.0870
196,1.0880
197,1.0890
198,1.0910
199,1.0940
200,1.0920
201,1.0920
202,1.0910
203,1.0920
204,1.0930
205,1.0930
206,1.0940
207,1.0920
208,1.0930
209,1.0950
210,1.0940
211,1.0940
212,1.0960
213,1.0980
214,1.1000
215,1.1010
216,1.1020
217,1.1020
218,1.1000
219,1.1000
220,1.1000
221,1.1020
222,1.1020
223,1.1050
224,1.1040
225,1.1060
226,1.1080
227,1.1090
228,1.1070
229,1.1080
230,1.1080
231,1.1060
232,1.1050
233,1.1070
234,1.1080
235,1.1070
236,1.1050
237,1.1070
238,1.1070
239,1.1070
240,1.1090
241,1.1080
242,1.1070
243,1.1090
244,1.1110
245,1.1100
246,1.1110
247,1.1100
248,1.1090
249,1.1100
250,1.1100
251,1.1110
252,1.1130
253,1.1130
254,1.1110
255,1.1090
256,1.1100
257,1.1110
258,1.1110
259,1.1100
260,1.1080
261,1.1100
262,1.1110
263,1.1110
264,1.1110
265,1.1110
266,1.1110
267,1.1120
268,1.1120
269,1.1110
270,1.1120
271,1.1150
272,1.1150
273,1.1150
274,1.1150
275,1.1170
276,1.1180
277,1.1190
278,1.1190
279,1.1180
280,1.1190
281,1.1190
282,1.1190
283,1.1190
284,1.1180
285,1.1170
286,1.1180
287,1.1170
288,1.1170
289,1.1180
290,1.1200
291,1.1190
292,1.1190
293,1.1210
294,1.1210
295,1.1220
296,1.1250
297,1.1240
298,1.1250
299,1.1260
300,1.1270
301,1.1280
302,1.1280
303,1.1300
304,1.1290
305,1.1290
306,1.1290
307,1.1300
308,1.1300
309,1.1320
310,1.1340
311,1.1340
312,1.1360
313,1.1350
314,1.1360
315,1.1360
316,1.1390
317,1.1400
318,1.1390
319,1.1420
320,1.1440
