data,创金合信鑫沪深300指数增强型发起式证券投资基金A(002315)
1,1.0000
2,0.9389
3,0.9449
4,0.9638
5,0.8980
6,0.9203
7,0.8727
8,0.8775
9,0.8623
10,0.8805
11,0.8525
12,0.8558
13,0.8814
14,0.8671
15,0.8464
16,0.8559
17,0.8609
18,0.8120
19,0.8110
20,0.7928
21,0.8176
22,0.8054
23,0.8199
24,0.8174
25,0.8278
26,0.8219
27,0.8154
28,0.8414
29,0.8472
30,0.8456
31,0.8451
32,0.8642
33,0.8567
34,0.8628
35,0.8088
36,0.8171
37,0.7980
38,0.8113
39,0.8470
40,0.8496
41,0.8551
42,0.8594
43,0.8607
44,0.8510
45,0.8361
46,0.8372
47,0.8503
48,0.8530
49,0.8555
50,0.8648
51,0.8791
52,0.9013
53,0.8928
54,0.8967
55,0.8834
56,0.8897
57,0.8807
58,0.8715
59,0.8935
60,0.8957
61,0.8948
62,0.9072
63,0.9067
64,0.8953
65,0.8870
66,0.9028
67,0.9001
68,0.9118
69,0.9171
70,0.9156
71,0.9037
72,0.9064
73,0.8868
74,0.8800
75,0.8856
76,0.8823
77,0.8880
78,0.8833
79,0.8828
80,0.8806
81,0.8947
82,0.8941
83,0.8948
84,0.8715
85,0.8531
86,0.8516
87,0.8550
88,0.8572
89,0.8528
90,0.8576
91,0.8539
92,0.8471
93,0.8455
94,0.8511
95,0.8538
96,0.8470
97,0.8480
98,0.8491
99,0.8490
100,0.8498
101,0.8779
102,0.8742
103,0.8767
104,0.8820
105,0.8795
106,0.8796
107,0.8778
108,0.8528
109,0.8547
110,0.8672
111,0.8624
112,0.8696
113,0.8701
114,0.8676
115,0.8755
116,0.8729
117,0.8641
118,0.8757
119,0.8811
120,0.8859
121,0.8858
122,0.8843
123,0.9024
124,0.9066
125,0.9096
126,0.9098
127,0.9066
128,0.9101
129,0.9277
130,0.9315
131,0.9323
132,0.9332
133,0.9311
134,0.9281
135,0.9261
136,0.9312
137,0.9233
138,0.9244
139,0.9357
140,0.9231
141,0.9263
142,0.9224
143,0.9147
144,0.9181
145,0.9186
146,0.9208
147,0.9225
148,0.9306
149,0.9358
150,0.9313
151,0.9280
152,0.9454
153,0.9720
154,0.9673
155,0.9662
156,0.9635
157,0.9645
158,0.9578
159,0.9592
160,0.9568
161,0.9509
162,0.9516
163,0.9521
164,0.9534
165,0.9570
166,0.9492
167,0.9526
168,0.9547
169,0.9610
170,0.9608
171,0.9630
172,0.9566
173,0.9412
174,0.9399
175,0.9343
176,0.9416
177,0.9395
178,0.9432
179,0.9493
180,0.9463
181,0.9322
182,0.9377
183,0.9354
184,0.9387
185,0.9411
186,0.9522
187,0.9557
188,0.9557
189,0.9561
190,0.9564
191,0.9491
192,0.9617
193,0.9600
194,0.9621
195,0.9647
196,0.9757
197,0.9776
198,0.9738
199,0.9718
200,0.9702
201,0.9703
202,0.9751
203,0.9677
204,0.9746
205,0.9739
206,0.9746
207,0.9779
208,0.9713
209,0.9830
210,0.9909
211,0.9936
212,0.9946
213,0.9931
214,0.9938
215,0.9905
216,0.9982
217,1.0055
218,1.0066
219,1.0097
220,1.0171
221,1.0193
222,1.0236
223,1.0178
224,1.0244
225,1.0136
226,1.0016
227,1.0001
228,1.0063
229,1.0042
230,1.0099
231,0.9844
232,0.9819
233,0.9745
234,0.9633
235,0.9672
236,0.9624
237,0.9589
238,0.9661
239,0.9646
240,0.9555
241,0.9600
242,0.9591
243,0.9549
244,0.9550
245,0.9587
246,0.9587
247,0.9671
248,0.9738
249,0.9735
250,0.9688
251,0.9738
252,0.9712
253,0.9650
254,0.9602
255,0.9589
256,0.9531
257,0.9550
258,0.9575
259,0.9547
260,0.9635
261,0.9681
262,0.9689
263,0.9738
264,0.9785
265,0.9691
266,0.9738
267,0.9721
268,0.9774
269,0.9818
270,0.9851
271,0.9913
272,0.9901
273,0.9862
274,0.9911
275,0.9860
276,0.9972
277,1.0018
278,1.0041
279,1.0009
280,1.0024
281,0.9944
282,0.9963
283,0.9987
284,0.9912
285,0.9907
286,0.9962
287,0.9974
288,0.9962
289,0.9912
290,0.9921
291,0.9980
292,0.9974
293,1.0008
294,1.0071
295,0.9990
296,1.0013
297,1.0068
298,1.0017
299,1.0055
300,1.0128
301,1.0101
302,1.0078
303,1.0067
304,1.0009
305,1.0068
306,1.0192
307,1.0234
308,1.0248
309,1.0230
310,1.0284
311,1.0267
312,1.0279
313,1.0201
314,1.0176
315,1.0145
316,1.0084
317,1.0121
318,1.0153
319,1.0045
320,1.0083
321,1.0086
322,1.0091
323,1.0075
324,1.0046
325,1.0026
326,0.9999
327,0.9930
328,0.9864
329,0.9843
330,0.9810
331,0.9840
332,0.9913
333,0.9957
334,1.0038
335,0.9995
336,0.9970
337,0.9987
338,0.9994
339,1.0016
340,1.0021
341,1.0198
342,1.0191
343,1.0213
344,1.0208
345,1.0195
346,1.0130
347,1.0178
348,1.0291
349,1.0365
350,1.0422
351,1.0415
352,1.0454
353,1.0358
354,1.0341
355,1.0319
356,1.0419
357,1.0396
358,1.0491
359,1.0513
360,1.0576
361,1.0707
362,1.0720
363,1.0664
364,1.0729
365,1.0744
366,1.0708
367,1.0630
368,1.0750
369,1.0769
370,1.0772
371,1.0777
372,1.0847
373,1.0807
374,1.0915
375,1.0975
376,1.0864
377,1.0874
378,1.1036
379,1.1082
380,1.1043
381,1.1093
382,1.1044
383,1.1018
384,1.0989
385,1.0993
386,1.1041
387,1.1131
388,1.1095
389,1.1007
390,1.0968
391,1.1003
392,1.1012
393,1.0999
394,1.0956
395,1.0783
396,1.0858
397,1.0872
398,1.0863
399,1.0938
400,1.0943
401,1.0987
402,1.0992
403,1.1009
404,1.0969
405,1.1154
406,1.1278
407,1.1253
408,1.1253
409,1.1204
410,1.1201
411,1.1221
412,1.1241
413,1.1225
414,1.1182
415,1.1174
416,1.1180
417,1.1230
418,1.1246
419,1.1212
420,1.1191
421,1.1235
422,1.1210
423,1.1250
424,1.1247
425,1.1278
426,1.1251
427,1.1277
428,1.1298
429,1.1310
430,1.1334
431,1.1459
432,1.1477
433,1.1496
434,1.1530
435,1.1556
436,1.1529
437,1.1526
438,1.1606
439,1.1578
440,1.1566
441,1.1593
442,1.1672
443,1.1727
444,1.1768
445,1.1828
446,1.1819
447,1.1800
448,1.1793
449,1.1774
450,1.1747
451,1.1830
452,1.1905
453,1.1893
