data,前海开源沪深300指数型证券投资基金(000656)
1,1.0000
2,1.0000
3,1.0000
4,1.0010
5,1.0010
6,1.0010
7,1.0010
8,1.0010
9,1.0010
10,1.0020
11,1.0020
12,1.0020
13,1.0030
14,1.0030
15,1.0030
16,1.0030
17,1.0030
18,1.0030
19,1.0030
20,1.0030
21,1.0030
22,1.0040
23,1.0030
24,1.0160
25,1.0180
26,1.0130
27,1.0150
28,1.0100
29,1.0220
30,1.0140
31,1.0330
32,1.0270
33,1.0140
34,1.0010
35,1.0020
36,1.0140
37,1.0100
38,1.0110
39,1.0040
40,1.0110
41,1.0140
42,1.0130
43,1.0090
44,1.0040
45,1.0080
46,1.0000
47,0.9950
48,0.9960
49,0.9900
50,0.9990
51,1.0030
52,1.0140
53,1.0200
54,1.0250
55,1.0350
56,1.0330
57,1.0270
58,1.0230
59,1.0300
60,1.0290
61,1.0100
62,1.0150
63,1.0180
64,1.0250
65,1.0050
66,1.0140
67,1.0310
68,1.0290
69,1.0290
70,1.0320
71,1.0320
72,1.0390
73,1.0410
74,1.0340
75,1.0290
76,1.0260
77,1.0330
78,1.0250
79,1.0240
80,1.0290
81,1.0200
82,1.0140
83,1.0050
84,1.0030
85,0.9940
86,1.0140
87,1.0280
88,1.0350
89,1.0510
90,1.0530
91,1.0520
92,1.0490
93,1.0500
94,1.0480
95,1.0740
96,1.0710
97,1.0850
98,1.0800
99,1.0810
100,1.0750
101,1.0650
102,1.0630
103,1.0630
104,1.0810
105,1.1080
106,1.1220
107,1.1370
108,1.1500
109,1.1710
110,1.1770
111,1.2200
112,1.2370
113,1.2900
114,1.2980
115,1.3490
116,1.2920
117,1.3400
118,1.3230
119,1.3280
120,1.3370
121,1.3720
122,1.3930
123,1.3870
124,1.4030
125,1.4040
126,1.3780
127,1.3420
128,1.3820
129,1.4630
130,1.4680
131,1.4690
132,1.4950
133,1.5340
134,1.5310
135,1.5350
136,1.5010
137,1.4980
138,1.4820
139,1.4800
140,1.4750
141,1.5260
142,1.5380
143,1.4250
144,1.4370
145,1.5000
146,1.5050
147,1.5090
148,1.5240
149,1.5120
150,1.4920
151,1.4750
152,1.4550
153,1.4190
154,1.4530
155,1.4410
156,1.4250
157,1.4050
158,1.4200
159,1.4440
160,1.4540
161,1.4580
162,1.4670
163,1.4760
164,1.4870
165,1.4690
166,1.5070
167,1.5080
168,1.5200
169,1.4820
170,1.4900
171,1.4800
172,1.4730
173,1.4930
174,1.4870
175,1.4870
176,1.5090
177,1.5190
178,1.5550
179,1.5760
180,1.6140
181,1.6110
182,1.6330
183,1.6670
184,1.6670
185,1.6530
186,1.6560
187,1.6650
188,1.7100
189,1.6960
190,1.7220
191,1.7230
192,1.7450
193,1.7840
194,1.7900
195,1.7860
196,1.8460
197,1.8830
198,1.8910
199,1.8720
200,1.9230
201,1.9410
202,1.9100
203,1.9480
204,1.9910
205,1.9920
206,1.9750
207,2.0140
208,1.9770
209,1.9980
210,1.9910
211,1.9970
212,1.9160
213,1.9020
214,1.8800
215,1.9270
216,1.9890
217,2.0120
218,2.0120
219,2.0050
220,1.9780
221,1.9820
222,2.0430
223,2.0660
224,2.1160
225,2.1530
226,2.2160
227,2.2750
228,2.2840
229,2.1280
230,2.1560
231,2.2620
232,2.3210
233,2.3180
234,2.3300
235,2.3440
236,2.3610
237,2.3370
238,2.3540
239,2.3630
