data,前海开源沪港深汇鑫灵活配置混合型证券投资基金(002667)
1,1.0000
2,1.0000
3,1.0000
4,1.0010
5,1.0010
6,0.9980
7,0.9970
8,1.0020
9,0.9920
10,0.9920
11,0.9920
12,0.9880
13,0.9900
14,0.9910
15,0.9910
16,0.9880
17,0.9910
18,0.9930
19,0.9930
20,0.9880
21,0.9890
22,0.9980
23,0.9980
24,1.0010
25,1.0020
26,0.9980
27,0.9960
28,0.9940
29,0.9930
30,0.9900
31,0.9910
32,0.9940
33,0.9910
34,0.9910
35,0.9840
36,0.9780
37,0.9820
38,0.9900
39,0.9870
40,0.9880
41,0.9850
42,0.9710
43,0.9700
44,0.9670
45,0.9720
46,0.9740
47,0.9760
48,0.9840
49,0.9850
50,0.9740
51,0.9800
52,0.9810
53,0.9880
54,0.9900
55,1.0040
56,1.0050
57,1.0030
58,0.9980
59,0.9930
60,0.9870
61,0.9930
62,0.9900
63,0.9890
64,0.9860
65,0.9900
66,0.9980
67,0.9970
68,0.9990
69,1.0000
70,1.0060
71,1.0140
72,1.0100
73,1.0140
74,1.0050
75,1.0020
76,1.0080
77,1.0030
78,1.0130
79,1.0060
80,1.0030
81,1.0110
82,1.0090
83,1.0090
84,1.0140
85,1.0140
86,1.0160
87,1.0140
88,1.0160
89,1.0180
90,1.0220
91,1.0260
92,1.0220
93,1.0250
94,1.0100
95,1.0120
96,1.0220
97,1.0310
98,1.0310
99,1.0280
100,0.9870
101,0.9960
102,0.9900
103,0.9860
104,0.9940
105,0.9920
106,0.9910
107,0.9980
108,1.0000
109,0.9940
110,0.9970
111,0.9990
112,0.9950
113,0.9910
114,0.9990
115,0.9990
116,1.0070
117,1.0230
118,1.0230
119,1.0130
120,1.0240
121,1.0220
122,1.0060
123,0.9980
124,0.9840
125,0.9720
126,0.9780
127,0.9800
128,0.9780
129,0.9840
130,0.9890
131,0.9880
132,0.9900
133,0.9920
134,0.9900
135,0.9950
136,0.9930
137,0.9970
138,1.0040
139,1.0100
140,1.0190
141,1.0250
142,1.0160
143,1.0210
144,1.0160
145,1.0370
146,1.0400
147,1.0490
148,1.0380
149,1.0350
150,1.0240
151,1.0300
152,1.0350
153,1.0330
154,1.0360
155,1.0410
156,1.0450
157,1.0450
158,1.0380
159,1.0430
160,1.0520
161,1.0550
162,1.0580
163,1.0620
164,1.0540
165,1.0590
166,1.0760
167,1.0790
168,1.0790
169,1.0820
170,1.0690
171,1.0670
172,1.0720
173,1.0640
174,1.0780
175,1.0910
176,1.0920
177,1.0960
178,1.0870
179,1.0850
180,1.0900
181,1.0980
182,1.0900
183,1.0930
184,1.1000
185,1.1050
186,1.1210
187,1.1070
188,1.0870
189,1.1020
190,1.0980
191,1.1020
192,1.0940
193,1.1020
194,1.1000
195,1.0950
196,1.0870
197,1.0690
198,1.0760
199,1.0760
200,1.0850
201,1.0920
202,1.1020
203,1.1210
204,1.1120
205,1.1080
206,1.1100
207,1.1130
208,1.1150
209,1.1130
210,1.1090
211,1.1090
212,1.1130
213,1.1150
214,1.1130
215,1.1150
216,1.1220
217,1.1370
218,1.1520
219,1.1570
220,1.1080
221,1.1090
222,1.0960
223,1.0910
224,1.0920
225,1.1040
226,1.1040
227,1.1180
228,1.1140
229,1.1290
230,1.1460
231,1.1490
232,1.1370
233,1.1410
234,1.1430
235,1.1330
236,1.1210
237,1.1440
238,1.1420
239,1.1400
240,1.1300
241,1.1400
242,1.1440
243,1.1420
244,1.1490
245,1.1420
246,1.1390
247,1.1610
248,1.1750
249,1.1810
250,1.1850
251,1.1790
252,1.1690
253,1.1630
254,1.1810
255,1.1920
256,1.1990
257,1.2050
258,1.1830
259,1.1730
260,1.1870
261,1.1830
262,1.1930
263,1.1870
264,1.1640
265,1.1910
266,1.1970
267,1.1910
268,1.1880
269,1.1820
270,1.1830
271,1.1910
272,1.1940
273,1.1890
274,1.2010
275,1.2090
276,1.2080
277,1.2140
278,1.2140
279,1.2220
280,1.2200
281,1.2310
282,1.2300
283,1.2270
284,1.2300
285,1.2400
286,1.2450
287,1.2570
288,1.2440
289,1.2430
290,1.2580
291,1.2460
292,1.2560
293,1.2540
294,1.2560
295,1.2570
296,1.2580
297,1.2760
298,1.2810
299,1.2800
300,1.3020
301,1.2980
302,1.3020
303,1.3070
304,1.3130
305,1.3150
306,1.3130
307,1.3230
308,1.3140
309,1.3190
310,1.3290
311,1.3340
312,1.3370
313,1.3500
314,1.3680
315,1.3680
316,1.3760
317,1.3740
318,1.3710
319,1.3800
320,1.4060
321,1.4120
322,1.4040
323,1.4270
324,1.4570
