data,华商创新成长灵活配置混合型发起式证券投资基金(000541)
1,1.0000
2,0.9980
3,1.0040
4,1.0010
5,1.0100
6,0.9830
7,0.9650
8,0.9690
9,0.9760
10,0.9870
11,0.9920
12,0.9860
13,0.9830
14,0.9740
15,0.9820
16,0.9860
17,0.9860
18,0.9760
19,0.9700
20,0.9740
21,0.9790
22,0.9850
23,0.9890
24,1.0030
25,1.0120
26,1.0130
27,1.0260
28,1.0180
29,1.0210
30,1.0200
31,1.0160
32,1.0290
33,1.0260
34,1.0220
35,1.0290
36,1.0380
37,1.0420
38,1.0500
39,1.0620
40,1.0520
41,1.0460
42,1.0210
43,1.0260
44,1.0410
45,1.0540
46,1.0470
47,1.0630
48,1.0760
49,1.0830
50,1.0850
51,1.0950
52,1.1040
53,1.0950
54,1.0920
55,1.0980
56,1.0800
57,1.0700
58,1.0700
59,1.0780
60,1.0470
61,1.0260
62,1.0250
63,1.0300
64,1.0350
65,1.0590
66,1.0360
67,1.0300
68,1.0320
69,1.0440
70,1.0500
71,1.0550
72,1.0590
73,1.0480
74,1.0520
75,1.0640
76,1.0750
77,1.0710
78,1.0810
79,1.0950
80,1.0910
81,1.0870
82,1.0780
83,1.0900
84,1.1080
85,1.1160
86,1.1040
87,1.1150
88,1.1190
89,1.1140
90,1.1030
91,1.1080
92,1.1010
93,1.1130
94,1.1260
95,1.1380
96,1.1450
97,1.1540
98,1.1510
99,1.1560
100,1.1630
101,1.1610
102,1.1750
103,1.1930
104,1.1600
105,1.1600
106,1.1710
107,1.1880
108,1.1870
109,1.2100
110,1.2210
111,1.2310
112,1.2330
113,1.2350
114,1.2440
115,1.2440
116,1.2400
117,1.2310
118,1.1530
119,1.1540
120,1.1560
121,1.1370
122,1.1240
123,1.1440
124,1.1430
125,1.1340
126,1.1200
127,1.1210
128,1.1330
129,1.1530
130,1.1620
131,1.1580
132,1.1460
133,1.1590
134,1.1530
135,1.1530
136,1.1660
137,1.1620
138,1.1540
139,1.1250
140,1.1380
141,1.1230
142,1.1200
143,1.1340
144,1.1370
145,1.1580
146,1.1530
147,1.1600
148,1.1750
149,1.2040
150,1.2140
151,1.2180
152,1.2200
153,1.2010
154,1.2130
155,1.2230
156,1.2540
157,1.2410
158,1.2330
159,1.1740
160,1.2130
161,1.2280
162,1.2580
163,1.2960
164,1.3010
165,1.2940
166,1.3020
167,1.2870
168,1.2280
169,1.2050
170,1.2090
171,1.2270
172,1.2290
173,1.1910
174,1.1720
175,1.1780
176,1.1430
177,1.1780
178,1.1730
179,1.1840
180,1.1900
181,1.2140
182,1.2340
183,1.2260
184,1.2310
185,1.2480
186,1.2380
187,1.2810
188,1.3060
189,1.3220
190,1.3030
191,1.3370
192,1.3600
193,1.3550
194,1.3500
195,1.3340
196,1.3500
197,1.3860
198,1.4000
199,1.4050
200,1.3770
201,1.3640
202,1.3830
203,1.4200
204,1.4400
205,1.4710
206,1.5070
207,1.5190
208,1.4880
209,1.4920
210,1.5170
211,1.5600
212,1.5510
213,1.5900
214,1.5930
215,1.5540
216,1.5740
217,1.5960
218,1.6000
219,1.5870
220,1.6150
221,1.6660
222,1.6850
223,1.7140
224,1.7370
225,1.7750
226,1.8430
227,1.8980
228,1.9300
229,1.8620
230,1.8770
231,1.8590
232,1.8860
233,1.9270
234,1.9760
235,2.0270
236,2.0600
237,2.0330
238,2.0420
239,2.0780
240,2.0970
241,2.1000
242,2.0070
243,2.0230
244,2.0250
245,1.9900
246,2.0820
247,2.1320
248,2.1470
249,2.1380
250,2.1450
251,2.0640
252,2.1250
253,2.1620
254,2.1560
255,2.1000
256,2.1370
257,2.1180
258,2.2120
259,2.3420
260,2.4310
261,2.4730
262,2.4810
263,2.4630
264,2.5210
265,2.5620
266,2.6290
267,2.7270
268,2.7490
269,2.7890
270,2.8770
271,2.8990
272,2.7880
273,2.8240
274,2.9090
275,2.9650
276,3.0040
277,2.9750
278,2.9840
279,2.8900
280,2.8920
281,2.9820
282,3.0410
283,3.0620
284,2.9680
285,2.8790
286,2.9360
287,2.8690
288,2.7610
289,2.7590
290,2.7700
291,2.6570
292,2.5040
293,2.3690
294,2.9680
295,2.8790
296,2.9360
297,2.8690
298,2.7610
299,2.7590
300,2.7700
301,2.6570
302,2.5040
303,2.3690
304,2.4250
305,2.3490
306,2.2810
307,2.2070
308,2.1250
309,2.0380
310,1.9090
311,1.9240
312,1.9850
313,2.1000
314,2.1330
315,2.0540
316,2.0480
317,2.1290
318,2.1540
319,2.1860
320,2.2200
321,2.2570
322,2.2560
323,2.1530
324,2.1090
325,2.1680
326,2.0880
327,2.0410
328,1.9880
329,2.0590
330,2.0320
331,2.0140
332,2.0700
333,2.1540
334,2.1690
335,2.1230
336,2.1510
337,2.1520
338,2.1330
339,2.0180
340,2.0500
341,1.9970
342,1.9170
343,1.8030
344,1.7020
345,1.6600
346,1.7030
347,1.7900
348,1.7480
349,1.6720
350,1.6350
351,1.6500
352,1.7130
353,1.7710
354,1.7640
355,1.7730
356,1.6840
357,1.6220
358,1.7110
