data,华商双债丰利债券型证券投资基金C类(000481)
1,1.0000
2,1.0010
3,1.0030
4,1.0040
5,1.0030
6,1.0030
7,1.0010
8,0.9990
9,0.9990
10,0.9990
11,0.9990
12,0.9980
13,1.0000
14,1.0010
15,1.0020
16,1.0050
17,1.0060
18,1.0050
19,1.0040
20,1.0030
21,1.0020
22,0.9990
23,0.9930
24,0.9960
25,0.9960
26,0.9980
27,0.9930
28,0.9910
29,0.9940
30,0.9950
31,0.9950
32,0.9980
33,0.9980
34,1.0000
35,1.0010
36,1.0010
37,1.0020
38,1.0060
39,1.0050
40,1.0050
41,1.0060
42,1.0070
43,1.0080
44,1.0070
45,1.0090
46,1.0120
47,1.0140
48,1.0150
49,1.0160
50,1.0170
51,1.0180
52,1.0100
53,1.0240
54,1.0270
55,1.0260
56,1.0230
57,1.0240
58,1.0240
59,1.0270
60,1.0290
61,1.0310
62,1.0320
63,1.0400
64,1.0360
65,1.0380
66,1.0410
67,1.0440
68,1.0480
69,1.0510
70,1.0570
71,1.0660
72,1.0670
73,1.0670
74,1.0670
75,1.0690
76,1.0720
77,1.0690
78,1.0660
79,1.0650
80,1.0690
81,1.0720
82,1.0670
83,1.0670
84,1.0700
85,1.0700
86,1.0730
87,1.0730
88,1.0740
89,1.0750
90,1.0650
91,1.0770
92,1.0770
93,1.0810
94,1.0770
95,1.0790
96,1.0830
97,1.0860
98,1.0840
99,1.0800
100,1.0830
101,1.0780
102,1.0850
103,1.0860
104,1.0880
105,1.0910
106,1.0980
107,1.1010
108,1.1010
109,1.1060
110,1.1010
111,1.1030
112,1.1040
113,1.1090
114,1.1070
115,1.1090
116,1.1150
117,1.1170
118,1.1160
119,1.1150
120,1.1170
121,1.1210
122,1.1210
123,1.1200
124,1.1180
125,1.1200
126,1.1200
127,1.1170
128,1.1170
129,1.1170
130,1.1190
131,1.1260
132,1.1310
133,1.1330
134,1.1340
135,1.1360
136,1.1350
137,1.1370
138,1.1350
139,1.1360
140,1.1400
141,1.1310
142,1.1310
143,1.1350
144,1.1370
145,1.1330
146,1.1360
147,1.1410
148,1.1480
149,1.1500
150,1.1520
151,1.1580
152,1.1580
153,1.1570
154,1.1540
155,1.1570
156,1.1570
157,1.1610
158,1.1600
159,1.1590
160,1.1630
161,1.1650
162,1.1640
163,1.1660
164,1.1180
165,1.1190
166,1.1260
167,1.1290
168,1.1310
169,1.1320
170,1.1340
171,1.1340
172,1.1350
173,1.1420
174,1.1400
175,1.1430
176,1.1380
177,1.1400
178,1.1300
179,1.1280
180,1.1290
181,1.1290
182,1.1300
183,1.1300
184,1.1350
185,1.1410
186,1.1470
187,1.1480
188,1.1490
189,1.1570
190,1.1520
191,1.1560
192,1.1560
193,1.1600
194,1.1490
195,1.1490
196,1.1180
197,1.1330
198,1.1510
199,1.1590
200,1.1670
201,1.1560
202,1.1560
203,1.1600
204,1.1490
205,1.1490
206,1.1180
207,1.1330
208,1.1510
209,1.1590
210,1.1670
211,1.1730
212,1.1780
213,1.1820
214,1.1890
215,1.1710
216,1.1630
217,1.1760
218,1.1830
219,1.1880
220,1.1850
221,1.1770
222,1.1820
223,1.2000
224,1.2130
225,1.2360
226,1.2340
227,1.2280
228,1.2200
229,1.2250
230,1.2210
231,1.2270
232,1.2370
233,1.2140
234,1.2370
235,1.2130
236,1.2240
237,1.2220
238,1.2250
239,1.2240
240,1.2130
241,1.2080
242,1.1900
243,1.1730
244,1.1790
245,1.1850
246,1.1850
247,1.1730
248,1.1710
249,1.1750
250,1.1800
251,1.1850
252,1.1980
253,1.2150
254,1.2220
255,1.2180
256,1.2200
257,1.2250
258,1.2290
259,1.2220
260,1.2260
261,1.2370
262,1.2270
263,1.2300
264,1.2330
265,1.2300
266,1.2260
267,1.2350
268,1.2480
269,1.2560
270,1.2630
271,1.2630
272,1.2710
273,1.2850
274,1.2880
275,1.3030
276,1.2870
277,1.2890
278,1.2870
279,1.2870
280,1.2980
281,1.3160
282,1.3320
283,1.3380
284,1.3360
285,1.3200
286,1.3370
287,1.3510
288,1.3510
289,1.3280
290,1.3310
291,1.3300
292,1.2750
293,1.2920
294,1.3050
295,1.3130
296,1.3200
297,1.3220
298,1.3200
299,1.3350
300,1.3400
301,1.3400
302,1.3270
303,1.3260
304,1.3250
305,1.3450
306,1.3710
307,1.3830
308,1.3850
309,1.3880
310,1.3880
311,1.3980
312,1.4100
313,1.4120
314,1.4220
315,1.4260
316,1.4320
317,1.4420
318,1.4530
319,1.4320
320,1.4400
321,1.4630
322,1.4730
323,1.4740
324,1.4740
325,1.4770
326,1.4700
327,1.4720
328,1.4760
329,1.4790
330,1.4820
331,1.4730
332,1.4620
333,1.4700
334,1.4650
335,1.4450
336,1.4400
337,1.4460
338,1.4340
339,1.4130
340,1.3930
341,1.4050
342,1.3850
343,1.3620
344,1.3480
345,1.3350
346,1.2860
347,1.2450
348,1.2920
349,1.3270
350,1.3690
351,1.3750
352,1.3340
353,1.3350
354,1.2350
355,1.2560
356,1.2740
357,1.2780
358,1.3040
359,1.2930
360,1.2430
361,1.2360
362,1.2560
363,1.2430
364,1.2310
365,1.2150
366,1.2400
367,1.2410
368,1.2450
369,1.2630
370,1.2940
371,1.2890
372,1.2730
373,1.2910
374,1.2940
375,1.3000
376,1.2600
377,1.2680
378,1.2590
379,1.2400
380,1.2190
381,1.2040
382,1.1970
383,1.2030
384,1.2170
385,1.2080
386,1.1910
387,1.1840
388,1.1900
389,1.2060
390,1.2190
391,1.2150
392,1.2190
393,1.2010
394,1.1900
395,1.2040
396,1.2020
397,1.2080
398,1.2200
399,1.2210
400,1.2180
401,1.2150
402,1.2190
403,1.2010
404,1.1900
405,1.2040
406,1.2020
407,1.2080
408,1.2200
409,1.2210
410,1.2180
411,1.2210
412,1.2120
413,1.2180
414,1.2160
415,1.2170
416,1.2290
417,1.2310
418,1.2420
419,1.2450
420,1.2470
421,1.2540
422,1.2580
423,1.2550
424,1.2690
425,1.2630
426,1.2740
427,1.2780
428,1.2910
429,1.2900
430,1.2840
431,1.2840
432,1.2810
433,1.2740
434,1.2730
435,1.2870
436,1.2850
437,1.2910
438,1.2940
439,1.2960
440,1.3030
441,1.3010
442,1.2950
443,1.3010
444,1.3010
445,1.2940
446,1.2990
447,1.3070
448,1.3070
449,1.3090
450,1.3150
451,1.3130
452,1.2920
453,1.2930
454,1.2960
455,1.2970
456,1.3050
457,1.3080
458,1.3230
459,1.3140
460,1.3090
461,1.3060
462,1.3010
463,1.3040
464,1.3060
465,1.3070
466,1.3110
467,1.3120
468,1.3120
469,1.3120
470,1.3110
471,1.3120
472,1.3150
473,1.3140
474,1.3160
475,1.3170
476,1.3160
477,1.3040
478,1.3020
479,1.3030
480,1.2970
481,1.2970
482,1.2940
483,1.2950
484,1.2900
485,1.2970
486,1.2850
487,1.2880
488,1.2940
489,1.2620
490,1.2570
491,1.2610
492,1.2640
493,1.2530
494,1.2520
495,1.2470
496,1.2550
497,1.2500
498,1.2550
499,1.2550
500,1.2590
501,1.2580
502,1.2570
503,1.2650
504,1.2680
505,1.2710
506,1.2710
507,1.2760
508,1.2750
509,1.2800
510,1.2590
511,1.2640
512,1.2510
513,1.2560
514,1.2690
515,1.2710
516,1.2640
517,1.2730
518,1.2780
519,1.2670
520,1.2620
521,1.2610
522,1.2710
523,1.2720
524,1.2690
525,1.2790
526,1.2910
527,1.2970
528,1.2970
