data,华夏收入混合型证券投资基金(288002)
1,5.1200
2,5.1430
3,5.1320
4,5.1090
5,5.0570
6,5.0990
7,5.1160
8,5.1100
9,5.1580
10,5.1830
11,1.0001
12,1.0001
13,1.0010
14,1.0020
15,1.0030
16,1.0034
17,1.0034
18,1.0037
19,1.0049
20,1.0049
21,1.0049
22,1.0054
23,1.0052
24,1.0052
25,1.0062
26,1.0086
27,1.0129
28,1.0136
29,1.0165
30,1.0141
31,1.0210
32,1.0200
33,1.0165
34,1.0196
35,1.0276
36,1.0275
37,1.0313
38,1.0315
39,1.0273
40,1.0283
41,1.0349
42,1.0355
43,1.0383
44,1.0356
45,1.0439
46,1.0423
47,1.0446
48,1.0448
49,1.0342
50,1.0274
51,1.0266
52,1.0307
53,1.0326
54,1.0224
55,1.0298
56,1.0399
57,1.0409
58,1.0530
59,1.0558
60,1.0573
61,1.0664
62,1.0696
63,1.0854
64,1.0820
65,1.0884
66,1.0994
67,1.1064
68,1.1188
69,1.1118
70,1.1253
71,1.1583
72,1.1710
73,1.1813
74,1.2005
75,1.2028
76,1.2130
77,1.2147
78,1.1967
79,1.1683
80,1.1997
81,1.2006
82,1.2003
83,1.2304
84,1.2005
85,1.2028
86,1.2130
87,1.2147
88,1.1967
89,1.1683
90,1.1997
91,1.2006
92,1.2003
93,1.2304
94,1.3869
95,1.3061
96,1.3396
97,1.3021
98,1.3019
99,1.3117
100,1.3464
101,1.3522
102,1.3132
103,1.3021
104,1.3112
105,1.3305
106,1.3647
107,1.3672
108,1.3564
109,1.4041
110,1.3952
111,1.3929
112,1.3846
113,1.3156
114,1.3112
115,1.3305
116,1.3647
117,1.3672
118,1.3564
119,1.4041
120,1.3952
121,1.3929
122,1.3846
123,1.3156
124,1.3090
125,1.2986
126,1.3154
127,1.3218
128,1.3085
129,1.3006
130,1.3364
131,1.3446
132,1.3426
133,1.3481
134,1.3451
135,1.3557
136,1.3789
137,1.3811
138,1.3728
139,1.4019
140,1.3980
141,1.4172
142,1.4052
143,1.4014
144,1.4354
145,1.4349
146,1.4395
147,1.4532
148,1.4685
149,1.3995
150,1.4199
151,1.4253
152,1.4346
153,1.4062
154,1.4151
155,1.4248
156,1.4378
157,1.4564
158,1.4501
159,1.4174
160,1.3983
161,1.3425
162,1.3433
163,1.3435
164,1.3527
165,1.3190
166,1.3000
167,1.3331
168,1.3377
169,1.3543
170,1.3694
171,1.3416
172,1.3636
173,1.3914
174,1.3800
175,1.3724
176,1.3769
177,1.3962
178,1.3899
179,1.3942
180,1.4045
181,1.4412
182,1.4548
183,1.4636
184,1.4692
185,1.4527
186,1.4705
187,1.4574
188,1.4540
189,1.4422
190,1.4516
191,1.4636
192,1.4745
193,1.4616
194,1.5062
195,1.5198
196,1.5448
197,1.5499
198,1.5484
199,1.5234
200,1.5488
201,1.5540
202,1.5726
203,1.5905
204,1.5062
205,1.5198
206,1.5448
207,1.5499
208,1.5484
209,1.5234
210,1.5488
211,1.5540
212,1.5726
213,1.5905
214,1.6137
215,1.5987
216,1.5738
217,1.6135
218,1.6249
219,1.6317
220,1.6296
221,1.6036
222,1.6255
223,1.6356
224,1.6430
225,1.6559
226,1.6519
227,1.6499
228,1.6463
229,1.6775
230,1.6572
231,1.6446
232,1.6670
233,1.7111
234,1.9196
235,1.9327
236,1.9634
237,1.9788
238,1.9546
239,1.9335
240,1.8685
241,1.9492
242,1.9717
243,1.9814
244,1.9196
245,1.9327
246,1.9634
247,1.9788
248,1.9546
249,1.9335
250,1.8685
251,1.9492
252,1.9717
253,1.9814
254,2.0009
255,2.0556
256,2.1214
257,2.1241
258,2.1332
259,2.0904
260,2.0661
261,2.1181
262,2.1122
263,2.1517
264,2.4453
265,2.5219
266,2.4710
267,2.4722
268,2.5273
269,2.6199
270,2.6554
271,2.6810
272,2.5789
273,2.5959
274,2.6314
275,2.6039
276,2.4880
277,1.1939
278,1.1611
279,1.1634
280,1.1713
281,1.1871
282,1.1970
283,1.1895
284,1.2201
285,1.2373
286,1.2661
287,1.2977
288,1.3064
289,1.3210
290,1.2160
291,1.2503
292,1.2080
293,1.2255
294,1.2154
295,1.2360
296,1.2715
297,1.2865
298,1.2912
299,1.2948
300,1.2965
301,1.2769
302,1.3031
303,1.2833
304,1.3091
305,1.3097
306,1.3225
307,1.3282
308,1.3254
309,1.3390
310,1.3420
311,1.3432
312,1.3363
313,1.3389
314,1.3797
315,1.3967
316,1.4125
317,1.4299
318,1.4400
319,1.4769
320,1.4970
321,1.5248
322,1.5405
323,1.5255
324,1.5636
325,1.5796
326,1.5912
327,1.5185
328,1.5798
329,1.6441
330,1.6516
331,1.6522
332,1.6791
333,1.6640
334,1.6856
335,1.7433
336,1.7361
337,1.7528
338,1.7383
339,1.7606
340,1.7124
341,1.7464
342,1.7864
343,1.7931
344,1.8269
345,1.8412
346,1.8688
347,1.8482
348,1.8720
349,1.9243
350,1.9812
351,1.8704
352,1.9137
353,1.8329
354,1.8269
355,1.8412
356,1.8688
357,1.8482
358,1.8720
359,1.9243
360,1.9812
361,1.8704
362,1.9137
363,1.8329
364,1.7033
365,1.7575
366,1.7989
367,1.8584
368,1.8643
369,1.9225
370,1.9742
371,2.0125
372,1.9894
373,1.9823
374,2.0324
375,2.0509
376,2.0121
377,2.0256
378,1.9804
379,1.9073
380,1.9317
381,1.9729
382,1.8971
383,1.8681
384,1.8681
385,1.8748
386,1.9020
387,1.8779
388,1.8075
389,1.8726
390,1.9268
391,1.9019
392,1.9111
393,1.9347
394,1.9386
395,1.9151
396,1.9588
397,1.9663
398,1.9569
399,2.0272
400,2.0814
401,2.0885
402,2.1115
403,2.1154
404,2.1280
405,2.1724
406,2.1954
407,2.1354
408,2.2028
409,2.2728
410,2.3179
411,2.3261
412,2.2926
413,2.3353
414,2.3125
415,2.2979
416,2.3230
417,2.3272
418,2.2976
419,2.2621
420,2.3712
421,2.4016
422,2.4236
423,2.4398
424,2.5794
425,2.6225
426,2.5293
427,2.5517
428,2.6199
429,2.6680
430,2.7394
431,2.7208
432,2.6867
433,2.7233
434,2.5794
435,2.6225
436,2.5293
437,2.5517
438,2.6199
439,2.6680
440,2.7394
441,2.7208
442,2.6867
443,2.7233
444,2.7745
445,2.8121
446,2.8273
447,2.8004
448,2.7167
449,2.7216
450,2.6425
451,2.6482
452,2.6698
453,2.5699
454,2.5628
455,2.6253
456,2.6543
457,2.6811
458,2.6134
459,2.5408
460,2.5286
461,2.5143
462,2.5353
463,2.4708
464,2.4497
465,2.4129
466,2.3833
467,2.4657
468,2.4342
469,2.4032
470,2.4125
471,2.4394
472,2.4308
473,2.3657
474,2.3954
475,2.3803
476,2.3592
477,2.3378
478,2.3894
479,2.3681
480,2.3747
481,2.3835
482,2.4327
483,2.4303
484,2.4587
485,2.5055
486,2.5084
487,2.4965
488,2.4178
489,2.4337
490,2.3987
491,2.3974
492,2.4445
493,2.4819
494,2.5175
495,2.5628
496,2.5750
497,2.6038
498,2.6448
499,2.6303
500,2.6301
501,2.6498
502,2.6676
503,2.6829
504,2.5175
505,2.5628
506,2.5750
507,2.6038
508,2.6448
509,2.6303
510,2.6301
511,2.6498
512,2.6676
513,2.6829
514,2.7188
515,2.6837
516,2.7370
517,2.7778
518,2.7763
519,2.7794
520,2.7867
521,2.7140
522,2.6517
523,2.6818
524,2.4648
525,2.4686
526,2.4350
527,2.4690
528,2.4401
529,2.4780
530,2.5199
531,2.4744
532,2.4709
533,2.4140
534,2.3512
535,2.3422
536,2.3878
537,2.3883
538,2.4111
539,2.4467
540,2.4066
541,2.3893
542,2.4080
543,2.3813
544,2.3512
545,2.3422
546,2.3878
547,2.3883
548,2.4111
549,2.4467
550,2.4066
551,2.3893
552,2.4080
553,2.3813
554,2.3162
555,2.3283
556,2.3064
557,2.2805
558,2.2569
559,2.1652
560,2.0990
561,2.1360
562,2.1596
563,2.1844
564,2.1286
565,2.0796
566,2.1176
567,2.1248
568,2.0474
569,2.0749
570,2.0593
571,2.0179
572,1.9802
573,1.9896
574,2.1286
575,2.0796
576,2.1176
577,2.1248
578,2.0474
579,2.0749
580,2.0593
581,2.0179
582,1.9802
583,1.9896
584,1.9815
585,2.0403
586,2.1550
587,2.1520
588,2.1329
589,2.1409
590,2.1821
591,2.2190
592,2.2161
593,2.1733
594,2.2032
595,2.1804
596,2.1102
597,2.1135
598,2.1460
599,2.1103
600,2.1029
601,2.1146
602,2.1139
603,2.0821
604,2.0578
605,2.0601
606,1.9557
607,1.9414
608,1.9150
609,1.8699
610,1.8373
611,1.7853
612,1.8604
613,1.7659
614,1.7860
615,1.7489
616,1.7882
617,1.8529
618,1.8700
619,1.7961
620,1.7942
621,1.7563
622,1.7647
623,1.8043
624,1.7776
625,1.8398
626,1.8527
627,1.8937
628,1.8698
629,1.8620
630,1.8848
631,1.8369
632,1.7917
633,1.7822
634,1.8118
635,1.8575
636,1.8512
637,1.8345
638,1.8589
639,1.8410
640,1.8517
641,1.8326
642,1.8217
643,1.7854
644,1.8118
645,1.8575
646,1.8512
647,1.8345
648,1.8589
649,1.8410
650,1.8517
651,1.8326
652,1.8217
653,1.7854
654,1.8118
655,1.8575
656,1.8512
657,1.8345
658,1.8589
659,1.8410
660,1.8517
661,1.8326
662,1.8217
663,1.7854
664,1.7929
665,1.7678
666,1.7372
667,1.7389
668,1.7363
669,1.6969
670,1.6414
671,1.6422
672,1.6466
673,1.6471
674,1.5605
675,1.5339
676,1.5215
677,1.5018
678,1.5016
679,1.4732
680,1.4478
681,1.4502
682,1.4534
683,1.4351
684,1.5605
685,1.5339
686,1.5215
687,1.5018
