data,华夏行业景气混合型证券投资基金(003567)
1,0.9999
2,0.9983
3,1.0079
4,1.0082
5,1.0074
6,1.0086
7,1.0100
8,1.0062
9,1.0069
10,1.0049
11,1.0045
12,1.0056
13,1.0115
14,1.0094
15,1.0096
16,1.0112
17,1.0066
18,1.0066
19,1.0054
20,1.0011
21,1.0045
22,1.0117
23,1.0143
24,1.0113
25,1.0045
26,1.0035
27,1.0031
28,1.0060
29,1.0003
30,1.0009
31,1.0035
32,1.0041
33,1.0082
34,0.9995
35,0.9927
36,0.9921
37,0.9889
38,0.9941
39,0.9876
40,0.9849
41,0.9819
42,0.9789
43,0.9747
44,0.9693
45,0.9700
46,0.9655
47,0.9660
48,0.9669
49,0.9706
50,0.9781
51,0.9764
52,0.9762
53,0.9773
54,0.9747
55,0.9711
56,0.9710
57,0.9716
58,0.9708
59,0.9726
60,0.9670
61,0.9661
62,0.9682
63,0.9726
64,0.9822
65,0.9857
66,0.9888
67,0.9866
68,0.9910
69,0.9876
70,0.9916
71,0.9891
72,0.9911
73,0.9910
74,0.9932
75,0.9887
76,0.9891
77,1.0026
78,1.0014
79,0.9971
80,1.0007
81,1.0028
82,1.0067
83,1.0021
84,1.0071
85,1.0097
86,1.0101
87,1.0073
88,1.0029
89,1.0014
90,1.0035
91,1.0067
92,0.9922
93,0.9966
94,1.0058
95,1.0068
96,1.0089
97,1.0124
98,1.0090
99,1.0023
100,1.0071
101,1.0118
102,1.0193
103,1.0221
104,1.0176
105,1.0135
106,1.0124
107,1.0195
108,1.0187
109,1.0207
110,1.0189
111,1.0060
112,1.0201
113,1.0202
114,1.0214
115,1.0237
116,1.0219
117,1.0290
118,1.0271
119,1.0245
120,1.0198
121,1.0271
122,1.0351
123,1.0353
124,1.0361
125,1.0343
126,1.0373
127,1.0441
128,1.0424
129,1.0386
130,1.0328
131,1.0338
132,1.0379
133,1.0432
134,1.0438
135,1.0452
136,1.0434
137,1.0521
138,1.0474
139,1.0488
140,1.0480
141,1.0479
142,1.0415
143,1.0401
144,1.0385
145,1.0442
146,1.0474
147,1.0597
148,1.0692
149,1.0746
150,1.0754
151,1.0813
152,1.0777
153,1.0834
154,1.0904
155,1.0872
156,1.0870
157,1.0993
158,1.0969
159,1.1053
160,1.1062
161,1.1142
162,1.1070
163,1.1021
164,1.0923
165,1.0867
166,1.0860
167,1.1038
168,1.1051
169,1.1057
170,1.1083
171,1.1313
