data,华安动态灵活配置混合型证券投资基金(040015)
1,1.0000
2,1.0030
3,0.9960
4,1.0080
5,0.9800
6,0.9590
7,0.9650
8,0.9670
9,0.9600
10,0.9570
11,0.9660
12,0.9640
13,0.9540
14,0.9540
15,0.9560
16,0.9650
17,0.9650
18,0.9720
19,0.9700
20,0.9700
21,0.9810
22,0.9880
23,0.9870
24,0.9910
25,0.9880
26,0.9920
27,0.9760
28,0.9760
29,0.9810
30,0.9810
31,0.9770
32,0.9750
33,0.9660
34,0.9540
35,0.9570
36,0.9720
37,0.9700
38,0.9760
39,0.9790
40,0.9760
41,0.9760
42,0.9700
43,0.9770
44,0.9840
45,0.9850
46,0.9830
47,0.9940
48,0.9970
49,0.9960
50,0.9950
51,0.9920
52,1.0010
53,1.0010
54,1.0070
55,1.0140
56,1.0090
57,1.0020
58,0.9680
59,0.9770
60,0.9950
61,0.9920
62,1.0010
63,1.0010
64,1.0070
65,1.0140
66,1.0090
67,1.0020
68,0.9680
69,0.9770
70,0.9950
71,0.9090
72,0.9030
73,0.8850
74,0.8800
75,0.8990
76,0.9000
77,0.8690
78,0.8760
79,0.8780
80,0.8690
81,0.8790
82,0.8990
83,0.8940
84,0.8940
85,0.9040
86,0.9070
87,0.8920
88,0.8840
89,0.8880
90,0.8880
91,0.8930
92,0.8940
93,0.8980
94,0.9100
95,0.9090
96,0.9040
97,0.8940
98,0.8740
99,0.8860
100,0.8890
101,0.8850
102,0.8850
103,0.8760
104,0.8690
105,0.8450
106,0.8440
107,0.8350
108,0.8320
109,0.8290
110,0.8400
111,0.8450
112,0.8420
113,0.8550
114,0.8580
115,0.8520
116,0.8540
117,0.8430
118,0.8440
119,0.8560
120,0.8700
121,0.8710
122,0.8770
123,0.8790
124,0.8850
125,0.8840
126,0.8960
127,0.8960
128,0.8970
129,0.9070
130,0.8960
131,0.9000
132,0.9040
133,0.9140
134,0.9200
135,0.9000
136,0.9070
137,0.9010
138,0.9110
139,0.9260
140,0.9300
141,0.9260
142,0.9270
143,0.9110
144,0.9140
145,0.9210
146,0.9090
147,0.9130
148,0.9150
149,0.9350
150,0.9390
151,0.9310
152,0.9460
153,0.9510
154,0.9520
155,0.9550
156,0.9620
157,0.9500
158,0.9560
159,0.9730
160,0.9730
161,0.9610
162,0.9420
163,0.9440
164,0.9390
165,0.9400
166,0.9590
167,0.9590
168,0.9500
169,0.9620
170,0.9830
171,0.9770
172,0.9850
173,0.9870
174,0.9650
175,0.9680
176,0.9550
177,0.9780
178,0.9850
179,0.9920
180,1.0030
181,1.0220
182,1.0250
183,1.0130
184,1.0090
185,1.0220
186,1.0460
187,1.0370
188,1.0240
189,1.0470
190,1.0600
191,1.0700
192,1.0740
193,1.0710
194,1.0640
195,1.0120
196,1.0440
197,1.0220
198,0.9910
199,1.0010
200,1.0320
201,1.0420
202,1.0360
203,1.0640
204,1.0710
205,1.0710
206,1.0840
207,1.0640
208,1.0590
209,1.0590
210,1.0450
211,1.0320
212,1.0410
213,1.0420
214,1.0300
215,1.0420
216,1.0720
217,1.0830
218,1.0780
219,1.0740
220,1.0800
221,1.0710
222,1.0800
223,1.0750
224,1.0560
225,1.0380
226,1.0160
227,1.0040
228,1.0210
229,1.0270
230,1.0520
231,1.0680
232,1.0790
233,1.0810
234,1.0700
235,1.0470
236,1.0440
237,1.0490
238,1.0440
239,1.0320
240,0.9940
241,0.9890
242,1.0140
243,0.9870
244,0.9960
245,0.9790
246,0.9610
247,0.9780
248,0.9930
249,1.0030
250,1.0200
251,1.0140
252,1.0110
253,1.0250
254,1.0410
255,1.0560
256,1.0530
257,1.0690
258,1.0800
259,1.0690
260,1.0900
261,1.0650
262,1.0710
263,1.0720
264,1.0710
265,1.0960
266,1.0940
267,1.0850
268,1.0600
269,1.0670
270,1.0790
271,1.0830
272,1.0950
273,1.0920
274,1.0870
275,1.0930
276,1.0840
277,1.1080
278,1.0900
279,1.0940
280,1.0830
281,1.0890
282,1.0990
283,1.1120
284,1.1170
285,1.1120
286,1.0970
287,1.0860
288,1.0740
289,1.0930
290,1.0960
291,1.1040
292,1.1150
293,1.1070
294,1.1130
295,1.1190
296,1.1210
297,1.1330
298,1.1340
299,1.1150
300,1.1180
301,1.1190
302,1.1100
303,1.0920
304,1.0890
305,1.0800
306,1.0600
307,1.0770
308,1.0960
309,1.0790
310,1.0750
311,1.0870
312,1.0860
313,1.0950
314,1.0930
315,1.0840
316,1.0810
317,1.0800
318,1.0690
319,1.0750
320,1.0690
321,1.0640
322,1.0370
323,1.0400
324,1.0330
325,1.0310
326,1.0170
327,1.0130
328,1.0270
329,1.0310
330,1.0240
331,1.0350
332,1.0380
333,1.0410
334,1.0260
335,1.0290
336,1.0310
337,1.0400
338,1.0340
339,1.0230
340,1.0170
341,1.0100
342,1.0170
343,1.0170
344,1.0350
345,1.0470
346,1.0530
347,1.0520
348,1.0440
349,1.0570
350,1.0590
351,1.0780
352,1.0840
353,1.0860
354,1.0850
355,1.0790
356,1.0840
357,1.0740
358,1.0880
359,1.0880
360,1.0900
361,1.0850
362,1.0800
363,1.0780
364,1.0670
365,1.0710
366,1.0450
367,1.0460
368,1.0620
369,1.0600
370,1.0530
371,1.0850
372,1.0800
373,1.0780
374,1.0670
375,1.0710
376,1.0450
377,1.0460
378,1.0620
379,1.0600
380,1.0530
381,1.0590
382,1.0550
383,1.0520
384,1.0370
385,1.0330
386,1.0230
387,1.0370
388,1.0340
389,1.0480
390,1.0520
391,1.0500
