data,华宝兴业创新优选股票型证券投资基金(000601)
1,1.0000
2,1.0000
3,1.0000
4,1.0000
5,1.0000
6,1.0000
7,1.0000
8,1.0010
9,1.0030
10,1.0030
11,1.0020
12,1.0020
13,1.0020
14,1.0030
15,1.0030
16,1.0030
17,1.0040
18,1.0030
19,1.0040
20,1.0050
21,1.0050
22,1.0040
23,1.0050
24,1.0050
25,1.0060
26,1.0060
27,1.0050
28,1.0050
29,1.0060
30,1.0060
31,1.0060
32,1.0070
33,1.0080
34,1.0070
35,1.0030
36,1.0040
37,1.0030
38,1.0050
39,1.0080
40,1.0100
41,1.0120
42,1.0150
43,1.0150
44,1.0180
45,1.0210
46,1.0190
47,1.0230
48,1.0280
49,1.0120
50,1.0160
51,1.0220
52,1.0280
53,1.0200
54,1.0250
55,1.0340
56,1.0380
57,1.0400
58,1.0440
59,1.0460
60,1.0530
61,1.0510
62,1.0490
63,1.0470
64,1.0420
65,1.0500
66,1.0450
67,1.0380
68,1.0470
69,1.0400
70,1.0270
71,1.0140
72,1.0170
73,1.0250
74,1.0440
75,1.0500
76,1.0430
77,1.0360
78,1.0420
79,1.0330
80,1.0310
81,1.0460
82,1.0330
83,1.0360
84,1.0060
85,1.0160
86,0.9960
87,0.9940
88,1.0110
89,1.0150
90,1.0210
91,1.0210
92,1.0320
93,1.0380
94,1.0530
95,1.0580
96,1.0650
97,1.0690
98,1.0540
99,1.0650
100,1.0760
101,1.1050
102,1.0710
103,1.0530
104,1.0030
105,1.0310
106,1.0260
107,1.0490
108,1.0780
109,1.0720
110,1.0740
111,1.0810
112,1.0500
113,0.9790
114,0.9550
115,0.9800
116,1.0000
117,0.9950
118,0.9650
119,0.9320
120,0.9390
121,0.9320
122,0.9450
123,0.9480
124,0.9450
125,0.9410
126,0.9280
127,0.9480
128,0.9470
129,0.9510
130,0.9640
131,0.9440
132,0.9800
133,1.0000
134,1.0130
135,1.0010
136,1.0240
137,1.0410
138,1.0290
139,1.0220
140,1.0070
141,1.0060
142,1.0200
143,1.0200
144,1.0140
145,0.9990
146,0.9850
147,0.9980
148,1.0170
149,1.0220
150,1.0370
151,1.0600
152,1.0610
153,1.0490
154,1.0580
155,1.0710
156,1.0990
157,1.0910
158,1.1170
159,1.1070
160,1.0740
161,1.0930
162,1.1180
163,1.1150
164,1.1040
165,1.1230
166,1.1610
167,1.1710
168,1.1910
169,1.1990
170,1.2160
171,1.2540
172,1.2620
173,1.2750
174,1.2330
175,1.2190
176,1.2150
177,1.2310
178,1.2810
179,1.3080
180,1.3260
181,1.3410
182,1.3070
183,1.2970
184,1.3410
185,1.3810
186,1.3890
187,1.3310
188,1.3560
189,1.3360
190,1.2890
191,1.3550
192,1.4000
193,1.4340
194,1.4310
195,1.4320
196,1.3880
197,1.4170
198,1.4290
199,1.4340
200,1.4060
201,1.4320
202,1.4600
203,1.5520
204,1.6360
205,1.6810
206,1.6840
207,1.6830
208,1.6860
209,1.7510
210,1.8040
211,1.8740
212,1.9260
213,1.9060
214,1.9040
215,1.9920
216,1.9900
217,1.9000
218,1.9400
219,1.6720
220,1.7610
221,1.7880
222,1.7930
223,1.7920
224,1.7150
225,1.7090
226,1.7560
227,1.7640
228,1.7880
229,1.7280
230,1.6400
231,1.6700
232,1.5860
233,1.4920
234,1.5150
235,1.5120
236,1.4650
237,1.3470
238,1.2310
