data,华宝兴业标普石油天然气上游股票指数证券投资基金(162411)
1,1.0000
2,1.0010
3,1.0010
4,1.0010
5,1.0010
6,1.0040
7,1.0110
8,1.0120
9,1.0010
10,0.9930
11,1.0010
12,1.0030
13,1.0050
14,1.0060
15,1.0090
16,0.9930
17,0.9990
18,1.0050
19,0.9990
20,1.0030
21,0.9990
22,0.9880
23,0.9870
24,0.9810
25,0.9790
26,0.9680
27,0.9680
28,0.9630
29,0.9800
30,0.9850
31,1.0050
32,1.0020
33,1.0050
34,1.0110
35,0.9790
36,0.9680
37,0.9680
38,0.9630
39,0.9800
40,0.9850
41,1.0050
42,1.0020
43,1.0050
44,1.0110
45,0.9710
46,0.9760
47,0.9820
48,0.9820
49,0.9820
50,0.9860
51,0.9730
52,0.9800
53,0.9780
54,0.9780
55,0.9710
56,0.9760
57,0.9820
58,0.9820
59,0.9820
60,0.9860
61,0.9730
62,0.9800
63,0.9780
64,0.9780
65,0.9910
66,0.9850
67,0.9810
68,0.9940
69,0.9900
70,0.9880
71,0.9930
72,1.0060
73,1.0200
74,1.0290
75,1.0280
76,1.0280
77,1.0190
78,1.0300
79,1.0370
80,1.0440
81,1.0590
82,1.0620
83,1.0620
84,1.0680
85,1.0280
86,1.0280
87,1.0190
88,1.0300
89,1.0370
90,1.0440
91,1.0590
92,1.0620
93,1.0620
94,1.0680
95,1.0580
96,1.0730
97,1.0750
98,1.0700
99,1.0590
100,1.0400
101,1.0580
102,1.0370
103,1.0280
104,1.0080
105,1.0260
106,1.0410
107,1.0440
108,1.0350
109,1.0500
110,1.0390
111,1.0460
112,1.0640
113,1.0730
114,1.0510
115,1.0460
116,1.0150
117,1.0320
118,1.0370
119,1.0240
120,1.0060
121,0.9980
122,1.0030
123,0.9810
124,0.9810
125,0.9290
126,0.9370
127,0.9620
128,0.9770
129,0.9810
130,0.9710
131,0.9470
132,0.9260
133,0.9270
134,0.9250
135,0.9290
136,0.9370
137,0.9620
138,0.9770
139,0.9810
140,0.9710
141,0.9470
142,0.9260
143,0.9270
144,0.9250
145,0.8810
146,0.8690
147,0.8710
148,0.8710
149,0.8940
150,0.8610
151,0.8570
152,0.8170
153,0.8120
154,0.8280
155,0.8810
156,0.8690
157,0.8710
158,0.8710
159,0.8940
160,0.8610
161,0.8570
162,0.8170
163,0.8120
164,0.8280
165,0.8580
166,0.8490
167,0.8480
168,0.8230
169,0.8380
170,0.8160
171,0.8330
172,0.8530
173,0.8370
174,0.8550
175,0.8480
176,0.8070
177,0.8090
178,0.8210
179,0.8490
180,0.8600
181,0.8930
182,0.8930
183,0.8950
184,0.9240
185,0.9240
186,0.9060
187,0.8950
188,0.8920
189,0.8640
190,0.8760
191,0.8670
192,0.8840
193,0.8880
194,0.9010
195,0.9070
196,0.9140
197,0.9130
198,0.8950
199,0.8760
200,0.8730
201,0.8890
202,0.9110
203,0.9180
204,0.9050
205,0.9070
206,0.9140
207,0.9130
208,0.8950
209,0.8760
210,0.8730
211,0.8890
212,0.9110
213,0.9180
214,0.9050
215,0.9060
216,0.8750
217,0.8990
218,0.9110
219,0.9320
220,0.9330
221,0.9440
222,0.9420
223,0.9300
224,0.9400
225,0.9060
226,0.8750
227,0.8990
228,0.9110
229,0.9320
230,0.9330
231,0.9440
232,0.9420
233,0.9300
234,0.9400
235,0.9460
236,0.9580
237,0.9550
238,0.9490
239,0.9450
240,0.9450
241,0.9240
242,0.9300
243,0.9330
244,0.9410
