data,华宝兴业核心优势灵活配置混合型证券投资基金(002152)
1,1.0000
2,1.0000
3,0.9990
4,0.9930
5,0.9940
6,0.9910
7,0.9950
8,0.9940
9,1.0020
10,1.0060
11,1.0170
12,1.0150
13,1.0160
14,1.0250
15,1.0230
16,1.0180
17,1.0200
18,1.0240
19,1.0180
20,1.0150
21,0.9920
22,0.9890
23,0.9720
24,0.9770
25,0.9880
26,0.9880
27,0.9760
28,0.9800
29,0.9850
30,0.9830
31,0.9750
32,0.9730
33,0.9880
34,0.9870
35,0.9820
36,0.9990
37,1.0160
38,1.0220
39,1.0220
40,1.0240
41,1.0230
42,1.0240
43,1.0200
44,1.0120
45,1.0260
46,1.0310
47,1.0280
48,1.0390
49,1.0380
50,1.0290
51,1.0260
52,1.0370
53,1.0320
54,1.0360
55,1.0430
56,1.0400
57,1.0350
58,1.0360
59,1.0150
60,1.0090
61,1.0160
62,1.0120
63,1.0170
64,1.0190
65,1.0190
66,1.0220
67,1.0350
68,1.0350
69,1.0380
70,1.0210
71,1.0090
72,1.0090
73,1.0040
74,1.0030
75,1.0000
76,1.0050
77,1.0060
78,0.9950
79,0.9960
80,0.9970
81,1.0040
82,0.9990
83,1.0010
84,1.0020
85,1.0000
86,0.9990
87,1.0160
88,1.0160
89,1.0170
90,1.0220
91,1.0250
92,1.0250
93,1.0220
94,1.0030
95,1.0030
96,1.0120
97,1.0080
98,1.0100
99,1.0090
100,1.0080
101,1.0130
102,1.0120
103,1.0060
104,1.0170
105,1.0260
106,1.0250
107,1.0260
108,1.0250
109,1.0320
110,1.0310
111,1.0310
112,1.0310
113,1.0280
114,1.0250
115,1.0310
116,1.0380
117,1.0370
118,1.0360
119,1.0390
120,1.0390
121,1.0420
122,1.0430
123,1.0380
124,1.0380
125,1.0440
126,1.0230
127,1.0220
128,1.0190
129,1.0150
130,1.0180
131,1.0180
132,1.0200
133,1.0180
134,1.0240
135,1.0300
136,1.0270
137,1.0210
138,1.0240
139,1.0360
140,1.0380
141,1.0410
142,1.0390
143,1.0420
144,1.0360
145,1.0380
146,1.0390
147,1.0360
148,1.0420
149,1.0430
150,1.0390
151,1.0390
152,1.0360
153,1.0340
154,1.0340
155,1.0410
156,1.0410
157,1.0430
158,1.0410
159,1.0300
160,1.0330
161,1.0310
162,1.0380
163,1.0360
164,1.0380
165,1.0400
166,1.0410
167,1.0300
168,1.0320
169,1.0320
170,1.0340
171,1.0350
172,1.0400
173,1.0430
174,1.0380
175,1.0380
176,1.0360
177,1.0310
178,1.0370
179,1.0360
180,1.0390
181,1.0350
182,1.0400
183,1.0420
184,1.0400
185,1.0370
186,1.0350
187,1.0320
188,1.0390
189,1.0370
190,1.0370
191,1.0390
192,1.0370
193,1.0410
194,1.0360
195,1.0430
196,1.0410
197,1.0440
198,1.0470
199,1.0480
200,1.0460
201,1.0440
202,1.0420
203,1.0470
204,1.0390
205,1.0350
206,1.0350
207,1.0320
208,1.0300
209,1.0290
210,1.0320
211,1.0200
212,1.0180
213,1.0210
214,1.0270
215,1.0230
216,1.0200
217,0.9860
218,0.9900
219,0.9800
220,0.9830
221,0.9890
222,0.9850
223,0.9820
224,0.9870
225,0.9870
226,0.9810
227,0.9840
228,0.9830
229,0.9790
230,0.9810
231,0.9870
232,0.9870
233,0.9910
234,1.0040
235,1.0010
236,0.9940
237,0.9940
238,0.9910
