data,华宝兴业转型升级灵活配置混合型证券投资基金(001967)
1,1.0000
2,1.0020
3,1.0020
4,1.0020
5,1.0010
6,1.0020
7,1.0010
8,0.9980
9,0.9970
10,1.0000
11,0.9990
12,0.9900
13,0.9860
14,0.9900
15,0.9790
16,0.9800
17,0.9720
18,0.9700
19,0.9680
20,0.9720
21,0.9680
22,0.9710
23,0.9750
24,0.9740
25,0.9690
26,0.9690
27,0.9700
28,0.9620
29,0.9610
30,0.9560
31,0.9600
32,0.9600
33,0.9650
34,0.9660
35,0.9700
36,0.9700
37,0.9690
38,0.9740
39,0.9750
40,0.9720
41,0.9740
42,0.9760
43,0.9740
44,0.9720
45,0.9590
46,0.9570
47,0.9480
48,0.9510
49,0.9590
50,0.9590
51,0.9520
52,0.9550
53,0.9590
54,0.9580
55,0.9530
56,0.9500
57,0.9600
58,0.9600
59,0.9580
60,0.9690
61,0.9830
62,0.9890
63,0.9890
64,0.9910
65,0.9890
66,0.9900
67,0.9900
68,0.9830
69,0.9960
70,1.0010
71,0.9970
72,1.0040
73,1.0030
74,0.9990
75,0.9960
76,1.0050
77,0.9980
78,1.0020
79,1.0060
80,1.0040
81,0.9990
82,1.0010
83,0.9870
84,0.9850
85,0.9900
86,0.9890
87,0.9920
88,0.9940
89,0.9930
90,0.9950
91,1.0060
92,1.0050
93,1.0090
94,0.9940
95,0.9850
96,0.9840
97,0.9810
98,0.9840
99,0.9830
100,0.9890
101,0.9870
102,0.9800
103,0.9820
104,0.9820
105,0.9890
106,0.9870
107,0.9850
108,0.9850
109,0.9830
110,0.9790
111,0.9900
112,0.9940
113,0.9980
114,0.9980
115,0.9970
116,0.9960
117,0.9920
118,0.9780
119,0.9790
120,0.9890
121,0.9910
122,0.9930
123,0.9940
124,0.9900
125,0.9960
126,0.9950
127,0.9920
128,1.0010
129,1.0060
130,1.0060
131,1.0080
132,1.0110
133,1.0210
134,1.0180
135,1.0190
136,1.0210
137,1.0240
138,1.0200
139,1.0240
140,1.0250
141,1.0210
142,1.0190
143,1.0210
144,1.0210
145,1.0230
146,1.0230
147,1.0250
148,1.0280
149,1.0290
150,1.0070
151,1.0030
152,0.9980
153,0.9940
154,0.9990
155,1.0000
156,1.0020
157,1.0030
158,1.0070
159,1.0130
160,1.0100
161,1.0060
162,1.0080
163,1.0170
164,1.0210
165,1.0220
166,1.0240
167,1.0250
168,1.0190
169,1.0180
170,1.0180
171,1.0190
172,1.0220
173,1.0230
174,1.0180
175,1.0180
176,1.0160
177,1.0130
178,1.0120
179,1.0200
180,1.0230
181,1.0240
182,1.0220
183,1.0120
184,1.0200
185,1.0190
186,1.0250
187,1.0210
188,1.0230
189,1.0250
190,1.0240
191,1.0110
192,1.0140
193,1.0140
194,1.0150
195,1.0170
196,1.0260
