data,南方中证500信息技术指数交易型开放式指数证券投资基金发起式联接基金(002900)
1,1.0010
2,0.9946
3,0.9848
4,0.9873
5,1.0061
6,1.0014
7,1.0046
8,0.9957
9,0.9635
10,0.9724
11,0.9689
12,0.9769
13,0.9764
14,0.9785
15,0.9822
16,0.9799
17,0.9594
18,0.9667
19,0.9671
20,0.9677
21,0.9679
22,0.9992
23,1.0034
24,1.0009
25,1.0022
26,0.9958
27,0.9844
28,1.0015
29,0.9967
30,1.0007
31,0.9975
32,1.0030
33,1.0087
34,1.0002
35,0.9984
36,0.9888
37,0.9910
38,0.9975
39,0.9886
40,0.9913
41,0.9877
42,0.9883
43,0.9944
44,0.9839
45,0.9936
46,0.9932
47,0.9956
48,0.9999
49,1.0025
50,0.9944
51,0.9911
52,0.9910
53,0.9982
54,0.9923
55,0.9834
56,0.9905
57,0.9909
58,0.9844
59,0.9873
60,0.9866
61,0.9680
62,0.9671
63,0.9681
64,0.9744
65,0.9694
66,0.9628
67,0.9208
68,0.9258
69,0.9157
70,0.9250
71,0.9314
72,0.9247
73,0.9234
74,0.9305
75,0.9277
76,0.9243
77,0.9297
78,0.9293
79,0.9246
80,0.9238
81,0.9233
82,0.9233
83,0.9292
84,0.9390
85,0.9406
86,0.9320
87,0.9367
88,0.9332
89,0.9241
90,0.9189
91,0.9064
92,0.8733
93,0.8868
94,0.8781
95,0.8755
96,0.8912
97,0.8949
98,0.8883
99,0.8918
100,0.8986
101,0.8975
102,0.9083
103,0.9059
104,0.9115
105,0.9150
106,0.9097
107,0.9144
108,0.9142
109,0.9054
110,0.9113
111,0.9043
112,0.9116
113,0.9244
114,0.9296
115,0.9334
116,0.9389
117,0.9344
118,0.9379
119,0.9413
120,0.9404
121,0.9487
122,0.9631
123,0.9666
124,0.9592
125,0.9549
126,0.9552
127,0.9668
128,0.9634
129,0.9614
130,0.9736
131,0.9651
132,0.9652
133,0.9660
134,0.9621
135,0.9666
136,0.9738
137,0.9659
138,0.9633
139,0.9581
140,0.9367
141,0.9425
142,0.9621
143,0.9645
144,0.9668
145,0.9575
146,0.9664
147,0.9552
148,0.9565
149,0.9437
150,0.9354
151,0.9264
152,0.9160
153,0.9182
154,0.9075
155,0.8898
156,0.8935
157,0.8961
158,0.9072
159,0.9100
160,0.9078
161,0.9067
162,0.9060
163,0.8951
164,0.8880
165,0.8945
166,0.8811
167,0.8764
168,0.8692
169,0.8844
170,0.9041
171,0.9042
172,0.8995
173,0.8977
174,0.8818
175,0.8584
176,0.8607
177,0.8650
178,0.8616
179,0.8602
180,0.8358
181,0.8466
182,0.8578
183,0.8630
184,0.8826
185,0.8843
186,0.8855
187,0.8725
188,0.8851
189,0.8837
190,0.8967
191,0.8941
192,0.9020
193,0.9054
194,0.9039
195,0.8910
196,0.8902
197,0.9030
198,0.9036
199,0.8965
200,0.9037
201,0.9063
202,0.9155
203,0.9113
204,0.9186
205,0.9199
206,0.9191
207,0.9110
208,0.8976
209,0.8964
210,0.8926
211,0.8900
212,0.8449
213,0.8510
214,0.8636
215,0.8659
216,0.8685
217,0.8733
218,0.8711
219,0.8673
220,0.8901
221,0.8891
222,0.8969
223,0.8946
224,0.8837
225,0.8852
226,0.8789
227,0.8850
228,0.8923
229,0.8909
230,0.8866
231,0.8770
232,0.9090
233,0.9182
234,0.9267
235,0.9379
236,0.9329
237,0.9420
238,0.9352
239,0.9310
240,0.9202
241,0.9280
242,0.9429
243,0.9407
244,0.9482
245,0.9519
246,0.9654
247,0.9788
248,0.9794
249,0.9917
250,0.9771
251,0.9773
252,0.9860
253,0.9883
254,0.9823
255,0.9789
256,0.9722
257,0.9826
258,0.9715
259,0.9807
260,0.9724
261,0.9695
262,0.9572
263,0.9551
264,0.9679
265,0.9756
266,0.9824
267,1.0006
268,1.0088
269,0.9904
270,0.9964
271,1.0065
272,0.9859
273,0.9838
274,0.9713
275,0.9625
276,0.9726
277,0.9838
278,0.9800
279,0.9914
280,0.9929
281,0.9855
282,0.9732
283,0.9841
284,0.9875
285,0.9747
286,0.9708
287,0.9865
288,0.9947
289,1.0000
290,1.0134
291,1.0218
