data,南方全球精选配置证券投资基金(202801)
1,1.0000
2,1.0010
3,1.0300
4,1.0200
5,1.0390
6,1.0240
7,0.9670
8,0.9470
9,0.9110
10,0.9570
11,0.9730
12,0.9260
13,0.9010
14,0.9110
15,0.9140
16,0.9180
17,0.9350
18,0.9520
19,0.9420
20,0.9370
21,0.9370
22,0.9310
23,0.9240
24,0.9110
25,0.9140
26,0.9180
27,0.9350
28,0.9520
29,0.9420
30,0.9370
31,0.9370
32,0.9310
33,0.9240
34,0.8520
35,0.8050
36,0.8190
37,0.8210
38,0.8290
39,0.8230
40,0.8290
41,0.8200
42,0.8230
43,0.8370
44,0.8440
45,0.8220
46,0.8300
47,0.8320
48,0.8350
49,0.8410
50,0.8380
51,0.8340
52,0.8370
53,0.8440
54,0.8520
55,0.8630
56,0.8580
57,0.8390
58,0.8370
59,0.8260
60,0.8320
61,0.8250
62,0.8110
63,0.8010
64,0.8230
65,0.8200
66,0.8080
67,0.7940
68,0.7720
69,0.7830
70,0.7650
71,0.7610
72,0.7900
73,0.7920
74,0.7870
75,0.7900
76,0.7870
77,0.8010
78,0.8100
79,0.8180
80,0.8260
81,0.8200
82,0.8110
83,0.8170
84,0.8140
85,0.8050
86,0.8090
87,0.8240
88,0.8240
89,0.8250
90,0.8330
91,0.8320
92,0.8350
93,0.8400
94,0.8380
95,0.8390
96,0.8300
97,0.8360
98,0.8510
99,0.8550
100,0.8370
101,0.8390
102,0.8370
103,0.8450
104,0.8450
105,0.8550
106,0.8650
107,0.8670
108,0.8580
109,0.8550
110,0.8470
111,0.8400
112,0.8320
113,0.8300
114,0.8370
115,0.8360
116,0.8430
117,0.8450
118,0.8280
119,0.8180
120,0.8320
121,0.8240
122,0.8010
123,0.7990
124,0.7920
125,0.7910
126,0.7990
127,0.8040
128,0.8070
129,0.7970
130,0.7890
131,0.7830
132,0.7860
133,0.7840
134,0.7830
135,0.7850
136,0.7650
137,0.7570
138,0.7560
139,0.7430
140,0.7450
141,0.7580
142,0.7610
143,0.7600
144,0.7420
145,0.7420
146,0.7350
147,0.7330
148,0.7430
149,0.7360
150,0.7320
151,0.7240
152,0.7200
153,0.7180
154,0.7180
155,0.7290
156,0.7260
157,0.7230
158,0.7120
159,0.7080
160,0.7110
161,0.7070
162,0.7040
163,0.7000
164,0.6960
165,0.6970
166,0.6980
167,0.6930
168,0.6890
169,0.6850
170,0.6940
171,0.6940
172,0.6920
173,0.6920
174,0.6930
175,0.7000
176,0.6990
177,0.6980
178,0.6890
179,0.6830
180,0.6730
181,0.6710
182,0.6750
183,0.6620
184,0.6620
185,0.6590
186,0.6620
187,0.6440
188,0.6300
189,0.6380
190,0.6650
191,0.6600
192,0.6410
193,0.6430
194,0.6500
195,0.6390
196,0.5670
197,0.5380
198,0.5330
199,0.5210
200,0.5570
201,0.5340
202,0.5340
203,0.5260
204,0.5440
205,0.5340
206,0.5160
207,0.5130
208,0.4960
209,0.4760
210,0.4990
211,0.4990
212,0.5150
213,0.5140
214,0.5160
215,0.5210
216,0.5160
217,0.5010
218,0.5080
219,0.5140
220,0.5000
221,0.5070
222,0.5020
223,0.4990
224,0.4950
225,0.4850
226,0.4740
227,0.4900
228,0.4960
229,0.4990
230,0.5040
231,0.5080
232,0.5000
233,0.5020
234,0.5070
235,0.5020
236,0.5090
237,0.5260
238,0.5230
239,0.5370
240,0.5350
241,0.5260
242,0.5260
243,0.5390
244,0.5410
245,0.5360
246,0.5340
247,0.5260
248,0.5180
249,0.5190
250,0.5220
251,0.5270
252,0.5310
253,0.5500
254,0.5520
255,0.5380
256,0.5320
257,0.5250
258,0.5110
259,0.5080
260,0.5020
261,0.4990
262,0.5030
263,0.4860
264,0.4930
265,0.4870
266,0.4880
267,0.4920
268,0.4970
269,0.5030
270,0.5110
271,0.5230
272,0.5230
273,0.5130
274,0.5120
275,0.5080
276,0.5100
277,0.4910
278,0.4920
279,0.4920
280,0.4850
281,0.4810
282,0.4870
283,0.4850
284,0.4790
285,0.4740
286,0.4570
287,0.4590
288,0.4740
289,0.4650
290,0.4640
291,0.4590
292,0.4750
293,0.4770
294,0.4840
295,0.4910
296,0.4980
297,0.5020
298,0.5080
299,0.5100
300,0.5030
301,0.5300
302,0.5260
303,0.5270
304,0.5400
305,0.5330
306,0.5120
307,0.5180
308,0.5260
309,0.5450
310,0.5470
311,0.5390
312,0.5370
313,0.5520
314,0.5560
315,0.5630
316,0.5630
317,0.5600
318,0.5500
319,0.5540
320,0.5480
321,0.5570
322,0.5640
323,0.5500
324,0.5450
325,0.5630
326,0.5710
327,0.6040
328,0.5990
329,0.6090
330,0.6030
331,0.6200
332,0.6080
333,0.6060
334,0.5930
335,0.5930
336,0.5930
337,0.6130
338,0.6210
339,0.6210
340,0.6140
341,0.6200
342,0.6240
343,0.6690
344,0.6620
345,0.6520
346,0.6610
347,0.6620
348,0.6530
349,0.6490
350,0.6610
351,0.6680
352,0.6620
353,0.6420
354,0.6310
355,0.6280
356,0.6240
357,0.6290
358,0.6150
359,0.6240
360,0.6360
361,0.6420
362,0.6430
363,0.6380
364,0.6340
365,0.6340
366,0.6230
367,0.6160
368,0.6220
369,0.6190
370,0.6160
371,0.6280
372,0.6440
373,0.6440
374,0.6520
375,0.6680
376,0.6670
377,0.6640
378,0.6810
379,0.6860
380,0.6940
381,0.6960
382,0.6800
383,0.6870
384,0.6950
385,0.7120
386,0.7080
387,0.7000
388,0.6990
389,0.6890
390,0.6930
391,0.6890
392,0.6840
393,0.6960
394,0.6900
395,0.6620
396,0.6690
397,0.6660
398,0.6750
399,0.6790
400,0.6860
401,0.6850
402,0.6830
403,0.6790
404,0.6730
405,0.6610
406,0.6560
407,0.6540
408,0.6690
409,0.6830
410,0.6990
411,0.6970
412,0.7030
413,0.7030
414,0.7020
415,0.7020
416,0.7150
417,0.7190
418,0.7130
419,0.7060
420,0.7120
421,0.7050
422,0.6910
423,0.6930
424,0.6880
425,0.6930
426,0.6930
427,0.7130
428,0.7090
429,0.7140
430,0.7290
431,0.7290
432,0.7220
433,0.7360
434,0.7340
435,0.7340
436,0.7360
437,0.7370
438,0.7240
439,0.7050
440,0.7100
441,0.7020
442,0.7090
443,0.7060
444,0.7160
445,0.7220
446,0.7260
447,0.7420
448,0.7400
449,0.7440
450,0.7380
451,0.7460
452,0.7580
453,0.7580
454,0.7530
455,0.7450
456,0.7410
457,0.7520
458,0.7460
459,0.7530
460,0.7350
461,0.7490
462,0.7550
463,0.7550
464,0.7560
465,0.7530
466,0.7440
467,0.7430
468,0.7420
469,0.7470
470,0.7520
471,0.7440
472,0.7400
473,0.7250
474,0.7210
475,0.7190
476,0.7230
477,0.7310
478,0.7380
479,0.7360
480,0.7360
481,0.7410
482,0.7510
483,0.7620
484,0.7660
485,0.7610
486,0.7620
487,0.7640
488,0.7570
489,0.7490
490,0.7480
491,0.7430
492,0.7510
493,0.7370
494,0.7170
495,0.7070
496,0.7050
497,0.6880
498,0.6810
499,0.6830
500,0.6780
501,0.6900
502,0.6920
503,0.6970
504,0.6760
505,0.6630
506,0.6540
507,0.6680
508,0.6710
509,0.6850
510,0.6820
511,0.6890
512,0.6860
513,0.6870
514,0.6760
515,0.6630
516,0.6540
517,0.6680
518,0.6710
519,0.6850
520,0.6820
521,0.6890
522,0.6860
523,0.6870
524,0.7230
525,0.7200
526,0.7150
527,0.7180
528,0.7270
529,0.7240
