data,南方安享绝对收益策略定期开放混合型发起式证券投资基金(002527)
1,1.0000
2,1.0000
3,1.0000
4,1.0000
5,1.0000
6,0.9980
7,0.9990
8,0.9990
9,1.0030
10,1.0040
11,1.0040
12,1.0040
13,1.0050
14,1.0050
15,1.0040
16,1.0040
17,1.0010
18,1.0030
19,1.0040
20,1.0060
21,1.0040
22,1.0050
23,1.0080
24,1.0070
25,1.0060
26,1.0060
27,1.0060
28,1.0070
29,1.0020
30,1.0000
31,0.9990
32,0.9980
33,1.0000
34,1.0010
35,1.0010
36,0.9990
37,1.0000
38,1.0000
39,0.9990
40,0.9980
41,1.0000
42,0.9980
43,0.9960
44,0.9970
45,0.9980
46,0.9980
47,0.9980
48,0.9990
49,0.9990
50,0.9990
51,0.9990
52,0.9990
53,0.9990
54,0.9990
55,0.9990
56,1.0000
57,1.0000
58,1.0000
59,0.9990
60,1.0000
61,1.0000
62,1.0010
63,1.0000
64,1.0010
65,1.0010
66,1.0010
67,1.0010
68,1.0010
69,1.0010
70,1.0000
71,1.0010
72,1.0010
73,1.0010
74,1.0010
75,1.0020
76,1.0020
77,1.0030
78,1.0030
79,1.0030
80,1.0030
81,1.0030
82,1.0030
83,1.0030
84,1.0030
85,1.0030
86,1.0040
87,1.0040
88,1.0040
89,1.0040
90,1.0040
91,1.0040
92,1.0040
93,1.0030
94,1.0030
95,1.0030
96,1.0030
97,1.0030
98,1.0030
99,1.0030
100,1.0030
101,1.0030
102,1.0030
103,1.0030
104,1.0020
105,1.0020
106,1.0020
107,1.0010
108,1.0010
109,1.0000
110,0.9990
111,0.9950
112,0.9960
113,0.9970
114,0.9980
115,1.0020
116,1.0010
117,1.0030
118,1.0010
119,0.9990
120,0.9960
121,0.9970
122,0.9960
123,1.0000
124,1.0010
125,1.0030
126,1.0030
127,1.0030
128,1.0020
129,1.0020
130,1.0000
131,0.9990
132,0.9990
133,0.9980
134,0.9990
135,0.9990
136,0.9990
137,1.0000
138,1.0010
139,0.9990
140,1.0000
141,1.0000
142,0.9980
143,0.9960
144,0.9920
145,0.9850
146,0.9840
147,0.9800
148,0.9790
149,0.9810
150,0.9830
151,0.9840
152,0.9840
153,0.9840
154,0.9840
155,0.9880
156,0.9880
157,0.9900
158,0.9910
159,0.9900
160,0.9920
161,0.9920
162,0.9890
163,0.9920
164,0.9890
165,0.9890
166,0.9910
167,0.9920
168,0.9930
169,0.9920
170,0.9900
171,0.9930
172,0.9910
173,0.9900
174,0.9930
175,0.9940
176,0.9950
177,0.9930
178,0.9930
179,0.9930
180,0.9940
181,0.9940
182,0.9940
183,0.9940
184,0.9930
185,0.9950
186,0.9960
187,0.9940
188,0.9950
189,0.9930
190,0.9930
191,0.9930
192,0.9920
193,0.9900
194,0.9920
195,0.9970
196,1.0010
197,1.0000
198,1.0000
199,1.0040
200,0.9990
201,1.0010
202,0.9980
203,0.9970
204,0.9930
205,0.9940
206,0.9930
207,0.9930
208,0.9840
209,0.9840
210,0.9820
211,0.9830
212,0.9840
213,0.9830
214,0.9830
215,0.9820
216,0.9780
217,0.9700
218,0.9730
219,0.9690
220,0.9700
221,0.9720
222,0.9710
223,0.9740
224,0.9720
225,0.9710
226,0.9710
227,0.9700
228,0.9650
229,0.9640
230,0.9630
231,0.9600
232,0.9590
233,0.9580
234,0.9570
235,0.9580
236,0.9600
237,0.9607
238,0.9621
239,0.9620
240,0.9624
241,0.9621
242,0.9617
243,0.9619
244,0.9624
245,0.9640
246,0.9633
247,0.9654
248,0.9636
249,0.9656
250,0.9653
251,0.9663
252,0.9647
253,0.9668
254,0.9672
255,0.9675
256,0.9676
257,0.9683
258,0.9684
259,0.9699
260,0.9695
261,0.9678
262,0.9709
263,0.9716
264,0.9715
265,0.9678
266,0.9688
267,0.9691
268,0.9683
269,0.9664
270,0.9663
271,0.9678
272,0.9698
273,0.9694
274,0.9694
275,0.9689
276,0.9724
277,0.9689
278,0.9710
279,0.9703
280,0.9729
281,0.9712
282,0.9715
283,0.9718
284,0.9680
285,0.9688
286,0.9696
287,0.9695
288,0.9700
289,0.9690
290,0.9710
291,0.9721
292,0.9693
293,0.9696
294,0.9712
295,0.9725
296,0.9719
297,0.9729
298,0.9737
299,0.9752
300,0.9761
301,0.9755
302,0.9755
303,0.9731
304,0.9756
305,0.9754
306,0.9763
307,0.9785
308,0.9787
309,0.9731
310,0.9721
311,0.9749
312,0.9754
313,0.9740
314,0.9742
315,0.9729
316,0.9750
317,0.9752
318,0.9751
319,0.9759
320,0.9756
321,0.9759
322,0.9755
323,0.9775
324,0.9761
325,0.9753
326,0.9765
327,0.9781
328,0.9766
329,0.9774
330,0.9788
331,0.9811
332,0.9820
333,0.9827
334,0.9843
335,0.9836
336,0.9828
337,0.9811
338,0.9817
339,0.9830
340,0.9824
341,0.9845
342,0.9832
343,0.9883
344,0.9896
