data,南方永利1年定期开放债券型证券投资基金（LOF）(160132)
1,1.0060
2,1.0080
3,1.0090
4,1.0090
5,1.0110
6,1.0100
7,1.0100
8,1.0100
9,1.0170
10,1.0160
11,1.0160
12,1.0120
13,1.0120
14,1.0080
15,1.0100
16,1.0110
17,1.0130
18,1.0150
19,1.0170
20,1.0190
21,1.0230
22,1.0230
23,1.0240
24,1.0260
25,1.0250
26,1.0270
27,1.0290
28,1.0260
29,1.0340
30,1.0360
31,1.0400
32,1.0480
33,1.0520
34,1.0460
35,1.0440
36,1.0390
37,1.0410
38,1.0430
39,1.0460
40,1.0450
41,1.0510
42,1.0530
43,1.0590
44,1.0550
45,1.0560
46,1.0560
47,1.0550
48,1.0550
49,1.0560
50,1.0520
51,1.0490
52,1.0470
53,1.0540
54,1.0550
55,1.0440
56,1.0400
57,1.0400
58,1.0410
59,1.0440
60,1.0430
61,1.0410
62,1.0430
63,1.0480
64,1.0520
65,1.0540
66,1.0580
67,1.0600
68,1.0650
69,1.0660
70,1.0670
71,1.0630
72,1.0650
73,1.0740
74,1.0750
75,1.0750
76,1.0710
77,1.0740
78,1.0770
79,1.0780
80,1.0790
81,1.0760
82,1.0800
83,1.0770
84,1.0720
85,1.0740
86,1.0720
87,1.0760
88,1.0840
89,1.0910
90,1.1000
91,1.1060
92,1.1110
93,1.1100
94,1.1070
95,1.1050
96,1.1120
97,1.1140
98,1.0990
99,1.1000
100,1.1040
101,1.1100
102,1.1010
103,1.1060
104,1.1170
105,1.1180
106,1.1170
107,1.1230
108,1.1260
109,1.1310
110,1.1310
111,1.1300
112,1.1300
113,1.1300
114,1.1340
115,1.1350
116,1.1350
117,1.1400
118,1.1410
119,1.1020
120,1.1020
121,1.1030
122,1.1020
123,1.1060
124,1.1090
125,1.1120
126,1.1150
127,1.1170
128,1.1200
129,1.1210
130,1.1230
131,1.1240
132,1.1310
133,1.1280
134,1.1340
135,1.1320
136,1.1270
137,1.1180
138,1.1120
139,1.1100
140,1.1130
141,1.1250
142,1.1400
143,1.1450
144,1.1550
145,1.1630
146,1.1670
147,1.1590
148,1.1880
149,1.1900
150,1.2320
151,1.2430
152,1.2670
153,1.2070
154,1.2240
155,1.2090
156,1.2150
157,1.2220
158,1.2540
159,1.2660
160,1.2670
161,1.2810
162,1.2960
163,1.2730
164,1.2510
165,1.2810
166,1.3150
167,1.3260
168,1.3240
169,1.3480
170,1.4060
171,1.4140
172,1.4400
173,1.4100
174,1.4190
175,1.3850
176,1.3960
177,1.4000
178,1.4300
179,1.4530
180,1.3680
181,1.2710
182,1.3220
183,1.3370
184,1.3370
185,1.3240
186,1.3080
187,1.2860
188,1.2650
189,1.2490
190,1.2070
191,1.2280
192,1.2260
193,1.2250
194,1.2030
195,1.2100
196,1.2280
197,1.2320
198,1.2340
199,1.2500
200,1.2600
201,1.2690
202,1.2600
203,1.2870
204,1.2880
205,1.2900
206,1.2790
207,1.2770
208,1.2770
209,1.2730
210,1.2800
211,1.2840
212,1.2890
213,1.2990
