data,博时裕富沪深300指数证券投资基金(050002)
1,0.9700
2,0.9620
3,0.9700
4,0.9720
5,0.9710
6,0.9870
7,0.9850
8,0.9790
9,0.9760
10,0.9660
11,0.9680
12,0.9630
13,0.9680
14,0.9880
15,0.9820
16,0.9820
17,0.9770
18,0.9790
19,0.9780
20,0.9700
21,0.9710
22,0.9820
23,0.9980
24,0.9980
25,0.9880
26,0.9760
27,0.9820
28,0.9820
29,0.9680
30,0.9690
31,0.9740
32,0.9710
33,0.9620
34,0.9720
35,0.9890
36,0.9820
37,1.0030
38,1.0040
39,1.0060
40,0.9930
41,0.9990
42,1.0180
43,1.0190
44,1.0240
45,1.0280
46,1.0270
47,1.0190
48,1.0240
49,1.0370
50,1.0380
51,1.0360
52,1.0370
53,1.0350
54,1.0290
55,1.0370
56,1.0380
57,1.0640
58,1.0690
59,1.0800
60,1.0780
61,1.0770
62,1.0680
63,1.0760
64,1.0660
65,1.0770
66,1.1120
67,1.1210
68,1.1310
69,1.1420
70,1.1240
71,1.1480
72,1.1430
73,1.1300
74,1.1280
75,1.1340
76,1.1480
77,1.1220
78,1.1410
79,1.1500
80,1.1700
81,1.1700
82,1.1680
83,1.1820
84,1.1750
85,1.1700
86,1.1590
87,1.1580
88,1.1790
89,1.1820
90,1.1900
91,1.1870
92,1.1900
93,1.1670
94,1.1680
95,1.1490
96,1.1570
97,1.1670
98,1.1740
99,1.1700
100,1.1560
101,1.1610
102,1.1560
103,1.1430
104,1.1420
105,1.1640
106,1.1730
107,1.1740
108,1.1980
109,1.2020
110,1.2030
111,1.1850
112,1.1990
113,1.2000
114,1.1900
115,1.1890
116,1.1900
117,1.1910
118,1.1810
119,1.1820
120,1.1900
121,1.2000
122,1.2060
123,1.2000
124,1.2050
125,1.2030
126,1.2000
127,1.1780
128,1.1720
129,1.1650
130,1.1520
131,1.1430
132,1.1510
133,1.1360
134,1.1270
135,1.1200
136,1.1250
137,1.1130
138,1.1140
139,1.1070
140,1.1030
141,1.0840
142,1.0930
143,1.0710
144,1.0750
145,1.0940
146,1.0910
147,1.0730
148,1.0650
149,1.0720
150,1.0720
151,1.0680
152,1.0730
153,1.0700
154,1.0570
155,1.0630
156,1.0810
157,1.0760
158,1.0800
159,1.0920
160,1.0840
161,1.0720
162,1.0710
163,1.0600
164,0.9990
165,0.9870
166,0.9900
167,0.9890
168,0.9730
169,0.9850
170,0.9910
171,0.9740
172,0.9640
173,0.9660
174,0.9730
175,0.9680
176,0.9620
177,0.9520
178,0.9460
179,0.9580
180,0.9550
181,0.9760
182,0.9780
183,0.9780
184,0.9810
185,0.9740
186,0.9760
187,0.9720
188,0.9570
189,0.9600
190,0.9630
191,0.9730
192,0.9920
193,0.9940
194,0.9880
195,0.9880
196,0.9680
197,0.9700
198,0.9610
199,0.9580
200,0.9620
201,0.9700
202,0.9610
203,0.9550
204,0.9490
205,0.9700
206,0.9600
207,0.9600
208,0.9650
209,0.9690
210,0.9600
211,0.9530
212,0.9550
213,0.9490
214,0.9530
215,0.9540
216,0.9460
217,0.9470
218,0.9370
219,0.9430
220,0.9400
221,0.9390
222,0.9310
223,0.9290
224,0.9400
225,0.9290
226,0.9320
227,0.9300
228,0.9260
229,0.9270
230,0.9200
231,0.9080
232,0.9100
233,0.8960
234,0.9150
235,0.9430
236,0.9500
237,0.9740
238,0.9990
239,0.9930
240,0.9790
241,1.0060
242,0.9940
243,0.9910
244,0.9970
245,0.9890
246,0.9810
247,0.9960
248,0.9910
249,0.9730
250,0.9750
251,0.9480
252,0.9500
253,0.9510
254,0.9530
255,0.9530
256,0.9450
257,0.9550
258,0.9450
259,0.9520
260,0.9580
261,0.9560
262,0.9430
263,0.9340
264,0.9310
265,0.9430
266,0.9290
267,0.9290
268,0.9300
269,0.9320
270,0.9580
271,0.9530
272,0.9550
273,0.9630
274,0.9630
275,0.9560
276,0.9630
277,0.9660
278,0.9650
279,0.9560
280,0.9530
281,0.9530
282,0.9510
283,0.9420
284,0.9420
285,0.9380
286,0.9340
287,0.9350
288,0.9350
289,0.9280
290,0.9290
291,0.9380
292,0.9290
293,0.9270
294,0.9250
295,0.9300
296,0.9270
297,0.9190
298,0.9080
299,0.9060
300,0.9250
301,0.9120
302,0.9120
303,0.9090
304,0.9090
305,0.9060
306,0.9070
307,0.9050
308,0.8890
309,0.8950
310,0.8870
311,0.8880
312,0.8960
313,0.8990
314,0.8980
315,0.8980
316,0.8920
317,0.8740
318,0.8790
319,0.8730
320,0.8650
321,0.8880
322,0.9000
323,0.9020
324,0.8960
325,0.8830
326,0.8810
327,0.8730
328,0.8760
329,0.9170
330,0.9070
331,0.9280
332,0.9320
333,0.9260
334,0.9140
335,0.9310
336,0.9480
337,0.9430
338,0.9430
339,0.9450
340,0.9390
341,0.9350
342,0.9230
343,0.9280
344,0.9260
345,0.9310
346,0.9470
347,0.9440
348,0.9240
349,0.9290
350,0.9350
351,0.9190
352,0.9110
353,0.9020
354,0.8920
355,0.8950
356,0.8840
357,0.8770
358,0.8800
359,0.8790
360,0.8780
361,0.8740
362,0.8600
363,0.8650
364,0.8960
365,0.8830
366,0.8780
367,0.8950
368,0.9020
369,0.9170
370,0.9080
371,0.8960
372,0.9130
373,0.9030
374,0.8940
375,0.8860
376,0.8870
377,0.8760
378,0.8720
379,0.8700
380,0.8660
381,0.8720
382,0.8640
383,0.8750
384,0.8680
385,0.8490
386,0.8520
387,0.8410
388,0.8240
389,0.8230
390,0.8130
391,0.8160
392,0.8160
393,0.8170
394,0.8170
395,0.8000
396,0.8020
397,0.8020
398,0.7910
399,0.7840
400,0.7880
401,0.7880
402,0.7720
403,0.7520
404,0.7530
405,0.7740
406,0.7710
407,0.8330
408,0.8380
409,0.8220
410,0.8190
411,0.8130
412,0.8010
413,0.8120
414,0.8130
415,0.8360
416,0.8270
417,0.8310
418,0.8260
419,0.8300
420,0.8440
421,0.8350
422,0.8320
423,0.8160
424,0.8030
425,0.8030
426,0.7970
427,0.7900
428,0.7920
429,0.7810
430,0.7780
431,0.8020
432,0.7970
433,0.8010
434,0.7960
435,0.7900
436,0.7920
437,0.7980
438,0.7990
439,0.8120
440,0.8090
441,0.8250
442,0.8400
443,0.8380
444,0.8350
445,0.8380
446,0.8470
447,0.8520
448,0.8470
449,0.8640
450,0.8670
451,0.8700
452,0.8750
453,0.8890
454,0.8770
455,0.8930
456,0.8830
457,0.8890
458,0.8690
459,0.8710
460,0.8770
461,0.8710
462,0.8770
463,0.8740
464,0.8720
465,0.8620
466,0.8600
467,0.8710
468,0.8830
469,0.8850
470,0.8880
471,0.8760
472,0.8880
473,0.8900
474,0.8860
475,0.8850
476,0.8960
477,0.9010
478,0.8990
479,0.8970
480,0.8980
481,0.8910
482,0.8750
483,0.8590
484,0.8540
485,0.8550
486,0.8430
487,0.8430
488,0.8540
489,0.8550
490,0.8470
491,0.8560
492,0.8580
493,0.8520
494,0.8410
495,0.8340
496,0.8370
497,0.8330
498,0.8350
499,0.8380
500,0.8390
501,0.8290
502,0.8130
503,0.8140
504,0.8070
505,0.8160
506,0.8130
507,0.8200
508,0.8130
509,0.8160
510,0.8130
511,0.8160
512,0.8150
513,0.8020
514,0.8030
515,0.8000
516,0.7960
517,0.8010
518,0.8010
519,0.8170
520,0.8180
521,0.8070
522,0.8130
523,0.8180
524,0.8210
525,0.8180
526,0.8100
