data,嘉实主题精选混合型证券投资基金(070010)
1,1.5830
2,1.5800
3,1.5810
4,1.5710
5,1.5590
6,1.5750
7,1.5920
8,1.5910
9,1.6080
10,1.6220
11,0.9980
12,0.9840
13,0.9960
14,0.9930
15,0.9940
16,0.9960
17,0.9950
18,0.9990
19,0.9990
20,1.0070
21,1.0070
22,1.0110
23,1.0100
24,1.0020
25,1.0130
26,1.0150
27,1.0140
28,1.0100
29,1.0160
30,1.0210
31,1.0280
32,1.0250
33,1.0270
34,1.0490
35,1.0530
36,1.0570
37,1.0630
38,1.0690
39,1.0620
40,1.0670
41,1.0540
42,1.0660
43,1.0740
44,1.0910
45,1.1230
46,1.1220
47,1.1180
48,1.1060
49,1.1140
50,1.0980
51,1.0880
52,1.1120
53,1.1170
54,1.1210
55,1.0990
56,1.1320
57,1.1410
58,1.1580
59,1.1400
60,1.1360
61,1.1580
62,1.1670
63,1.1170
64,1.1210
65,1.0990
66,1.1320
67,1.1410
68,1.1580
69,1.1400
70,1.1360
71,1.1580
72,1.1670
73,1.1580
74,1.1640
75,1.1750
76,1.1850
77,1.1730
78,1.2040
79,1.1950
80,1.1840
81,1.1920
82,1.2230
83,1.1580
84,1.1640
85,1.1750
86,1.1850
87,1.1730
88,1.2040
89,1.1950
90,1.1840
91,1.1920
92,1.2230
93,1.2160
94,1.2420
95,1.2800
96,1.2980
97,1.2980
98,1.3030
99,1.2930
100,1.2970
101,1.2920
102,1.2980
103,1.3230
104,1.3270
105,1.3700
106,1.3810
107,1.3640
108,1.3650
109,1.3190
110,1.3760
111,1.3910
112,1.3890
113,1.3230
114,1.3270
115,1.3700
116,1.3810
117,1.3640
118,1.3650
119,1.3190
120,1.3760
121,1.3910
122,1.3890
123,1.4030
124,1.4270
125,1.4620
126,1.4640
127,1.4720
128,1.4470
129,1.4410
130,1.4820
131,1.4950
132,1.5300
133,1.4030
134,1.4270
135,1.4620
136,1.4640
137,1.4720
138,1.4470
139,1.4410
140,1.4820
141,1.4950
142,1.5300
143,1.5170
144,1.5580
145,1.5580
146,1.6000
147,1.5920
148,1.6250
149,1.6820
150,1.7180
151,1.6980
152,1.6490
153,1.5170
154,1.5580
155,1.5580
156,1.6000
157,1.5920
158,1.6250
159,1.6820
160,1.7180
161,1.6980
162,1.6490
163,1.7120
164,1.7700
165,1.7290
166,1.6950
167,1.7310
168,1.7920
169,1.8100
170,1.8270
171,1.7790
172,1.8250
173,1.7120
174,1.7700
175,1.7290
176,1.6950
177,1.7310
178,1.7920
179,1.8100
180,1.8270
181,1.7790
182,1.8250
183,1.8720
184,1.8470
185,1.7140
186,1.7060
187,1.6330
188,1.6070
189,1.6450
190,1.6850
191,1.7070
192,1.6990
193,1.8720
194,1.8470
195,1.7140
196,1.7060
197,1.6330
198,1.6070
199,1.6450
200,1.6850
201,1.7070
202,1.6990
203,1.7540
204,1.7950
205,1.8330
206,1.8740
207,1.8830
208,1.8830
209,1.7330
210,1.7800
211,1.7290
212,1.7520
213,1.7540
214,1.7950
215,1.8330
216,1.8740
217,1.8830
218,1.8830
219,1.7330
220,1.7800
221,1.7290
222,1.7520
223,1.7360
224,1.7680
225,1.8060
226,1.8330
227,1.8230
228,1.8180
229,1.8260
230,1.8000
231,1.8360
232,1.8050
233,1.7360
234,1.7680
