data,嘉实策略增长混合型证券投资基金(070011)
1,1.0000
2,1.0010
3,1.0110
4,1.0110
5,1.0120
6,1.0300
7,1.0640
8,1.0670
9,1.0770
10,1.0860
11,1.0860
12,1.0510
13,1.0490
14,1.0290
15,1.0200
16,1.0250
17,1.0350
18,1.0440
19,1.0410
20,1.0580
21,1.0670
22,1.0780
23,1.0910
24,1.0930
25,1.0920
26,1.0400
27,1.0500
28,1.0390
29,1.0460
30,1.0350
31,1.0470
32,1.0600
33,1.0640
34,1.0610
35,1.0600
36,1.0610
37,1.0520
38,1.0610
39,1.0540
40,1.0640
41,1.0620
42,1.0660
43,1.0700
44,1.0710
45,1.0790
46,1.0800
47,1.0830
48,1.0840
49,1.0820
50,1.0920
51,1.1010
52,1.1100
53,1.1150
54,1.1150
55,1.1290
56,1.1370
57,1.1460
58,1.1550
59,1.1580
60,1.1770
61,1.1750
62,1.1720
63,1.1340
64,1.1690
65,1.1960
66,1.1960
67,1.1950
68,1.2030
69,1.1990
70,1.2140
71,1.2360
72,1.2380
73,1.2440
74,1.2390
75,1.2480
76,1.2170
77,1.2460
78,1.2620
79,1.2630
80,1.2820
81,1.2930
82,1.3060
83,1.2950
84,1.3120
85,1.3400
86,1.3660
87,1.2850
88,1.3330
89,1.3070
90,1.2820
91,1.2930
92,1.3060
93,1.2950
94,1.3120
95,1.3400
96,1.3660
97,1.2850
98,1.3330
99,1.3070
100,1.2220
101,1.2520
102,1.2690
103,1.3090
104,1.3170
105,1.3570
106,1.3900
107,1.4150
108,1.4050
109,1.4150
