data,国寿安保尊利增强回报债券型证券投资基金(002720)
1,1.0180
2,1.0170
3,1.0170
4,1.0160
5,1.0150
6,1.0180
7,1.0190
8,1.0190
9,1.0210
10,1.0220
11,1.0000
12,1.0000
13,1.0010
14,1.0010
15,1.0020
16,1.0020
17,1.0020
18,1.0020
19,1.0020
20,1.0020
21,1.0020
22,1.0020
23,1.0020
24,1.0020
25,1.0020
26,1.0030
27,1.0030
28,1.0030
29,1.0030
30,1.0030
31,1.0030
32,1.0030
33,1.0030
34,1.0030
35,1.0030
36,1.0030
37,1.0030
38,1.0030
39,1.0040
40,1.0040
41,1.0040
42,1.0040
43,1.0050
44,1.0060
45,1.0070
46,1.0060
47,1.0070
48,1.0090
49,1.0090
50,1.0080
51,1.0090
52,1.0080
53,1.0080
54,1.0070
55,1.0070
56,1.0070
57,1.0080
58,1.0080
59,1.0070
60,1.0070
61,1.0070
62,1.0070
63,1.0070
64,1.0080
65,1.0070
66,1.0080
67,1.0080
68,1.0070
69,1.0070
70,1.0070
71,1.0080
72,1.0080
73,1.0080
74,1.0090
75,1.0100
76,1.0080
77,1.0090
78,1.0090
79,1.0090
80,1.0100
81,1.0080
82,1.0080
83,1.0080
84,1.0090
85,1.0100
86,1.0080
87,1.0090
88,1.0090
89,1.0090
90,1.0100
91,1.0130
92,1.0140
93,1.0140
94,1.0140
95,1.0140
96,1.0140
97,1.0160
98,1.0160
99,1.0170
100,1.0170
101,1.0180
102,1.0170
103,1.0150
104,1.0150
105,1.0150
106,1.0140
107,1.0140
108,1.0130
109,1.0140
110,1.0140
111,1.0140
112,1.0140
113,1.0130
114,1.0140
115,1.0150
116,1.0150
117,1.0150
118,1.0140
119,1.0130
120,1.0130
121,1.0140
122,1.0150
123,1.0150
124,1.0140
125,1.0140
126,1.0150
127,1.0130
128,1.0100
129,1.0090
130,1.0070
131,1.0070
132,1.0060
133,1.0060
134,1.0060
135,1.0060
136,1.0010
137,1.0010
138,1.0000
139,0.9980
140,0.9980
141,1.0070
142,1.0060
143,1.0060
144,1.0060
145,1.0060
146,1.0010
147,1.0010
148,1.0000
149,0.9980
150,0.9980
151,0.9980
152,0.9960
153,0.9970
154,0.9980
155,0.9990
156,0.9990
157,0.9990
158,1.0000
159,1.0000
160,1.0010
161,0.9980
162,0.9960
163,0.9970
164,0.9980
165,0.9990
166,0.9990
167,0.9990
168,1.0000
169,1.0000
170,1.0010
171,1.0010
172,1.0020
173,1.0020
174,1.0020
175,1.0020
176,1.0030
177,1.0030
178,1.0030
179,1.0030
180,1.0030
181,1.0010
182,1.0020
183,1.0020
184,1.0020
185,1.0020
186,1.0030
187,1.0030
188,1.0030
189,1.0030
190,1.0030
191,1.0020
192,1.0020
193,1.0010
194,1.0010
195,1.0020
196,1.0030
197,1.0030
198,1.0030
199,1.0040
200,1.0040
201,1.0040
202,1.0030
203,1.0040
204,1.0040
205,1.0050
206,1.0060
207,1.0060
208,1.0050
209,1.0060
210,1.0050
211,1.0040
212,1.0030
213,1.0040
214,1.0040
215,1.0050
216,1.0060
217,1.0060
218,1.0050
219,1.0060
