data,国泰央企改革股票型证券投资基金(001626)
1,1.0000
2,1.0000
3,0.9990
4,0.9990
5,1.0000
6,1.0010
7,1.0010
8,1.0000
9,1.0000
10,1.0000
11,1.0000
12,1.0010
13,1.0020
14,1.0030
15,1.0030
16,1.0070
17,1.0070
18,1.0060
19,1.0130
20,0.9830
21,1.0010
22,1.0130
23,1.0180
24,1.0210
25,1.0050
26,1.0070
27,1.0110
28,1.0010
29,1.0020
30,1.0240
31,1.0250
32,1.0410
33,1.0600
34,1.0640
35,1.0750
36,1.0720
37,1.0450
38,1.0580
39,1.0550
40,1.0410
41,1.0610
42,1.0740
43,1.0780
44,1.0850
45,1.1140
46,1.1050
47,1.0390
48,1.0510
49,1.0540
50,1.0320
51,1.0560
52,1.0550
53,1.0690
54,1.0530
55,1.0420
56,1.0390
57,1.0300
58,1.0350
59,1.0460
60,1.0540
61,1.0810
62,1.0720
63,1.0700
64,1.0690
65,1.0520
66,1.0490
67,1.0650
68,1.0560
69,1.0670
70,1.0760
71,1.0690
72,0.9850
73,0.9720
74,0.9950
75,0.9160
76,0.9220
77,0.8600
78,0.8530
79,0.8210
80,0.8430
81,0.8210
82,0.8430
83,0.8720
84,0.8600
85,0.8330
86,0.8420
87,0.8520
88,0.7880
89,0.7830
90,0.7550
91,0.7870
92,0.7860
93,0.8160
94,0.8220
95,0.8330
96,0.8220
97,0.8270
98,0.8620
99,0.8640
100,0.8570
101,0.8600
102,0.8720
103,0.8710
104,0.8670
105,0.8030
106,0.8030
107,0.7640
108,0.7810
109,0.8160
110,0.8100
111,0.7880
112,0.7990
113,0.8070
114,0.7910
115,0.7760
116,0.7750
117,0.8020
118,0.7970
119,0.7960
120,0.8230
121,0.8500
122,0.8690
123,0.8640
124,0.8740
125,0.8610
126,0.8640
127,0.8590
128,0.8430
129,0.8760
130,0.8780
131,0.8760
132,0.9040
133,0.9040
134,0.8890
135,0.8870
136,0.9090
137,0.9070
138,0.9130
139,0.9210
140,0.9190
141,0.9020
142,0.9010
143,0.8620
144,0.8550
145,0.8620
146,0.8620
147,0.8690
148,0.8680
149,0.8650
150,0.8620
151,0.8830
152,0.8880
153,0.8910
154,0.8590
155,0.8360
156,0.8450
157,0.8430
158,0.8420
159,0.8380
160,0.8580
161,0.8520
162,0.8330
163,0.8390
164,0.8480
165,0.8600
166,0.8480
167,0.8430
168,0.8480
169,0.8500
170,0.8450
171,0.8770
172,0.8770
173,0.8810
174,0.8950
175,0.8950
176,0.8960
177,0.8900
178,0.8690
179,0.8690
180,0.8940
181,0.8900
182,0.8970
183,0.8990
184,0.8880
185,0.9010
186,0.8960
187,0.8890
188,0.9130
189,0.9170
190,0.9140
191,0.9150
192,0.9150
193,0.9350
194,0.9370
195,0.9480
196,0.9500
197,0.9500
198,0.9530
199,0.9680
200,0.9720
201,0.9640
202,0.9620
203,0.9540
204,0.9510
205,0.9500
206,0.9500
207,0.9390
208,0.9380
209,0.9520
210,0.9260
211,0.9300
212,0.9240
213,0.9160
214,0.9230
215,0.9300
216,0.9360
217,0.9330
218,0.9490
219,0.9510
220,0.9530
221,0.9390
222,0.9450
223,0.9600
224,0.9630
225,0.9690
226,0.9670
227,0.9670
228,0.9570
229,0.9550
230,0.9580
231,0.9550
232,0.9590
233,0.9620
234,0.9660
235,0.9670
236,0.9640
237,0.9620
238,0.9690
239,0.9790
