data,国金国鑫灵活配置混合型发起式证券投资基金(762001)
1,2.0751
2,2.0733
3,2.0604
4,2.0502
5,2.0458
6,2.0621
7,2.0770
8,2.0674
9,2.0790
10,2.0942
11,1.0019
12,1.0019
13,1.0018
14,1.0019
15,1.0018
16,1.0019
17,1.0016
18,1.0014
19,1.0010
20,1.0012
21,1.0011
22,1.0002
23,1.0004
24,1.0006
25,1.0008
26,1.0009
27,1.0007
28,1.0004
29,0.9997
30,0.9999
31,0.9994
32,0.9995
33,0.9995
34,0.9995
35,0.9997
36,0.9998
37,0.9999
38,1.0001
39,1.0003
40,1.0003
41,1.0005
42,1.0007
43,1.0010
44,1.0010
45,1.0011
46,1.0010
47,1.0011
48,1.0013
49,1.0014
50,1.0010
51,1.0009
52,1.0011
53,1.0013
54,1.0024
55,1.0027
56,1.0028
57,1.0030
58,1.0031
59,1.0031
60,1.0028
61,1.0036
62,1.0043
63,1.0066
64,1.0128
65,1.0138
66,1.0163
67,1.0185
68,1.0243
69,1.0227
70,1.0273
71,1.0282
72,1.0290
73,1.0327
74,1.0287
75,1.0451
76,1.0578
77,1.0573
78,1.0475
79,1.0530
80,1.0591
81,1.0528
82,1.0527
83,1.0408
84,1.0394
85,1.0506
86,1.0578
87,1.0587
88,1.0539
89,1.0595
90,1.0649
91,1.0751
92,1.0713
93,1.0796
94,1.0896
95,1.0866
96,1.0537
97,1.0692
98,1.0382
99,1.0387
100,1.0383
101,1.0296
102,1.0367
103,1.0500
104,1.0553
105,1.0350
106,1.0433
107,1.0504
108,1.0364
109,1.0257
110,1.0290
111,1.0143
112,1.0131
113,1.0238
114,1.0302
115,1.0326
116,1.0261
117,1.0340
118,1.0480
119,1.0516
120,1.0516
121,1.0558
122,1.0614
123,1.0567
124,1.0532
125,1.0496
126,1.0298
127,1.0239
128,1.0305
129,1.0257
130,1.0169
131,1.0186
132,1.0206
133,1.0154
134,1.0146
135,1.0215
136,1.0160
137,1.0304
138,1.0310
139,1.0170
140,1.0322
141,1.0234
142,1.0133
143,1.0274
144,1.0422
145,1.0565
146,1.0508
147,1.0632
148,1.0668
149,1.0675
150,1.0660
151,1.0557
152,1.0711
153,1.0778
154,1.0906
155,1.1060
156,1.0779
157,1.0583
158,1.0610
159,1.0717
160,1.0849
161,1.0686
162,1.0711
163,1.0688
164,1.0565
165,1.0584
166,1.0490
167,1.0520
168,1.0421
169,1.0329
170,1.0185
171,1.0357
172,1.0358
173,1.0419
174,1.0408
175,1.0161
176,1.0123
177,0.9488
178,0.9438
179,0.9687
180,0.9659
181,0.9703
182,0.9702
183,0.9848
184,0.9983
185,0.9942
186,0.9959
187,0.9944
188,0.9714
189,0.9616
190,0.9794
191,1.0008
192,0.9887
193,1.0067
194,1.0107
195,0.9988
196,0.9914
197,0.9753
198,0.9850
199,1.0108
200,1.0212
201,1.0007
202,1.0019
203,0.9928
204,0.9880
205,0.9890
206,1.0038
207,1.0044
208,1.0121
209,1.0152
210,1.0063
211,1.0023
212,1.0042
213,1.0132
214,1.0123
215,1.0125
216,1.0039
217,0.9924
218,1.0068
219,1.0113
220,1.0148
221,1.0184
222,1.0129
223,1.0306
224,1.0303
225,1.0181
226,1.0118
227,1.0045
228,1.0090
229,1.0180
230,1.0156
231,1.0228
232,1.0288
233,1.0370
234,1.0422
235,1.0295
236,1.0290
237,1.0362
238,1.0373
239,1.0349
240,1.0341
241,1.0563
242,1.0561
243,1.0484
244,1.0391
245,1.0554
246,1.0609
247,1.0693
248,1.0717
249,1.0720
250,1.0900
251,1.0909
252,1.0976
253,1.0813
254,1.0757
255,1.0741
256,1.0898
257,1.0852
258,1.0694
259,1.0038
260,0.9972
261,0.9864
262,0.9775
263,0.9812
264,0.9693
265,0.9707
266,0.9734
267,0.9752
268,0.9679
269,0.9564
270,0.9481
271,0.9557
272,0.9642
273,0.9560
274,0.9677
275,0.9790
276,0.9942
277,0.9902
278,0.9968
279,0.9991
280,0.9976
281,0.9964
282,1.0022
283,1.0106
284,1.0139
285,1.0155
286,0.9856
287,0.9953
288,1.0015
289,0.9987
290,0.9909
291,0.9964
292,1.0022
293,1.0106
294,1.0139
295,1.0155
296,0.9856
297,0.9953
298,1.0015
299,0.9987
300,0.9909
301,0.9933
302,0.9948
303,0.9844
304,0.9839
305,0.9864
306,0.9663
307,0.9635
308,0.9642
309,0.9560
310,0.9439
311,0.9443
312,0.9458
313,0.9539
314,0.9462
315,0.9541
316,0.9562
317,0.9588
318,0.9652
319,0.9610
320,0.9465
321,0.9447
322,0.9521
323,0.9410
324,0.9292
325,0.9213
326,0.9295
327,0.9440
328,0.9471
329,0.9416
330,0.9308
331,0.9419
332,0.9623
333,0.9796
334,0.9877
335,0.9826
336,0.9786
337,0.9927
338,0.9910
339,1.0141
340,1.0331
341,1.0307
342,1.0334
343,1.0159
344,1.0310
345,1.0552
346,1.0605
347,1.0489
348,1.0337
349,1.0333
350,1.0388
351,1.0100
352,1.0165
353,1.0112
354,1.0154
355,1.0256
356,1.0252
357,1.0233
358,1.0225
359,1.0228
360,1.0102
361,1.0083
362,1.0044
363,1.0084
364,1.0050
365,1.0119
366,1.0151
367,1.0120
368,1.0030
369,1.0093
370,1.0120
371,1.0088
372,1.0070
373,0.9993
374,0.9958
375,0.9904
376,0.9953
377,1.0047
378,0.9978
379,1.0023
380,1.0065
381,1.0071
382,1.0102
383,1.0077
384,1.0081
385,0.9980
386,1.0002
387,0.9953
388,0.9987
389,0.9907
390,0.9892
391,0.9891
392,0.9860
393,0.9703
394,0.9523
395,0.9610
396,0.9674
397,0.9689
398,0.9720
399,0.9517
400,0.9543
401,0.9466
402,0.9588
403,0.9632
404,0.9575
405,0.9464
406,0.9446
407,0.9434
408,0.9452
409,0.9489
410,0.9481
411,0.9533
412,0.9615
413,0.9589
414,0.9769
415,0.9680
416,0.9681
417,0.9624
418,0.9575
419,0.9702
420,0.9715
421,0.9686
422,0.9780
423,0.9878
424,0.9809
425,0.9911
426,0.9944
427,0.9833
428,0.9741
429,0.9543
430,0.9622
431,0.9615
432,0.9640
433,0.9606
434,0.9691
435,0.9729
436,0.9776
437,0.9881
438,0.9951
439,1.0006
440,1.0020
441,0.9979
442,1.0031
443,0.9899
444,0.9857
445,0.9900
446,1.0097
447,1.0072
448,0.9989
449,0.9948
450,0.9951
451,0.9915
452,1.0024
453,0.9976
454,0.9939
455,1.0027
456,1.0161
457,1.0166
458,1.0146
459,1.0223
460,1.0270
461,1.0359
462,1.0351
463,1.0337
464,1.0286
465,1.0365
466,1.0582
467,1.0663
468,1.0657
469,1.0606
470,1.0653
471,1.0760
472,1.0780
473,1.0751
474,1.0674
475,1.0735
476,1.0660
477,1.0601
478,1.0699
479,1.0568
480,1.0590
481,1.0686
482,1.0798
483,1.0863
484,1.0954
485,1.1021
486,1.1016
487,1.1044
488,1.0991
489,1.1042
490,1.1115
491,1.0791
492,1.0818
493,1.0876
494,1.0971
495,1.0848
496,1.1027
497,1.1152
498,1.1205
499,1.1338
500,1.1427
501,1.1417
502,1.1570
503,1.1593
504,1.1532
505,1.1375
506,1.1289
507,1.1249
508,1.1157
509,1.1102
510,1.1255
511,1.1184
512,1.1133
513,1.0991
514,1.0961
515,1.1045
516,1.1239
517,1.1408
518,1.1403
519,1.1455
520,1.1493
521,1.1440
522,1.1343
523,1.1431
524,1.1331
525,1.1467
526,1.1186
527,1.1357
528,1.1353
529,1.1246
530,1.1315
531,1.1353
532,1.1339
533,1.1371
534,1.1560
535,1.1778
536,1.1895
537,1.2153
538,1.2320
539,1.2415
540,1.2348
541,1.2842
542,1.2927
543,1.3594
544,1.3745
545,1.4307
546,1.1449
547,1.1792
548,1.1947
549,1.1883
550,1.1778
551,1.1987
552,1.2106
553,1.2084
554,1.1992
555,1.1986
556,1.1778
557,1.1438
558,1.1830
559,1.2279
560,1.2543
561,1.2506
562,1.2959
563,1.3390
564,1.3121
565,1.3257
566,1.2944
567,1.2896
568,1.2714
569,1.2746
570,1.2742
571,1.3037
572,1.3126
573,1.2299
574,1.2613
575,1.2922
576,1.3147
577,1.3035
578,1.3194
579,1.3154
580,1.3025
581,1.3014
582,1.2887
583,1.2683
584,1.2885
585,1.2821
586,1.2800
587,1.2443
588,1.2447
589,1.2606
590,1.2731
591,1.2817
592,1.2946
593,1.3297
594,1.3370
595,1.3241
596,1.3349
597,1.3388
598,1.3539
599,1.3372
600,1.3538
601,1.3663
602,1.3481
603,1.3711
604,1.3869
605,1.3798
606,1.3771
607,1.3891
608,1.4167
609,1.4289
610,1.4444
611,1.4544
612,1.4631
613,1.4928
614,1.4987
615,1.4965
616,1.4818
617,1.4979
618,1.5229
619,1.5304
620,1.5619
621,1.5838
622,1.5975
623,1.6051
624,1.5769
625,1.5445
626,1.5663
627,1.5930
628,1.6038
629,1.5660
630,1.5838
631,1.6155
632,1.6160
633,1.6467
634,1.6981
635,1.6992
636,1.6779
637,1.7054
638,1.6495
639,1.6587
640,1.6608
641,1.6861
642,1.6276
643,1.6204
