data,天弘上证50指数型发起式证券投资基金(001548)
1,0.9999
2,0.9984
3,0.9915
4,1.0023
5,0.9909
6,0.9364
7,0.9348
8,0.9441
9,0.9304
10,0.9294
11,0.9335
12,0.9457
13,0.9339
14,0.9290
15,0.9383
16,0.9676
17,0.9604
18,0.9516
19,0.9583
20,0.9575
21,0.9485
22,0.8992
23,0.9068
24,0.8813
25,0.8514
26,0.7771
27,0.7268
28,0.7364
29,0.7894
30,0.8113
31,0.8290
32,0.8356
33,0.8403
34,0.8021
35,0.8181
36,0.8293
37,0.7268
38,0.7364
39,0.7894
40,0.8113
41,0.8290
42,0.8356
43,0.8403
44,0.8021
45,0.8181
46,0.8293
47,0.8284
48,0.8237
49,0.8355
50,0.8167
51,0.8401
52,0.8235
53,0.8250
54,0.8302
55,0.8383
56,0.8177
57,0.8210
58,0.8193
59,0.8144
60,0.7990
61,0.8053
62,0.8210
63,0.8311
64,0.8544
65,0.8499
66,0.8436
67,0.8606
68,0.8714
69,0.8698
70,0.8765
71,0.8774
72,0.8741
73,0.8789
74,0.8794
75,0.8794
76,0.8652
77,0.8606
78,0.8714
79,0.8698
80,0.8765
81,0.8774
82,0.8741
83,0.8789
84,0.8794
85,0.8794
86,0.8652
87,0.8640
88,0.8660
89,0.8541
90,0.8511
91,0.8867
92,0.9120
93,0.9308
94,0.9448
95,0.9409
96,0.9351
97,0.8640
98,0.8660
99,0.8541
100,0.8511
101,0.8867
102,0.9120
103,0.9308
104,0.9448
105,0.9409
106,0.9351
107,0.9245
108,0.9143
109,0.9139
110,0.9160
111,0.9110
112,0.9194
113,0.9172
114,0.9138
115,0.9107
116,0.9147
117,0.8802
118,0.8755
119,0.9000
120,0.8890
121,0.8867
122,0.8976
123,0.9024
124,0.9290
125,0.9277
126,0.9303
127,0.8802
128,0.8755
129,0.9000
130,0.8890
131,0.8867
132,0.8976
133,0.9024
134,0.9290
135,0.9277
136,0.9303
137,0.8317
138,0.7972
139,0.8011
140,0.7922
141,0.8013
142,0.7803
143,0.7797
144,0.8000
145,0.7859
146,0.7693
147,0.7765
148,0.7776
149,0.7387
150,0.7391
151,0.7255
152,0.7454
153,0.7327
154,0.7434
155,0.7376
156,0.7450
157,0.7427
158,0.7362
159,0.7548
160,0.7596
161,0.7576
162,0.7557
163,0.7733
164,0.7644
165,0.7686
166,0.7293
167,0.7374
168,0.7336
169,0.7432
170,0.7678
171,0.7715
172,0.7963
173,0.7909
174,0.7937
175,0.7925
176,0.7743
177,0.7771
178,0.7793
179,0.7871
180,0.7991
181,0.7976
182,0.8008
183,0.8180
184,0.8113
185,0.8119
186,0.7994
187,0.8032
188,0.7942
189,0.7886
190,0.8054
191,0.8049
192,0.8087
193,0.8130
194,0.8089
195,0.7989
196,0.7936
197,0.8016
198,0.8000
199,0.8091
200,0.8120
201,0.8130
202,0.8046
203,0.8064
204,0.8031
205,0.8009
206,0.8045
207,0.8013
208,0.8037
209,0.8005
210,0.7998
211,0.7979
212,0.8059
213,0.8039
214,0.8040
215,0.7888
216,0.7774
217,0.8013
218,0.8037
219,0.8005
220,0.7998
221,0.7979
222,0.8059
223,0.8039
224,0.8040
225,0.7888
226,0.7774
227,0.7760
228,0.7778
229,0.7793
230,0.7789
231,0.7848
232,0.8065
233,0.8008
234,0.8004
235,0.8065
236,0.8022
237,0.7760
238,0.7778
239,0.7793
240,0.7789
241,0.7848
242,0.8065
243,0.8008
244,0.8004
245,0.8065
246,0.8022
247,0.8033
248,0.8014
249,0.7845
250,0.7884
251,0.7926
252,0.7891
253,0.7922
254,0.7927
255,0.7928
256,0.7967
257,0.7939
258,0.7851
259,0.7922
260,0.7941
261,0.8018
262,0.8018
263,0.8040
264,0.8171
265,0.8197
266,0.8195
267,0.8212
268,0.8167
269,0.8197
270,0.8356
271,0.8383
272,0.8376
273,0.8373
274,0.8359
275,0.8313
276,0.8283
277,0.8322
278,0.8248
279,0.8257
280,0.8339
281,0.8307
282,0.8273
283,0.8242
284,0.8214
285,0.8216
286,0.8207
287,0.8199
288,0.8223
289,0.8260
290,0.8316
291,0.8297
292,0.8330
293,0.8490
294,0.8720
295,0.8610
296,0.8595
297,0.8563
298,0.8588
299,0.8544
300,0.8560
301,0.8526
302,0.8490
303,0.8480
304,0.8461
305,0.8495
306,0.8525
307,0.8482
308,0.8515
309,0.8515
310,0.8527
311,0.8542
312,0.8542
313,0.8515
314,0.8409
315,0.8385
316,0.8326
