data,天弘中证高端装备制造指数型发起式证券投资基金(001600)
1,1.0931
2,1.1761
3,1.1790
4,1.0920
5,1.1261
6,1.2010
7,1.2277
8,1.2363
9,1.2520
10,1.2836
11,1.2658
12,1.1581
13,1.1259
14,1.1941
15,1.1692
16,1.1433
17,1.0957
18,1.1703
19,1.1604
20,1.1554
21,1.1933
22,1.2652
23,1.2669
24,1.2493
25,1.2772
26,1.2753
27,1.2855
28,1.1817
29,1.2064
30,1.1591
31,1.0976
32,1.0034
33,0.9100
34,0.8654
35,0.9058
36,0.9667
37,0.9603
38,0.9124
39,0.8888
40,0.8818
41,0.9140
42,0.9419
43,0.9266
44,0.9276
45,0.8768
46,0.8186
47,0.8788
48,0.8684
49,0.8795
50,0.9171
51,0.9211
52,0.9087
53,0.9224
54,0.8881
55,0.9018
56,0.8787
57,0.8920
58,0.9295
59,0.9482
60,0.9868
61,0.9973
62,0.9855
63,1.0212
64,1.0344
65,1.0262
66,1.0535
67,0.9844
68,1.0178
69,1.0398
70,1.0538
71,1.0717
72,1.0464
73,1.0514
74,1.0452
75,1.0174
76,1.0116
77,1.0630
78,1.0686
79,1.0977
80,1.1110
81,1.1132
82,1.1271
83,1.1306
84,1.1058
85,1.1326
86,1.1261
87,1.1018
88,1.1361
89,1.1544
90,1.1401
91,1.1452
92,1.1612
93,1.1497
94,1.0730
95,1.0738
96,1.0710
97,1.0723
98,1.0924
99,1.0792
100,1.0874
101,1.0585
102,1.0551
103,1.0492
104,1.0452
105,1.0656
106,1.0769
107,1.0829
108,1.1065
109,1.0987
110,1.1081
111,1.1134
112,1.0982
113,1.0944
114,1.1005
115,1.0749
116,1.0844
117,1.1016
118,1.0844
119,0.9990
120,0.9968
121,1.0168
122,0.9327
123,0.9408
124,0.8782
125,0.8779
126,0.8420
127,0.8744
128,0.8462
129,0.8629
130,0.8969
131,0.8871
132,0.8489
133,0.8644
134,0.8717
135,0.8075
136,0.8033
137,0.7663
138,0.7935
139,0.7824
140,0.8102
141,0.8125
142,0.8270
143,0.8204
144,0.8198
145,0.8531
146,0.8670
147,0.8632
148,0.8692
149,0.8870
150,0.8788
151,0.8813
152,0.8110
153,0.8124
154,0.7695
155,0.7866
156,0.8234
157,0.8247
158,0.8073
159,0.8208
160,0.8222
161,0.8089
162,0.7968
163,0.7955
164,0.8220
165,0.8184
166,0.8084
167,0.8356
168,0.8627
169,0.8844
170,0.8868
171,0.8910
172,0.8773
173,0.8824
174,0.8761
175,0.8590
176,0.8917
177,0.8932
178,0.8869
179,0.9114
180,0.9187
181,0.8995
182,0.8902
183,0.9057
184,0.8960
185,0.9092
186,0.9188
187,0.9174
188,0.9000
189,0.9042
190,0.8694
191,0.8583
192,0.8652
193,0.8608
194,0.8694
195,0.8651
196,0.8617
197,0.8592
198,0.8843
199,0.8854
200,0.8883
201,0.8538
202,0.8244
203,0.8253
204,0.8185
205,0.8218
206,0.8197
207,0.8324
208,0.8303
209,0.8126
210,0.8153
211,0.8254
212,0.8359
213,0.8266
214,0.8239
215,0.8272
216,0.8295
217,0.8284
218,0.8604
219,0.8644
220,0.8712
221,0.8732
222,0.8733
223,0.8738
224,0.8747
225,0.8371
226,0.8397
227,0.8657
228,0.8655
229,0.8678
230,0.8731
231,0.8644
232,0.8775
233,0.8782
234,0.8664
235,0.8888
236,0.8926
237,0.8940
238,0.8912
239,0.8907
240,0.9115
241,0.9189
242,0.9172
243,0.9137
244,0.9138
245,0.9141
246,0.9216
247,0.9280
248,0.9292
249,0.9245
250,0.9202
251,0.9249
252,0.9228
253,0.9256
254,0.9212
255,0.9216
256,0.9301
257,0.8933
258,0.8932
259,0.8841
260,0.8708
261,0.8777
262,0.8806
263,0.8863
264,0.8824
265,0.8973
266,0.9036
267,0.8995
268,0.8864
269,0.8939
270,0.9140
271,0.9177
272,0.9197
273,0.9190
274,0.9221
275,0.9085
276,0.9088
277,0.9134
278,0.9069
279,0.9105
280,0.9128
281,0.9163
282,0.9137
283,0.9079
284,0.9052
285,0.9096
286,0.9252
287,0.9247
288,0.9252
289,0.9213
290,0.9002
291,0.9048
292,0.9008
293,0.9094
294,0.9053
295,0.9069
296,0.9095
297,0.9066
298,0.8876
299,0.8927
300,0.8923
301,0.8942
302,0.8973
303,0.9146
304,0.9214
305,0.9216
306,0.9242
307,0.9217
308,0.9121
309,0.9255
310,0.9226
311,0.9252
312,0.9242
313,0.9315
314,0.9293
315,0.9234
316,0.9237
317,0.9164
318,0.9123
319,0.9183
320,0.9110
321,0.9149
322,0.9098
323,0.9108
324,0.9164
325,0.9076
