data,安信新趋势灵活配置混合型(001710)
1,1.0000
2,0.9990
3,0.9980
4,0.9960
5,0.9960
6,0.9960
7,0.9970
8,0.9970
9,0.9960
10,0.9960
11,0.9960
12,0.9960
13,0.9960
14,0.9960
15,0.9980
16,0.9980
17,0.9990
18,1.0000
19,1.0000
20,1.0000
21,1.0010
22,1.0010
23,1.0010
24,1.0010
25,1.0020
26,1.0030
27,1.0020
28,1.0010
29,1.0010
30,1.0020
31,1.0030
32,1.0040
33,1.0030
34,1.0040
35,1.0030
36,1.0030
37,1.0020
38,1.0020
39,1.0020
40,1.0020
41,1.0030
42,1.0030
43,1.0040
44,1.0050
45,1.0040
46,1.0060
47,1.0060
48,1.0070
49,1.0070
50,1.0070
51,1.0070
52,1.0070
53,1.0070
54,1.0070
55,1.0070
56,1.0070
57,1.0070
58,1.0070
59,1.0060
60,1.0060
61,1.0070
62,1.0080
63,1.0080
64,1.0080
65,1.0070
66,1.0080
67,1.0070
68,1.0070
69,1.0080
70,1.0100
71,1.0110
72,1.0110
73,1.0120
74,1.0120
75,1.0130
76,1.0150
77,1.0150
78,1.0150
79,1.0160
80,1.0160
81,1.0160
82,1.0160
83,1.0150
84,1.0160
85,1.0150
86,1.0150
87,1.0160
88,1.0160
89,1.0160
90,1.0160
91,1.0160
92,1.0160
93,1.0160
94,1.0160
95,1.0160
96,1.0160
97,1.0160
98,1.0160
99,1.0150
100,1.0140
101,1.0150
102,1.0150
103,1.0160
104,1.0160
105,1.0160
106,1.0160
107,1.0160
108,1.0170
109,1.0180
110,1.0180
111,1.0180
112,1.0190
113,1.0200
114,1.0200
115,1.0200
116,1.0190
117,1.0210
118,1.0220
119,1.0240
120,1.0240
121,1.0250
122,1.0260
123,1.0250
124,1.0240
125,1.0240
126,1.0270
127,1.0270
128,1.0290
129,1.0290
130,1.0310
131,1.0330
132,1.0330
133,1.0330
134,1.0340
135,1.0350
136,1.0350
137,1.0350
138,1.0360
139,1.0360
140,1.0370
141,1.0370
142,1.0380
143,1.0370
144,1.0370
145,1.0390
146,1.0400
147,1.0400
148,1.0400
149,1.0420
150,1.0410
151,1.0420
152,1.0410
153,1.0400
154,1.0400
155,1.0410
156,1.0410
157,1.0420
158,1.0420
159,1.0400
160,1.0400
161,1.0410
162,1.0400
163,1.0410
164,1.0410
165,1.0400
166,1.0400
167,1.0410
168,1.0410
169,1.0410
170,1.0420
171,1.0420
172,1.0430
173,1.0430
174,1.0430
175,1.0440
176,1.0450
177,1.0440
178,1.0430
179,1.0430
180,1.0430
181,1.0430
182,1.0440
183,1.0440
184,1.0450
185,1.0460
186,1.0460
187,1.0460
188,1.0460
189,1.0470
190,1.0470
191,1.0480
192,1.0480
193,1.0480
194,1.0490
195,1.0500
196,1.0500
197,1.0500
198,1.0500
199,1.0500
200,1.0510
201,1.0530
202,1.0530
203,1.0540
204,1.0540
205,1.0540
206,1.0540
207,1.0550
208,1.0570
209,1.0580
210,1.0580
211,1.0590
212,1.0610
213,1.0610
214,1.0610
215,1.0610
216,1.0620
217,1.0610
218,1.0600
219,1.0600
220,1.0600
221,1.0610
222,1.0620
223,1.0620
224,1.0630
225,1.0650
