data,安信稳健增值灵活配置混合型证券投资型基金(001338)
1,1.0000
2,1.0000
3,1.0000
4,1.0010
5,1.0010
6,1.0010
7,1.0010
8,1.0020
9,1.0010
10,1.0010
11,1.0010
12,1.0010
13,1.0010
14,1.0010
15,1.0010
16,1.0010
17,1.0000
18,1.0010
19,1.0010
20,1.0010
21,1.0000
22,1.0010
23,1.0020
24,1.0010
25,1.0010
26,1.0010
27,1.0010
28,1.0010
29,1.0010
30,1.0010
31,1.0010
32,1.0010
33,1.0000
34,0.9990
35,0.9990
36,1.0010
37,1.0020
38,1.0020
39,1.0030
40,1.0040
41,1.0040
42,1.0020
43,1.0020
44,1.0010
45,1.0020
46,1.0020
47,1.0010
48,1.0460
49,1.0480
50,1.0470
51,1.0470
52,1.0470
53,1.0470
54,1.0460
55,1.0480
56,1.0480
57,1.0490
58,1.0490
59,1.0500
60,1.0500
61,1.0500
62,1.0500
63,1.0500
64,1.0500
65,1.0510
66,1.0520
67,1.0510
68,1.0480
69,1.0480
70,1.0510
71,1.0500
72,1.0490
73,1.0500
74,1.0500
75,1.0500
76,1.0500
77,1.0490
78,1.0490
79,1.0490
80,1.0510
81,1.0500
82,1.0500
83,1.0500
84,1.0500
85,1.0500
86,1.0500
87,1.0500
88,1.0500
89,1.0500
90,1.0500
91,1.0500
92,1.0500
93,1.0500
94,1.0510
95,1.0500
96,1.0500
97,1.0500
98,1.0520
99,1.0520
100,1.0530
101,1.0520
102,1.0530
103,1.0530
104,1.0530
105,1.0540
106,1.0530
107,1.0560
108,1.0590
109,1.0600
110,1.0610
111,1.0610
112,1.0610
113,1.0600
114,1.0600
115,1.0600
116,1.0600
117,1.0600
118,1.0600
119,1.0600
120,1.0600
121,1.0600
122,1.0600
123,1.0610
124,1.0600
125,1.0600
126,1.0610
127,1.0620
128,1.0620
129,1.0620
130,1.0630
131,1.0630
132,1.0630
133,1.0630
134,1.0640
135,1.0640
136,1.0640
137,1.0640
138,1.0640
139,1.0650
140,1.0670
141,1.0680
142,1.0690
143,1.0710
144,1.0710
145,1.0710
146,1.0710
147,1.0720
148,1.0720
149,1.0700
150,1.0710
151,1.0710
152,1.0710
153,1.0730
154,1.0730
155,1.0750
156,1.0760
157,1.0770
158,1.0770
159,1.0780
160,1.0770
161,1.0760
162,1.0750
163,1.0770
164,1.0760
165,1.0730
166,1.0720
167,1.0710
168,1.0720
169,1.0740
170,1.0740
171,1.0720
172,1.0720
173,1.0730
174,1.0750
175,1.0760
176,1.0770
177,1.0780
178,1.0790
179,1.0800
180,1.0800
181,1.0800
182,1.0790
183,1.0790
184,1.0800
185,1.0800
186,1.0810
187,1.0820
188,1.0830
189,1.0830
190,1.0840
191,1.0850
192,1.0850
193,1.0860
194,1.0860
195,1.0860
196,1.0880
197,1.0880
198,1.0890
199,1.0890
200,1.0890
201,1.0890
202,1.0900
203,1.0900
204,1.0900
205,1.0890
206,1.0900
207,1.0900
208,1.0910
209,1.0910
210,1.0910
211,1.0910
212,1.0910
213,1.0900
214,1.0890
215,1.0870
216,1.0860
217,1.0860
218,1.0860
219,1.0860
220,1.0850
221,1.0840
222,1.0820
223,1.0800
224,1.0790
225,1.0790
226,1.0780
227,1.0780
228,1.0790
229,1.0800
230,1.0790
231,1.0780
232,1.0780
233,1.0790
234,1.0800
235,1.0800
236,1.0790
237,1.0800
238,1.0800
