data,安信鑫安得利灵活配置混合型证券投资型基金(001400)
1,1.1634
2,1.1611
3,1.1597
4,1.1585
5,1.1574
6,1.1619
7,1.1638
8,1.1631
9,1.1648
10,1.1696
11,1.0000
12,1.0000
13,1.0000
14,1.0000
15,1.0000
16,1.0000
17,1.0000
18,1.0000
19,1.0000
20,1.0000
21,0.9990
22,1.0000
23,1.0000
24,1.0000
25,1.0030
26,1.0040
27,1.0060
28,1.0060
29,1.0060
30,1.0060
31,1.0060
32,1.0060
33,1.0060
34,1.0060
35,1.0060
36,1.0060
37,1.0080
38,1.0070
39,1.0080
40,1.0080
41,1.0090
42,1.0090
43,1.0100
44,1.0100
45,1.0100
46,1.0100
47,1.0100
48,1.0110
49,1.0110
50,1.0110
51,1.0110
52,1.0110
53,1.0110
54,1.0120
55,1.0130
56,1.0140
57,1.0150
58,1.0140
59,1.0140
60,1.0150
61,1.0150
62,1.0150
63,1.0150
64,1.0150
65,1.0150
66,1.0150
67,1.0150
68,1.0160
69,1.0150
70,1.0160
71,1.0160
72,1.0160
73,1.0170
74,1.0170
75,1.0170
76,1.0170
77,1.0150
78,1.0160
79,1.0150
80,1.0160
81,1.0160
82,1.0160
83,1.0170
84,1.0170
85,1.0170
86,1.0170
87,1.0180
88,1.0180
89,1.0190
90,1.0190
91,1.0190
92,1.0190
93,1.0190
94,1.0190
95,1.0190
96,1.0190
97,1.0190
98,1.0190
99,1.0190
100,1.0190
101,1.0190
102,1.0200
103,1.0200
104,1.0200
105,1.0200
106,1.0210
107,1.0200
108,1.0200
109,1.0210
110,1.0210
111,1.0210
112,1.0210
113,1.0210
114,1.0220
115,1.0240
116,1.0250
117,1.0250
118,1.0250
119,1.0260
120,1.0250
121,1.0250
122,1.0250
123,1.0250
124,1.0240
125,1.0230
126,1.0230
127,1.0250
128,1.0250
129,1.0260
130,1.0250
131,1.0250
132,1.0250
133,1.0250
134,1.0240
135,1.0230
136,1.0230
137,1.0220
138,1.0220
139,1.0220
140,1.0220
141,1.0220
142,1.0220
143,1.0220
144,1.0220
145,1.0230
146,1.0230
