data,富兰克林国海新活力灵活配置混合型证券投资基金（A类）(002099)
1,1.0000
2,1.0000
3,1.0020
4,1.0020
5,0.9990
6,0.9990
7,0.9980
8,1.0000
9,1.0000
10,1.0000
11,1.0010
12,1.0010
13,0.9960
14,0.9980
15,0.9970
16,0.9990
17,1.0000
18,1.0040
19,1.0050
20,1.0050
21,1.0050
22,1.0050
23,1.0040
24,1.0060
25,1.0060
26,1.0060
27,1.0060
28,1.0080
29,1.0090
30,1.0080
31,1.0080
32,1.0080
33,1.0080
34,1.0090
35,1.0080
36,1.0090
37,1.0090
38,1.0090
39,1.0100
40,1.0090
41,1.0100
42,1.0100
43,1.0110
44,1.0110
45,1.0110
46,1.0100
47,1.0100
48,1.0110
49,1.0110
50,1.0120
51,1.0120
52,1.0130
53,1.0130
54,1.0130
55,1.0130
56,1.0140
57,1.0130
58,1.0130
59,1.0130
60,1.0130
61,1.0130
62,1.0130
63,1.0100
64,1.0100
65,1.0100
66,1.0070
67,1.0080
68,1.0080
69,1.0070
70,1.0080
71,1.0080
72,1.0080
73,1.0080
74,1.0080
75,1.0070
76,1.0080
77,1.0090
78,1.0090
79,1.0100
80,1.0110
81,1.0110
82,1.0110
83,1.0120
84,1.0120
85,1.0110
86,1.0110
87,1.0110
88,1.0110
89,1.0110
90,1.0110
91,1.0110
92,1.0110
93,1.0120
94,1.0120
95,1.0120
96,1.0130
97,1.0130
98,1.0130
99,1.0130
100,1.0130
101,1.0130
102,1.0140
103,1.0150
104,1.0150
105,1.0150
106,1.0150
107,1.0140
108,1.0150
109,1.0160
110,1.0160
111,1.0160
112,1.0160
113,1.0160
114,1.0160
115,1.0160
116,1.0160
117,1.0170
118,1.0180
119,1.0180
120,1.0170
121,1.0160
122,1.0160
123,1.0170
124,1.0170
125,1.0170
126,1.0180
127,1.0170
128,1.0170
129,1.0170
130,1.0170
131,1.0180
132,1.0200
133,1.0190
134,1.0190
135,1.0190
136,1.0140
137,1.0130
138,1.0180
139,1.0190
140,1.0200
141,1.0210
142,1.0220
143,1.0210
144,1.0220
145,1.0200
146,1.0190
147,1.0180
148,1.0170
149,1.0170
150,1.0180
151,1.0150
152,1.0150
153,1.0160
154,1.0160
155,1.0170
156,1.0160
157,1.0160
158,1.0150
159,1.0130
160,1.0120
161,1.0120
162,1.0100
163,1.0090
164,1.0090
165,1.0100
166,1.0120
167,1.0120
168,1.0110
169,1.0110
170,1.0100
171,1.0080
172,1.0080
173,1.0120
174,1.0110
175,1.0130
176,1.0110
177,1.0120
178,1.0120
179,1.0130
180,1.0170
181,1.0180
182,1.0190
183,1.0184
184,1.0194
185,1.0183
186,1.0187
187,1.0187
188,1.0207
189,1.0210
190,1.0227
191,1.0205
192,1.0221
193,1.0271
194,1.0275
195,1.0256
196,1.0282
197,1.0284
198,1.0277
199,1.0258
200,1.0287
201,1.0282
202,1.0291
203,1.0281
204,1.0285
205,1.0284
206,1.0308
207,1.0319
208,1.0286
209,1.0283
210,1.0329
211,1.0347
212,1.0346
213,1.0360
214,1.0355
215,1.0378
216,1.0370
217,1.0370
218,1.0384
219,1.0418
220,1.0412
221,1.0404
222,1.0393
223,1.0391
224,1.0403
225,1.0379
226,1.0374
227,1.0330
228,1.0357
229,1.0382
230,1.0379
231,1.0407
232,1.0411
233,1.0425
234,1.0430
235,1.0440
236,1.0436
237,1.0514
238,1.0568
239,1.0593
240,1.0579
241,1.0572
242,1.0574
243,1.0573
244,1.0601
245,1.0590
246,1.0571
247,1.0565
248,1.0565
249,1.0580
250,1.0578
251,1.0559
252,1.0551
253,1.0561
254,1.0558
255,1.0567
256,1.0585
257,1.0596
258,1.0605
259,1.0607
260,1.0607
261,1.0605
262,1.0614
263,1.0631
264,1.0635
265,1.0641
266,1.0650
267,1.0656
268,1.0650
269,1.0650
270,1.0680
271,1.0669
272,1.0660
273,1.0665
274,1.0688
275,1.0695
276,1.0688
277,1.0685
278,1.0664
279,1.0670
280,1.0671
281,1.0663
282,1.0655
283,1.0662
284,1.0699
285,1.0717
286,1.0725
287,1.0720
