data,富兰克林国海日日收益货币市场证券投资基金（B类）(000204)
1,5.6950%
2,5.3900%
3,5.2800%
4,5.2990%
5,5.3090%
6,5.3110%
7,5.1350%
8,4.6370%
9,4.3870%
10,4.1470%
11,3.9640%
12,5.3900%
13,5.2800%
14,5.2990%
15,5.3090%
16,5.3110%
17,5.1350%
18,4.6370%
19,4.3870%
20,4.1470%
21,3.9640%
22,3.5080%
23,3.4530%
24,3.7320%
25,3.7720%
26,3.7910%
27,3.7670%
28,3.7920%
29,3.8190%
30,3.8420%
31,3.8690%
32,3.9140%
33,4.0230%
34,4.0750%
35,4.0630%
36,4.1590%
37,4.2750%
38,4.3900%
39,4.5000%
40,4.4960%
41,4.4720%
42,4.5480%
43,4.5690%
44,4.6290%
45,4.6420%
46,4.7090%
47,4.7060%
48,4.7090%
49,4.6540%
50,4.5770%
51,4.4400%
52,4.3680%
53,4.4240%
54,4.3430%
55,4.3190%
56,4.2810%
57,4.1900%
58,4.3590%
59,4.2700%
60,4.2720%
61,4.2820%
62,4.3700%
63,4.4970%
64,4.3480%
65,4.3210%
66,4.2180%
67,4.5470%
68,4.5540%
69,4.6180%
70,4.6600%
71,4.7080%
72,4.8520%
73,4.5710%
74,4.5720%
75,4.5720%
76,4.5540%
77,4.5440%
78,4.5480%
79,4.5340%
80,4.5270%
81,4.5180%
82,4.5070%
83,4.4660%
84,4.4750%
85,4.4950%
86,4.5110%
87,4.5430%
88,4.5940%
89,4.6690%
90,4.6390%
91,4.6570%
92,4.6000%
93,4.4120%
94,4.4190%
95,4.4890%
96,4.6240%
97,4.7110%
98,4.8480%
99,5.1970%
100,5.2530%
101,5.2530%
102,5.2310%
103,5.2090%
104,5.1510%
105,5.0690%
106,5.2290%
107,5.1800%
108,5.1170%
109,5.0920%
110,5.0590%
111,4.9270%
112,4.9040%
113,5.1480%
114,5.3780%
115,5.5620%
116,5.8410%
117,6.4230%
118,6.3110%
119,6.6020%
120,6.9160%
121,7.1300%
122,7.0600%
123,7.0090%
124,7.0450%
125,6.6080%
126,6.1990%
127,5.9100%
128,5.8850%
129,5.7310%
130,5.8330%
131,5.8910%
132,5.9840%
133,6.0740%
134,6.1150%
135,6.2560%
136,6.1970%
137,6.5160%
138,6.4850%
139,6.4240%
140,6.3920%
141,6.3110%
142,6.2440%
143,5.8610%
144,5.7530%
145,5.6520%
146,5.2680%
147,5.3200%
148,5.4280%
149,5.4620%
150,5.5160%
151,5.5710%
152,5.6240%
153,5.6260%
154,5.6300%
155,5.6280%
156,5.5990%
157,6.3420%
158,6.3250%
159,6.2210%
160,6.0000%
161,5.9180%
162,5.8360%
163,5.0230%
164,4.9720%
165,5.8000%
166,5.8930%
167,5.8920%
168,5.8850%
169,5.8180%
170,5.7640%
171,4.8650%
172,4.6340%
173,4.5980%
174,4.5750%
175,4.5510%
176,4.5270%
177,4.5440%
178,4.5920%
179,4.5530%
180,4.4890%
181,4.7300%
182,4.6780%
183,4.6450%
184,4.5380%
185,4.5020%
186,4.5040%
187,4.2370%
188,4.7630%
189,4.7480%
190,4.7610%
191,5.3090%
192,5.3100%
193,5.3970%
194,4.8630%
195,4.8720%
196,4.3620%
197,4.5810%
198,4.6930%
199,4.6990%
200,4.6840%
201,4.6520%
202,4.6000%
203,4.7860%
204,4.5780%
205,4.5880%
206,4.6920%
207,4.6920%
208,5.3300%
209,4.9280%
210,4.9290%
211,4.9250%
212,4.6000%
213,4.7860%
214,4.5780%
215,4.5880%
216,4.6920%
217,4.6920%
218,5.3300%
219,4.9280%
220,4.9290%
221,4.9250%
222,5.2380%
223,5.2050%
224,4.6220%
225,4.8840%
226,4.8800%
227,4.5400%
228,4.5270%
229,4.2570%
230,4.2510%
231,4.2450%
232,5.2380%
233,5.2050%
234,4.6220%
235,4.8840%
236,4.8800%
237,4.5400%
238,4.5270%
239,4.2570%
240,4.2510%
241,4.2450%
242,4.2410%
243,4.2360%
244,4.4880%
245,4.4960%
246,4.4940%
247,4.6340%
248,4.6280%
249,4.6170%
250,4.8980%
251,4.8840%
252,4.2410%
253,4.2360%
254,4.4880%
255,4.4960%
256,4.4940%
257,4.6340%
258,4.6280%
259,4.6170%
260,4.8980%
261,4.8840%
262,4.8740%
263,4.7310%
264,4.7390%
265,4.7570%
266,5.3870%
267,5.3830%
268,6.1640%
269,6.1640%
270,6.1380%
271,4.9030%
272,4.8740%
273,4.7310%
274,4.7390%
275,4.7570%
276,5.3870%
277,5.3830%
278,6.1640%
279,6.1640%
280,6.1380%
281,4.9030%
282,4.1280%
283,4.8320%
284,5.9980%
285,6.2170%
286,6.0390%
287,6.0470%
288,6.0720%
289,5.3850%
290,4.8880%
291,4.6900%
292,4.7240%
293,4.7660%
294,4.8480%
295,5.2310%
296,5.4300%
297,5.4430%
298,5.3610%
299,5.2940%
300,5.1540%
301,4.7710%
302,3.9020%
303,3.8330%
304,3.8590%
305,3.8730%
306,3.8980%
307,3.8930%
308,4.1060%
309,4.3040%
310,4.3460%
311,4.3600%
312,4.3940%
313,4.3980%
314,4.1500%
315,3.9780%
316,3.9720%
317,3.9680%
318,3.9600%
319,3.9260%
320,3.9740%
321,3.9940%
322,3.9690%
323,3.9540%
324,3.9220%
325,3.9210%
326,3.9200%
327,3.9100%
328,3.9120%
329,3.9050%
330,3.8940%
331,4.7120%
332,4.7070%
333,4.8390%
334,4.8420%
335,4.8450%
336,4.8460%
337,4.0400%
338,4.1880%
339,4.2300%
340,4.5150%
341,4.9060%
342,4.9570%
343,6.5810%
344,6.4620%
345,6.3020%
346,6.0280%
347,5.6940%
348,5.6690%
349,4.0550%
350,4.0450%
351,4.3440%
352,4.3620%
353,4.3320%
354,4.3840%
355,4.5820%
356,4.2700%
357,4.2270%
358,4.2070%
359,4.1550%
360,4.0750%
361,3.8450%
362,3.8450%
363,4.0640%
364,5.1750%
365,5.1790%
366,5.2370%
367,6.4170%
368,6.4250%
369,6.2140%
370,5.1150%
371,5.1040%
372,5.1110%
373,3.9690%
374,4.1240%
375,4.1030%
376,4.0820%
377,4.0560%
378,4.0100%
379,5.0620%
380,5.0470%
381,5.2880%
382,5.2540%
383,5.4440%
384,5.4020%
385,4.6650%
386,6.3670%
387,6.1140%
388,6.1380%
389,5.9420%
390,5.9890%
391,5.8390%
392,4.5070%
393,4.8060%
394,4.7880%
395,5.3150%
396,5.2690%
397,5.0480%
398,5.2110%
399,5.0860%
400,5.0660%
401,4.5030%
402,4.4580%
403,4.4460%
404,3.8530%
405,4.1890%
406,4.1740%
407,4.1200%
408,4.0900%
409,4.0670%
410,5.1080%
411,4.5630%
412,4.5720%
413,4.6240%
414,4.6460%
415,4.6260%
416,4.3780%
417,4.4690%
418,4.4630%
419,4.4410%
420,4.4110%
421,4.6250%
422,3.8010%
423,3.6820%
424,4.0470%
425,4.0690%
426,4.1070%
427,3.9340%
428,3.9770%
429,4.0150%
430,3.6550%
431,3.6630%
432,3.6730%
433,3.6720%
434,3.6630%
435,3.6660%
436,3.7130%
437,3.7580%
438,3.8540%
439,3.9010%
440,4.6560%
441,4.7380%
442,4.8050%
443,4.8330%
444,4.8700%
445,4.8840%
446,4.1460%
447,4.0990%
448,3.8920%
449,3.8900%
450,3.9490%
451,4.0730%
452,4.6350%
453,4.6910%
454,4.8110%
455,4.8440%
456,4.8210%
457,4.7060%
458,4.1840%
459,4.1600%
460,4.1190%
461,4.7010%
462,5.4050%
463,6.7130%
464,6.8130%
465,6.7980%
466,6.7530%
467,6.1170%
468,5.3930%
469,4.0890%
470,3.9880%
471,4.3500%
472,4.4260%
473,4.4620%
474,5.2180%
475,6.1740%
476,6.1400%
477,5.7830%
478,5.7310%
479,5.7070%
480,4.9800%
481,4.0220%
482,4.0750%
483,4.1080%
484,4.1640%
485,4.1920%
486,4.2130%
487,4.2160%
488,4.2340%
489,4.2410%
490,4.2290%
491,4.2180%
492,4.2240%
493,4.2340%
494,5.7710%
495,5.7850%
496,5.8200%
497,5.8770%
498,5.8800%
499,5.8730%
500,4.3230%
501,4.3100%
502,4.2810%
503,4.2300%
504,4.2270%
505,4.2380%
506,4.2380%
507,4.2400%
508,4.2490%
509,4.2720%
510,4.2670%
511,4.2640%
512,4.2500%
513,4.2120%
514,4.1680%
515,4.0770%
516,4.0480%
517,4.0190%
518,5.4170%
519,5.4350%
520,5.4530%
521,5.4950%
522,5.4900%
523,4.0490%
524,3.9760%
525,3.8750%
526,3.7330%
527,3.6660%
528,3.6620%
529,3.6140%
530,3.6460%
531,4.5050%
532,4.5870%
533,4.6060%
534,4.5630%
535,6.2900%
536,6.2940%
537,5.4820%
538,5.3940%
539,5.3610%
540,5.3440%
541,3.6310%
542,3.5880%
543,3.5900%
544,3.5990%
545,4.2360%
546,4.2610%
547,4.5060%
548,4.5370%
549,4.6070%
550,4.6280%
551,3.9830%
552,4.2200%
553,4.2680%
554,4.1520%
555,3.9150%
556,6.0500%
557,8.1220%
558,7.8210%
559,7.4780%
560,7.3170%
561,6.9760%
562,4.5750%
563,2.2640%
564,2.0590%
565,1.8590%
566,1.8450%
567,2.1380%
568,3.4240%
569,3.6140%
570,3.7960%
571,3.9940%
572,4.2010%
573,4.3140%
574,3.2060%
575,3.1970%
576,3.1710%
577,3.1410%
578,3.1410%
579,3.1530%
580,3.1820%
581,3.1750%
582,3.2350%
583,3.2750%
584,3.2810%
585,3.2810%
586,3.3120%
587,3.2970%
588,3.2860%
589,3.2760%
590,3.2540%
591,3.2190%
592,3.2380%
593,3.2420%
594,4.0810%
595,4.1040%
596,4.1540%
597,4.1690%
598,4.0790%
599,4.0270%
600,3.1240%
601,3.0110%
602,2.7500%
603,2.6530%
604,2.6000%
605,2.5030%
606,2.4460%
607,2.4240%
608,2.4110%
609,2.3950%
610,2.3900%
611,2.4110%
612,2.4130%
613,3.0360%
614,3.0490%
615,3.0420%
616,3.0410%
617,3.0410%
618,3.0450%
619,3.0630%
620,3.0420%
621,3.1460%
622,3.1400%
623,3.1190%
624,3.1040%
625,2.4500%
626,2.4300%
627,2.3170%
628,2.2480%
629,2.2340%
630,2.2070%
631,2.1930%
632,2.1650%
633,2.1560%
634,3.0970%
635,3.1110%
636,3.1310%
637,3.1320%
638,3.1590%
639,3.8020%
640,3.0880%
641,3.0970%
642,3.1100%
643,3.7270%
644,3.7270%
645,3.1030%
646,2.9380%
647,2.9410%
648,2.3100%
649,2.5480%
