data,工银瑞信金融地产行业混合型证券投资基金(000251)
1,1.0020
2,1.0040
3,1.0110
4,1.0090
5,1.0090
6,1.0140
7,1.0120
8,1.0120
9,1.0150
10,1.0150
11,1.0180
12,1.0310
13,1.0340
14,1.0310
15,1.0440
16,1.0510
17,1.0540
18,1.0440
19,1.0430
20,1.0490
21,1.0610
22,1.0560
23,1.0400
24,1.0320
25,1.0330
26,1.0510
27,1.0540
28,1.0440
29,1.0430
30,1.0490
31,1.0610
32,1.0560
33,1.0400
34,1.0320
35,1.0330
36,1.0300
37,1.0290
38,1.0390
39,1.0300
40,1.0300
41,1.0300
42,1.0350
43,1.0300
44,1.0300
45,1.0270
46,1.0300
47,1.0380
48,1.0280
49,1.0340
50,1.0470
51,1.0720
52,1.0700
53,1.0740
54,1.0700
55,1.0670
56,1.0660
57,1.0670
58,1.0720
59,1.0750
60,1.0750
61,1.0710
62,1.0810
63,1.0910
64,1.0900
65,1.0840
66,1.0870
67,1.0860
68,1.0800
69,1.0810
70,1.0820
71,1.0780
72,1.0750
73,1.0770
74,1.0710
75,1.0680
76,1.0640
77,1.0670
78,1.0620
79,1.0590
80,1.0570
81,1.0630
82,1.0660
83,1.0680
84,1.0680
85,1.0690
86,1.0780
87,1.0990
88,1.1030
89,1.1210
90,1.1120
91,1.1130
92,1.1220
93,1.1170
94,1.1270
95,1.1470
96,1.1420
97,1.1440
98,1.1380
99,1.1480
100,1.1670
101,1.1580
102,1.1630
103,1.1500
104,1.1430
105,1.1340
106,1.1130
107,1.1270
108,1.1290
109,1.1360
110,1.1360
111,1.1380
112,1.1300
113,1.1420
114,1.1390
115,1.1030
116,1.1000
117,1.1020
118,1.1150
119,1.1050
120,1.1220
121,1.1160
122,1.1180
123,1.1170
124,1.1510
125,1.1740
126,1.1000
127,1.1020
128,1.1150
129,1.1050
130,1.1220
131,1.1160
132,1.1180
133,1.1170
134,1.1510
135,1.1740
136,1.1680
137,1.1670
138,1.1610
139,1.1470
140,1.1410
141,1.1490
142,1.1660
143,1.1530
144,1.1560
145,1.1790
146,1.1520
147,1.1530
148,1.1490
149,1.1370
150,1.1450
151,1.1480
152,1.1460
153,1.1460
154,1.1410
155,1.1400
156,1.1380
157,1.1550
158,1.1560
159,1.1590
160,1.1440
161,1.1430
162,1.1300
163,1.1310
164,1.1400
165,1.1450
166,1.1380
167,1.1550
168,1.1560
169,1.1590
170,1.1440
171,1.1430
172,1.1300
173,1.1310
174,1.1400
175,1.1450
176,1.1640
177,1.1640
178,1.1590
179,1.1770
180,1.1700
181,1.1700
182,1.1650
183,1.1510
184,1.1640
185,1.1570
186,1.1600
187,1.1780
188,1.1740
189,1.1710
190,1.1900
191,1.1970
192,1.1850
193,1.1800
194,1.1660
195,1.1720
196,1.1730
197,1.1790
198,1.1730
199,1.1840
200,1.1840
201,1.1940
202,1.1900
203,1.1930
204,1.2010
205,1.2040
206,1.2110
207,1.2120
208,1.1920
209,1.1920
210,1.1980
211,1.2110
212,1.2090
213,1.2040
214,1.1960
215,1.2130
216,1.3200
217,1.3170
218,1.3130
219,1.2950
220,1.2960
221,1.3160
222,1.3120
223,1.3200
224,1.3080
225,1.3250
226,1.3360
227,1.3340
228,1.3320
229,1.3280
230,1.3400
231,1.3300
232,1.3090
233,1.3120
234,1.3030
235,1.3160
236,1.3270
237,1.3430
238,1.3580
239,1.3790
240,1.3900
241,1.3830
242,1.3740
243,1.3710
244,1.3790
245,1.3720
246,1.3270
247,1.3430
248,1.3580
249,1.3790
250,1.3900
