data,广发中证军工交易型开放式指数证券投资基金发起式联接基金(003017)
1,0.8610
2,0.8633
3,0.8655
4,0.8566
5,0.8550
6,0.8665
7,0.8775
8,0.8769
9,0.8815
10,0.8781
11,1.0000
12,1.0008
13,0.9965
14,1.0023
15,1.0034
16,1.0032
17,1.0019
18,1.0070
19,1.0059
20,1.0004
21,1.0019
22,0.9950
23,0.9924
24,0.9959
25,0.9905
26,0.9930
27,0.9865
28,0.9821
29,0.9874
30,0.9791
31,0.9874
32,0.9923
33,0.9976
34,0.9978
35,0.9967
36,0.9999
37,0.9957
38,0.9962
39,1.0003
40,1.0016
41,0.9917
42,0.9971
43,0.9975
44,1.0005
45,0.9967
46,1.0045
47,0.9897
48,0.9932
49,0.9908
50,1.0013
51,0.9900
52,0.9853
53,0.9485
54,0.9600
55,0.9600
56,0.9720
57,0.9665
58,0.9643
59,0.9589
60,0.9742
61,0.9742
62,0.9713
63,0.9743
64,0.9696
65,0.9656
66,0.9608
67,0.9590
68,0.9589
69,0.9810
70,0.9876
71,0.9970
72,0.9937
73,1.0229
74,1.0099
75,1.0092
76,0.9983
77,0.9878
78,0.9631
79,0.9774
80,0.9684
81,0.9601
82,0.9734
83,0.9878
84,0.9829
85,0.9859
86,0.9920
87,0.9946
88,1.0032
89,0.9962
90,1.0118
91,1.0143
92,1.0068
93,1.0079
94,1.0043
95,0.9920
96,0.9967
97,1.0021
98,1.0032
99,0.9962
100,1.0118
101,1.0143
102,1.0068
103,1.0079
104,1.0043
105,0.9920
106,0.9967
107,1.0021
108,1.0059
109,1.0100
110,1.0068
111,1.0000
112,1.0107
113,1.0003
114,1.0047
115,1.0118
116,1.0035
117,1.0104
118,1.0222
119,1.0182
120,1.0202
121,1.0086
122,1.0039
123,1.0121
124,1.0101
125,1.0039
126,1.0131
127,1.0036
128,1.0038
129,1.0031
130,0.9952
131,0.9996
132,1.0031
133,1.0064
134,1.0038
135,1.0014
136,0.9841
137,1.0001
138,1.0038
139,1.0031
140,0.9952
141,0.9996
142,1.0031
143,1.0064
144,1.0038
145,1.0014
146,0.9841
147,1.0001
148,0.9897
149,0.9890
150,0.9776
151,0.9521
152,0.9650
153,0.9540
154,0.9491
155,0.9532
156,0.9460
157,0.9489
158,0.9897
159,0.9890
160,0.9776
161,0.9521
162,0.9650
163,0.9540
164,0.9491
165,0.9532
166,0.9460
167,0.9489
168,0.9338
169,0.9098
170,0.8795
171,0.8864
172,0.8600
173,0.8586
174,0.8528
175,0.8554
176,0.8667
177,0.8719
178,0.8626
179,0.8609
180,0.8477
181,0.8167
182,0.8223
183,0.8297
184,0.8287
185,0.8283
186,0.8081
187,0.8201
188,0.8687
189,0.8679
190,0.8676
191,0.8530
192,0.8552
193,0.8627
194,0.8678
195,0.8584
196,0.8640
197,0.8610
198,0.8687
199,0.8679
200,0.8676
201,0.8530
202,0.8552
203,0.8627
204,0.8678
205,0.8584
206,0.8640
207,0.8610
208,0.8635
209,0.8683
210,0.8729
211,0.8729
212,0.8781
213,0.8773
214,0.8688
215,0.8650
216,0.8694
217,0.8653
218,0.8635
219,0.8683
220,0.8729
221,0.8729
222,0.8781
223,0.8773
224,0.8688
225,0.8650
226,0.8694
227,0.8653
228,0.8166
229,0.8212
230,0.8278
231,0.8321
232,0.8359
233,0.8515
234,0.8444
235,0.8470
236,0.8557
237,0.8488
238,0.8166
239,0.8212
240,0.8278
241,0.8321
242,0.8359
243,0.8515
244,0.8444
245,0.8470
246,0.8557
247,0.8488
248,0.8420
249,0.8387
250,0.8244
251,0.8278
252,0.8638
253,0.8601
254,0.8624
255,0.8568
256,0.8593
257,0.8573
258,0.8420
259,0.8387
260,0.8244
261,0.8278
262,0.8638
263,0.8601
264,0.8624
265,0.8568
266,0.8593
267,0.8573
268,0.8675
269,0.8690
270,0.8788
271,0.8864
272,0.8781
273,0.8803
274,0.8683
275,0.8682
276,0.8630
277,0.8697
278,0.8675
279,0.8690
280,0.8788
281,0.8864
282,0.8781
283,0.8803
284,0.8683
285,0.8682
286,0.8630
287,0.8697
288,0.8782
289,0.8664
290,0.8689
291,0.8691
292,0.8728
293,0.8836
294,0.8803
295,0.8900
296,0.8816
297,0.8781
298,0.8830
299,0.8797
300,0.8829
301,0.8791
302,0.8866
303,0.8907
304,0.8852
305,0.8956
306,0.8882
307,0.8873
308,0.8830
309,0.8870
310,0.8920
311,0.8972
312,0.9013
313,0.9026
314,0.9065
315,0.8997
316,0.9115
317,0.9082
318,0.8830
319,0.8870
320,0.8920
321,0.8972
322,0.9013
323,0.9026
324,0.9065
325,0.8997
326,0.9115
327,0.9082
328,0.9047
329,0.9014
330,0.8968
331,0.8810
332,0.8876
333,0.8871
334,0.8782
335,0.8814
336,0.8873
337,0.8801
