data,广发新动力混合型证券投资基金(000550)
1,1.0010
2,0.9880
3,0.9990
4,1.0180
5,1.0150
6,1.0050
7,1.0010
8,0.9880
9,0.9990
10,1.0180
11,1.0150
12,1.0050
13,0.9990
14,0.9950
15,0.9910
16,0.9830
17,0.9710
18,0.9840
19,0.9890
20,0.9990
21,1.0010
22,0.9910
23,0.9920
24,0.9880
25,0.9980
26,0.9980
27,1.0020
28,0.9930
29,0.9870
30,0.9850
31,0.9860
32,0.9920
33,1.0030
34,0.9990
35,1.0100
36,1.0160
37,1.0120
38,1.0220
39,1.0320
40,1.0220
41,1.0190
42,1.0010
43,1.0150
44,1.0230
45,1.0330
46,1.0290
47,1.0410
48,1.0410
49,1.0490
50,1.0560
51,1.0600
52,1.0680
53,1.0150
54,1.0230
55,1.0330
56,1.0290
57,1.0410
58,1.0410
59,1.0490
60,1.0560
61,1.0600
62,1.0680
63,1.0640
64,1.0660
65,1.0820
66,1.0590
67,1.0630
68,1.0730
69,1.1040
70,1.1130
71,1.1050
72,1.0960
73,1.0950
74,1.1040
75,1.1320
76,1.1310
77,1.1280
78,1.1380
79,1.1510
80,1.1590
81,1.1560
82,1.1700
83,1.1710
84,1.1900
85,1.1940
86,1.1970
87,1.1810
88,1.1820
89,1.2160
90,1.2240
91,1.2250
92,1.2090
93,1.2240
94,1.2390
95,1.2460
96,1.2580
97,1.2690
98,1.2720
99,1.2840
100,1.2900
101,1.2800
102,1.2940
103,1.2240
104,1.2390
105,1.2460
106,1.2580
107,1.2690
108,1.2720
109,1.2840
110,1.2900
111,1.2800
112,1.2940
113,1.3070
114,1.2710
115,1.2810
116,1.2970
117,1.3020
118,1.2900
119,1.3030
120,1.3140
121,1.3200
122,1.3250
123,1.3330
124,1.3370
125,1.3570
126,1.3580
127,1.3530
128,1.3490
129,1.3400
130,1.3390
131,1.3190
132,1.3170
133,1.3330
134,1.3370
135,1.3570
136,1.3580
137,1.3530
138,1.3490
139,1.3400
140,1.3390
141,1.3190
142,1.3170
143,1.3340
144,1.3320
145,1.3190
146,1.3000
147,1.3030
148,1.3130
149,1.3440
150,1.3580
151,1.3640
152,1.3600
153,1.3730
154,1.3590
155,1.3610
156,1.3720
157,1.3620
158,1.3700
159,1.3370
160,1.3590
161,1.3450
162,1.3510
163,1.3600
164,1.3620
165,1.3740
166,1.3700
167,1.3850
168,1.4060
169,1.4260
170,1.4420
171,1.4590
172,1.4650
173,1.4570
174,1.4960
175,1.5040
176,1.5730
177,1.5560
178,1.6130
179,1.5420
180,1.5920
181,1.5850
182,1.5860
183,1.5900
184,1.6330
185,1.6520
186,1.6320
187,1.6220
188,1.6070
189,1.5800
190,1.5480
191,1.5870
192,1.6400
193,1.6420
194,1.6490
195,1.6900
196,1.7440
197,1.7330
198,1.7400
199,1.7070
200,1.7050
201,1.7010
202,1.7160
203,1.7120
204,1.7440
205,1.7580
206,1.6770
207,1.7270
208,1.7720
209,1.7770
210,1.7500
211,1.7780
212,1.7650
213,1.7120
214,1.7440
215,1.7580
216,1.6770
217,1.7270
218,1.7720
219,1.7770
220,1.7500
221,1.7780
222,1.7650
223,1.7690
224,1.7600
225,1.7380
226,1.7330
227,1.7640
228,1.7610
229,1.7640
230,1.7290
231,1.7130
232,1.7410
233,1.9240
234,1.9280
235,1.8980
236,1.9380
237,1.9770
238,1.9820
239,1.9680
240,2.0190
241,2.0950
242,2.1190
243,1.9240
244,1.9280
245,1.8980
246,1.9380
247,1.9770
248,1.9820
249,1.9680
250,2.0190
251,2.0950
252,2.1190
253,2.3270
254,2.3720
255,2.4240
256,2.4940
257,2.5050
258,2.4940
259,2.5370
260,2.5840
261,2.5660
262,2.4850
263,2.5090
264,2.5520
265,2.5020
266,2.5900
267,2.6500
268,2.6670
269,2.6820
270,2.7090
271,2.6340
272,2.6900
273,2.7290
274,2.7370
275,2.6430
276,2.6700
277,2.6330
278,2.7460
279,2.8930
280,2.9900
281,2.9890
282,2.9590
283,2.9630
284,3.0580
285,3.1370
286,3.2030
287,3.2700
288,3.2370
289,3.2560
290,3.3860
291,3.4370
292,3.2330
293,3.2640
294,3.4010
295,3.4840
296,3.4940
297,3.4910
298,3.5160
299,3.3920
300,3.4030
301,3.5200
302,3.5570
303,3.5750
304,3.4550
