data,广发沪深300指数证券投资基金(270010)
1,1.3790
2,1.4200
3,1.3987
4,1.3573
5,1.3716
6,1.3786
7,1.2949
8,1.2902
9,1.2554
10,1.2967
11,1.2773
12,1.3049
13,1.2999
14,1.3166
15,1.3075
16,1.2998
17,1.3395
18,1.3513
19,1.3473
20,1.3469
21,1.3757
22,1.3630
23,1.3715
24,1.2882
25,1.3009
26,1.2686
27,1.2920
28,1.3452
29,1.3486
30,1.3618
31,1.3671
32,1.3683
33,1.3526
34,1.3268
35,1.3291
36,1.3500
37,1.3540
38,1.3613
39,1.3762
40,1.3965
41,1.4294
42,1.4195
43,1.4239
44,1.4007
45,1.4078
46,1.3956
47,1.3807
48,1.4156
49,1.4169
50,1.4189
51,1.4372
52,1.4343
53,1.4142
54,1.4041
55,1.4230
56,1.4180
57,1.4355
58,1.4420
59,1.4404
60,1.4223
61,1.4263
62,1.4025
63,1.3935
64,1.4000
65,1.3947
66,1.4022
67,1.3971
68,1.3952
69,1.3938
70,1.4181
71,1.4166
72,1.4191
73,1.3844
74,1.3564
75,1.3578
76,1.3632
77,1.3661
78,1.3596
79,1.3686
80,1.3654
81,1.3572
82,1.3555
83,1.3624
84,1.3671
85,1.3578
86,1.3632
87,1.3661
88,1.3596
89,1.3686
90,1.3654
91,1.3572
92,1.3555
93,1.3624
94,1.3671
95,1.4104
96,1.4059
97,1.3648
98,1.3692
99,1.3872
100,1.3794
101,1.3871
102,1.3884
103,1.3859
104,1.3980
105,1.3922
106,1.3773
107,1.3959
108,1.4032
109,1.4100
110,1.4116
111,1.4126
112,1.4371
113,1.4420
114,1.4481
115,1.3922
116,1.3773
117,1.3959
118,1.4032
119,1.4100
120,1.4116
121,1.4126
122,1.4371
123,1.4420
124,1.4481
125,1.4756
126,1.4641
127,1.4666
128,1.4826
129,1.4617
130,1.4627
131,1.4567
132,1.4455
133,1.4505
134,1.4523
135,1.4543
136,1.4554
137,1.4665
138,1.4759
139,1.4711
140,1.4678
141,1.4918
142,1.5310
143,1.5237
144,1.5227
145,1.5198
146,1.5214
147,1.5097
148,1.5121
149,1.5082
150,1.5000
151,1.5001
152,1.5004
153,1.5025
154,1.5079
155,1.4979
156,1.5020
157,1.5040
158,1.5138
159,1.5131
160,1.5125
161,1.5039
162,1.4802
163,1.4794
164,1.4702
165,1.4809
166,1.4785
167,1.4821
168,1.4912
169,1.4856
170,1.4632
171,1.4716
172,1.4671
173,1.4728
174,1.4765
175,1.4934
176,1.4988
177,1.4959
178,1.4969
179,1.4983
180,1.4871
181,1.5055
182,1.5034
183,1.5046
184,1.5089
185,1.5231
186,1.5231
187,1.5179
188,1.5146
189,1.5128
190,1.5111
191,1.5200
192,1.5101
193,1.5236
194,1.5192
195,1.5205
196,1.5267
197,1.5180
198,1.5339
199,1.5458
200,1.5514
201,1.5506
202,1.5513
203,1.5541
204,1.5465
205,1.5561
206,1.5678
207,1.5707
208,1.5766
209,1.5901
210,1.5969
211,1.6086
212,1.5974
213,1.6080
214,1.5939
215,1.5691
216,1.5653
217,1.5722
218,1.5705
219,1.5804
220,1.5447
221,1.5430
222,1.5325
223,1.5155
224,1.5181
225,1.5111
226,1.5025
227,1.5154
228,1.5142
229,1.5024
230,1.5088
231,1.5063
232,1.5003
233,1.4990
234,1.5041
235,1.5039
236,1.5176
237,1.5286
238,1.5283
239,1.5206
240,1.5272
241,1.5249
242,1.5151
243,1.5079
244,1.5087
245,1.5080
246,1.5114
247,1.5174
248,1.5132
249,1.5240
250,1.5280
251,1.5283
252,1.5333
253,1.5385
254,1.5284
255,1.5317
256,1.5287
257,1.5363
258,1.5418
259,1.5493
260,1.5579
261,1.5577
262,1.5526
263,1.5601
264,1.5527
265,1.5737
266,1.5783
267,1.5813
268,1.5742
269,1.5745
270,1.5628
271,1.5656
272,1.5682
273,1.5586
