data,广发轮动配置混合型证券投资基金(000117)
1,1.0000
2,1.0010
3,1.0010
4,1.0020
5,1.0040
6,1.0040
7,1.0060
8,1.0070
9,1.0090
10,1.0090
11,1.0090
12,1.0090
13,1.0100
14,1.0100
15,1.0100
16,1.0100
17,1.0090
18,1.0100
19,1.0090
20,1.0090
21,1.0090
22,1.0100
23,1.0090
24,1.0070
25,1.0080
26,1.0080
27,1.0080
28,1.0080
29,1.0090
30,1.0120
31,1.0120
32,1.0090
33,1.0090
34,1.0070
35,1.0090
36,1.0130
37,1.0120
38,1.0120
39,1.0130
40,1.0170
41,1.0170
42,1.0130
43,1.0150
44,1.0180
45,1.0200
46,1.0170
47,1.0170
48,1.0270
49,1.0270
50,1.0210
51,1.0180
52,1.0210
53,1.0260
54,1.0340
55,1.0400
56,1.0320
57,1.0330
58,1.0360
59,1.0330
60,1.0180
61,1.0130
62,1.0200
63,1.0360
64,1.0210
65,1.0050
66,0.9990
67,0.9870
68,0.9940
69,0.9960
70,1.0030
71,0.9850
72,0.9810
73,0.9800
74,0.9950
75,0.9880
76,0.9750
77,0.9640
78,0.9710
79,0.9730
80,0.9660
81,0.9800
82,0.9900
83,1.0030
84,1.0030
85,1.0020
86,0.9960
87,0.9910
88,0.9910
89,0.9950
90,1.0170
91,1.0240
92,1.0360
93,0.9760
94,0.9810
95,0.9720
96,0.9440
97,0.9410
98,0.9570
99,0.9510
100,0.9530
101,0.9740
102,0.9750
103,0.9720
104,0.9630
105,0.9640
106,0.9650
107,0.9620
108,0.9650
109,0.9760
110,0.9950
111,0.9840
112,0.9940
113,0.9980
114,1.0000
115,1.0210
116,1.0350
117,1.0180
118,1.0410
119,1.0700
120,1.0540
121,1.0240
122,1.0320
123,1.0640
124,1.0790
125,1.0600
126,1.0570
127,1.0370
128,1.0620
129,1.0790
130,1.1040
131,1.1230
132,1.1110
133,1.1040
134,1.1300
135,1.1350
136,1.1580
137,1.1620
138,1.1420
139,1.1420
140,1.1060
141,1.1370
142,1.1680
143,1.1640
144,1.1720
145,1.1510
146,1.1460
147,1.1630
148,1.1160
149,1.1140
150,1.0630
151,1.0690
152,1.0890
153,1.0940
154,1.0990
155,1.0870
156,1.0820
157,1.0580
158,1.0480
159,1.0430
160,1.0660
161,1.0670
162,1.0920
163,1.0970
164,1.0860
165,1.0630
166,1.0600
167,1.0410
168,1.0330
169,1.0470
170,1.0250
171,0.9940
172,0.9950
173,1.0160
174,0.9960
175,0.9870
176,0.9990
177,0.9970
178,1.0130
179,1.0240
180,1.0120
181,1.0100
182,1.0070
183,1.0010
184,1.0030
185,1.0080
186,1.0010
187,0.9880
188,0.9760
189,0.9720
190,0.9540
191,0.9330
192,0.9410
193,0.9500
194,0.9670
195,0.9750
196,0.9560
197,0.9490
198,0.9330
199,0.9430
200,0.9350
201,0.9350
202,0.9200
203,0.9060
204,0.8950
205,0.9070
206,0.9140
207,0.9260
208,0.9370
209,0.9530
210,0.9430
211,0.9620
212,0.9510
213,0.9530
214,0.9550
215,0.9500
216,0.9660
217,0.9680
218,0.9460
219,0.9610
220,0.9700
221,0.9710
222,0.9890
223,0.9930
224,0.9770
225,0.9730
226,0.9470
227,0.9550
228,0.9710
229,0.9770
230,0.9760
231,0.9890
232,0.9870
233,1.0000
234,1.0070
235,1.0150
236,1.0230
237,1.0220
238,1.0060
239,1.0140
240,0.9960
241,0.9830
242,0.9730
243,0.9720
244,0.9610
245,0.9430
246,0.9420
247,0.9430
248,0.9430
249,0.9510
250,0.9260
251,0.9150
252,0.9250
253,0.9410
254,0.9550
255,0.9590
256,0.9620
257,0.9510
258,0.9550
259,0.9680
260,0.9750
261,0.9700
262,0.9750
263,0.9910
264,0.9920
265,0.9880
266,0.9830
267,0.9910
268,1.0100
269,1.0130
270,1.0090
271,1.0140
272,1.0190
273,1.0110
274,0.9900
275,0.9950
276,0.9920
277,1.0050
278,1.0210
279,1.0250
280,1.0280
281,1.0370
282,1.0360
283,1.0370
284,1.0440
285,1.0420
286,1.0510
287,1.0550
288,1.0260
289,1.0260
290,1.0360
291,1.0500
292,1.0380
293,1.0570
294,1.0710
295,1.0680
296,1.0670
297,1.0680
298,1.0800
299,1.0970
300,1.1000
301,1.0900
302,1.0870
303,1.0870
304,1.0920
305,1.0750
306,1.0450
307,1.0640
308,1.0560
309,1.0470
310,1.0330
311,1.0370
312,1.0500
313,1.0720
314,1.0840
315,1.0830
316,1.0760
317,1.0870
318,1.0800
319,1.0810
320,1.0890
321,1.0810
322,1.0810
323,1.0350
324,1.0510
325,1.0270
326,1.0270
327,1.0480
328,1.0540
329,1.0640
330,1.0650
331,1.0770
332,1.0910
333,1.1190
334,1.1310
335,1.1330
336,1.1420
337,1.1230
338,1.1320
339,1.1310
340,1.1590
341,1.1360
342,1.1280
343,1.0630
344,1.0690
345,1.0600
346,1.0900
347,1.1240
348,1.1410
349,1.1390
350,1.1180
351,1.0990
352,1.0510
353,1.0250
354,1.0300
355,1.0550
356,1.0600
357,1.0170
358,0.9980
359,1.0110
360,1.0180
361,1.0330
362,1.0330
363,1.0280
364,1.0280
365,1.0290
366,1.0460
367,1.0480
368,1.0580
369,1.0840
370,1.0550
371,1.0920
372,1.1130
373,1.1190
374,1.1010
375,1.1320
376,1.1430
377,1.1370
378,1.1320
379,1.1150
380,1.1270
381,1.1600
382,1.1660
383,1.1740
384,1.1440
385,1.1380
386,1.1620
387,1.1790
388,1.1790
389,1.1990
390,1.2350
391,1.2510
392,1.2280
393,1.2250
394,1.2500
395,1.2920
396,1.2950
397,1.3210
398,1.3170
399,1.2840
400,1.3270
401,1.3610
402,1.3690
403,1.3410
404,1.3870
405,1.4490
406,1.4560
407,1.4760
408,1.4810
409,1.5350
410,1.6170
411,1.6730
412,1.6790
413,1.6070
414,1.6180
415,1.5830
416,1.5980
417,1.6450
418,1.6810
419,1.6980
420,1.7240
421,1.7070
422,1.7010
423,1.7470
424,1.7930
425,1.7910
426,1.7170
427,1.7470
428,1.7290
429,1.6620
430,1.7340
431,1.8030
432,1.8280
433,1.8120
434,1.8310
435,1.7630
436,1.8130
437,1.8430
438,1.8390
439,1.7870
440,1.8400
441,1.8780
442,1.9830
443,2.1130
444,2.2130
445,2.2010
446,2.1360
447,2.1490
448,2.2420
449,2.2790
450,2.3250
451,2.3520
452,2.3100
453,2.2670
454,2.3460
455,2.2940
456,2.1720
457,2.2350
458,2.3550
459,2.4830
460,2.5390
461,2.4910
462,2.4850
463,2.3650
464,2.3490
465,2.4370
466,2.4660
467,2.4770
468,2.3590
469,2.2320
470,2.3170
471,2.2010
472,2.0860
473,2.1070
474,2.1220
475,1.9920
476,1.8260
477,1.6840
478,1.7290
479,1.6400
480,1.5370
481,1.4450
482,1.4040
483,1.3360
484,1.3000
485,1.3560
486,1.4130
487,1.4780
488,1.4860
489,1.4240
490,1.4530
491,1.5190
492,1.5390
493,1.5730
494,1.6240
495,1.6030
496,1.4910
497,1.4540
498,1.5150
499,1.4700
500,1.4450
501,1.4080
502,1.4880
503,1.4770
504,1.4790
505,1.5170
506,1.5820
507,1.5770
508,1.5410
509,1.5640
510,1.5710
511,1.5800
512,1.4790
513,1.5060
514,1.4630
515,1.3910
516,1.2940
517,1.2180
518,1.2230
519,1.2890
520,1.3580
521,1.3130
522,1.2490
523,1.2370
524,1.2510
525,1.3030
526,1.3400
527,1.3300
528,1.3340
529,1.2630
