data,建信内生动力股票型证券投资基金(530011)
1,1.0000
2,1.0000
3,1.0000
4,1.0000
5,1.0020
6,1.0010
7,1.0030
8,1.0030
9,1.0020
10,1.0010
11,0.9910
12,0.9920
13,0.9930
14,0.9920
15,0.9820
16,0.9590
17,0.9610
18,0.9720
19,0.9540
20,0.9590
21,0.9510
22,0.9490
23,0.9560
24,0.9630
25,0.9660
26,0.9710
27,0.9710
28,0.9620
29,0.9820
30,0.9880
31,1.0100
32,1.0080
33,1.0180
34,1.0170
35,1.0070
36,1.0210
37,0.9980
38,1.0030
39,1.0080
40,1.0090
41,1.0230
42,1.0280
43,1.0240
44,1.0150
45,1.0260
46,1.0380
47,1.0380
48,1.0400
49,1.0290
50,1.0240
51,1.0330
52,1.0180
53,1.0290
54,1.0130
55,1.0160
56,1.0110
57,1.0160
58,1.0260
59,1.0250
60,1.0310
61,1.0230
62,1.0110
63,1.0070
64,0.9990
65,1.0120
66,1.0110
67,1.0160
68,1.0280
69,1.0180
70,1.0140
71,1.0240
72,1.0210
73,1.0210
74,1.0220
75,1.0130
76,1.0170
77,1.0190
78,1.0150
79,1.0110
80,1.0060
81,0.9990
82,0.9820
83,0.9910
84,0.9970
85,0.9790
86,0.9820
87,0.9850
88,0.9860
89,0.9880
90,0.9880
91,0.9810
92,0.9830
93,0.9780
94,0.9780
95,0.9830
96,0.9810
97,0.9800
98,0.9550
99,0.9550
100,0.9440
101,0.9370
102,0.9310
103,0.9310
104,0.9400
105,0.9440
106,0.9340
107,0.9430
108,0.9470
109,0.9470
110,0.9340
111,0.9350
112,0.9320
113,0.9420
114,0.9360
115,0.9290
116,0.9230
117,0.9160
118,0.9250
119,0.9270
120,0.9400
121,0.9570
122,0.9600
123,0.9630
124,0.9530
125,0.9640
126,0.9670
127,0.9820
128,0.9810
129,0.9810
130,0.9830
131,0.9830
132,0.9870
133,0.9770
134,0.9890
135,0.9900
136,0.9950
137,0.9950
138,0.9870
139,0.9880
140,0.9810
141,0.9850
142,0.9630
143,0.9650
144,0.9740
145,0.9700
146,0.9660
147,0.9690
148,0.9630
149,0.9660
150,0.9690
151,0.9610
152,0.9410
153,0.9460
154,0.9560
155,0.9730
156,0.9760
157,0.9850
158,0.9780
159,0.9750
160,0.9620
161,0.9590
162,0.9450
163,0.9550
164,0.9570
165,0.9750
166,0.9750
167,0.9650
168,0.9600
169,0.9580
170,0.9530
171,0.9450
172,0.9310
173,0.9220
174,0.9370
175,0.9300
176,0.9240
177,0.9150
178,0.9180
179,0.9180
180,0.9200
181,0.9070
182,0.9070
183,0.9250
184,0.9050
185,0.8960
186,0.8800
187,0.8850
188,0.8760
189,0.8680
190,0.8670
191,0.8590
192,0.8560
193,0.8770
194,0.8830
195,0.8810
196,0.8890
197,0.8720
198,0.8660
199,0.8480
200,0.8450
201,0.8600
202,0.8750
203,0.8850
204,0.8880
205,0.9020
206,0.9030
207,0.9030
208,0.9170
209,0.9170
210,0.9180
211,0.9110
212,0.9040
213,0.9120
214,0.9030
215,0.9010
216,0.9170
217,0.9140
218,0.8950
219,0.8940
220,0.8810
221,0.8800
222,0.8810
223,0.8790
224,0.8820
225,0.8780
226,0.8780
227,0.8880
228,0.8690
229,0.8840
230,0.8760
231,0.8600
232,0.8610
233,0.8630
234,0.8620
235,0.8570
236,0.8490
237,0.8350
238,0.8290
239,0.8210
