data,建信新经济灵活配置混合型证券投资基金(001276)
1,0.8470
2,0.8410
3,0.8380
4,0.8330
5,0.8290
6,0.8440
7,0.8410
8,0.8360
9,0.8400
10,0.8550
11,0.9710
12,1.0290
13,1.0260
14,0.9220
15,0.8510
16,0.8600
17,0.7490
18,0.7310
19,0.8270
20,0.8900
21,0.8260
22,0.8120
23,0.7980
24,0.8280
25,0.8250
26,0.8300
27,0.8470
28,0.8750
29,0.8710
30,0.8490
31,0.8650
32,0.8650
33,0.8660
34,0.8170
35,0.8300
36,0.8100
37,0.7750
38,0.7290
39,0.6900
40,0.6950
41,0.7280
42,0.7560
43,0.7370
44,0.7070
45,0.7050
46,0.7090
47,0.7350
48,0.7580
49,0.7520
50,0.7550
51,0.7160
52,0.6880
53,0.7260
54,0.7220
55,0.7340
56,0.7570
57,0.7570
58,0.7560
59,0.7580
60,0.7420
61,0.7620
62,0.7570
63,0.7600
64,0.7810
65,0.7920
66,0.8160
67,0.8240
68,0.8150
69,0.8410
70,0.8480
71,0.8500
72,0.8640
73,0.8120
74,0.8350
75,0.8570
76,0.8690
77,0.8730
78,0.8570
79,0.8640
80,0.8660
81,0.8560
82,0.8570
83,0.8880
84,0.8890
85,0.9160
86,0.9290
87,0.9320
88,0.9480
89,0.8640
90,0.8660
91,0.8560
92,0.8570
93,0.8880
94,0.8890
95,0.9160
96,0.9290
97,0.9320
98,0.9480
99,0.9400
100,0.9200
101,0.9410
102,0.9270
103,0.9120
104,0.9420
105,0.9590
106,0.9370
107,0.9490
108,0.9750
109,0.9610
110,0.9140
111,0.9270
112,0.9140
113,0.8980
114,0.9180
115,0.9110
116,0.9190
117,0.9060
118,0.9080
119,0.9610
120,0.9140
121,0.9270
122,0.9140
123,0.8980
124,0.9180
125,0.9110
126,0.9190
127,0.9060
128,0.9080
129,0.9040
130,0.8940
131,0.9000
132,0.9030
133,0.9050
134,0.9280
135,0.9250
136,0.9250
137,0.9280
138,0.9110
139,0.9040
140,0.8940
141,0.9000
142,0.9030
143,0.9050
144,0.9280
145,0.9250
146,0.9250
147,0.9280
148,0.9110
149,0.9100
150,0.9140
151,0.9000
152,0.9090
153,0.9240
154,0.9060
155,0.8370
156,0.8300
157,0.8490
158,0.7790
159,0.7940
160,0.7490
161,0.7500
162,0.7240
163,0.7560
164,0.7310
165,0.7410
166,0.7670
167,0.7630
168,0.7290
169,0.7380
170,0.7450
171,0.6900
172,0.6750
173,0.6430
174,0.6660
175,0.6660
176,0.6900
177,0.6930
178,0.7040
179,0.7380
180,0.7450
181,0.6900
182,0.6750
183,0.6430
184,0.6660
185,0.6660
186,0.6900
187,0.6930
188,0.7040
189,0.6970
190,0.7000
191,0.7290
192,0.7390
193,0.7310
194,0.7410
195,0.7530
196,0.7460
197,0.7460
198,0.7090
199,0.6970
200,0.7000
201,0.7290
202,0.7390
203,0.7310
204,0.7410
205,0.7530
206,0.7460
207,0.7460
208,0.7090
209,0.7120
210,0.6910
211,0.6970
212,0.7120
213,0.7060
214,0.6970
215,0.7030
216,0.7030
217,0.6940
218,0.6900
219,0.7120
