data,新疆前海联合海盈货币市场基金(002248)
1,2.5980%
2,2.6550%
3,2.6620%
4,2.6660%
5,2.6930%
6,2.7080%
7,2.7120%
8,2.7150%
9,2.7190%
10,2.7190%
11,2.7180%
12,2.6980%
13,2.6740%
14,2.6620%
15,2.6530%
16,2.6430%
17,2.6250%
18,2.4840%
19,2.3960%
20,2.3050%
21,2.2380%
22,2.1260%
23,1.9370%
24,1.9410%
25,1.8530%
26,1.7890%
27,1.9630%
28,5.9180%
29,5.6300%
30,5.9050%
31,5.8740%
32,5.8320%
33,5.5190%
34,1.4760%
35,1.1060%
36,1.1240%
37,3.4100%
38,3.5300%
39,3.6980%
40,3.8470%
41,4.1500%
42,4.2820%
43,2.1200%
44,2.4430%
45,2.4230%
46,2.4240%
47,2.4250%
48,2.4270%
49,2.4130%
50,2.1130%
51,2.1110%
52,2.2410%
53,2.2320%
54,2.2640%
55,2.2850%
56,2.3060%
57,2.3200%
58,2.1980%
59,2.2250%
60,2.2000%
61,2.2090%
62,2.2070%
63,2.3840%
64,2.3890%
65,2.3980%
66,2.4110%
67,2.4300%
68,2.4480%
69,2.2950%
70,2.3140%
71,2.3530%
72,2.3710%
73,2.4730%
74,2.5510%
75,2.6750%
76,2.7790%
77,3.0770%
78,3.0670%
79,3.0780%
80,3.0110%
81,2.9710%
82,2.8910%
83,2.8450%
84,2.7950%
85,2.7590%
86,2.7420%
87,2.6310%
88,2.4510%
89,2.3830%
90,2.3360%
91,2.2650%
92,2.2120%
93,2.2490%
94,2.2910%
95,2.2990%
96,2.3020%
97,2.3220%
98,2.3430%
99,2.3520%
100,2.3520%
101,2.2530%
102,2.2470%
103,2.2350%
104,2.2340%
105,2.2320%
106,2.2730%
107,2.3720%
108,2.3720%
109,2.3750%
110,2.3770%
111,2.3930%
112,2.3530%
113,2.3560%
114,2.3600%
115,2.3610%
116,2.3620%
117,2.3590%
118,2.3630%
119,2.3630%
120,2.3670%
121,2.3740%
122,2.3810%
123,2.3770%
124,2.3960%
125,2.4070%
126,2.4200%
127,2.4280%
128,2.4510%
129,2.4690%
130,2.4630%
131,2.4660%
132,2.4670%
133,2.4810%
134,2.4880%
135,2.4960%
136,2.4960%
137,2.4930%
138,2.5000%
139,2.5290%
140,2.5310%
141,2.9740%
142,3.0010%
143,3.0260%
144,3.0410%
145,3.0570%
146,3.1700%
147,2.8060%
148,2.8350%
149,2.8300%
150,2.8100%
151,2.7680%
152,2.6280%
153,2.5540%
154,2.5090%
155,2.5550%
156,2.5750%
157,2.5820%
158,2.7710%
159,2.7730%
160,2.9510%
161,2.8600%
162,2.8860%
163,2.8660%
164,2.6940%
165,2.8740%
166,2.7010%
167,2.7390%
168,2.7470%
169,2.7540%
170,2.7950%
171,2.5940%
172,2.5640%
173,2.5460%
174,2.4730%
175,2.4410%
176,2.7700%
177,2.7750%
178,2.7800%
179,2.7800%
180,2.7870%
181,2.7980%
182,2.5620%
183,2.6540%
184,2.6520%
185,2.6460%
186,2.6450%
187,2.6500%
188,2.5140%
189,2.6240%
190,2.6210%
191,2.6350%
192,2.6310%
193,2.6320%
194,2.8200%
195,2.6510%
196,2.7110%
197,2.6990%
198,2.6900%
199,2.6780%
200,2.4880%
201,2.6470%
202,2.5930%
203,2.5900%
204,2.6470%
205,2.6640%
206,2.6720%
207,2.4790%
208,2.4880%
209,2.6150%
210,2.5800%
211,2.5930%
212,2.6270%
213,2.7870%
214,2.8080%
215,2.7760%
216,2.9100%
217,2.7990%
218,2.7970%
219,2.7880%
220,2.7910%
221,2.8420%
222,2.8100%
223,2.8210%
224,2.8440%
225,2.8380%
226,2.7040%
227,2.7040%
228,2.7030%
229,2.8210%
230,2.8230%
231,2.8360%
232,2.8100%
233,2.7940%
234,2.7810%
235,2.6580%
236,2.6450%
237,2.6770%
238,2.6810%
239,2.6830%
240,2.6740%
241,2.7480%
242,2.7480%
243,2.7510%
244,2.7560%
245,2.7580%
246,2.7930%
247,2.7540%
248,2.7870%
249,2.7240%
250,2.7090%
251,2.7090%
252,2.6860%
253,2.6970%
254,2.6620%
255,2.6600%
256,2.6580%
257,2.7730%
258,2.8200%
259,2.7720%
260,2.7780%
261,2.7870%
262,2.8060%
263,2.7250%
264,2.6760%
265,2.6680%
266,2.6970%
267,2.7040%
268,2.7160%
269,2.6910%
270,2.7060%
271,2.6470%
272,2.5970%
273,2.4870%
274,2.4670%
275,2.4900%
276,2.4380%
277,2.5000%
278,2.4030%
279,2.6080%
280,2.6160%
281,2.5070%
282,2.5360%
283,2.4580%
284,2.4190%
285,2.3280%
286,2.3470%
287,2.4370%
288,2.4970%
289,2.5620%
290,2.6710%
291,2.5980%
292,2.7590%
293,2.8000%
294,2.7660%
295,2.8500%
296,3.0340%
297,3.2120%
298,3.2320%
299,3.3110%
300,3.3860%
301,3.4420%
302,3.3990%
303,3.3620%
304,3.3180%
305,3.2810%
306,3.4480%
307,3.3730%
308,3.3740%
309,3.3920%
310,3.4080%
311,3.4250%
312,3.2750%
313,3.2960%
314,3.2570%
315,3.2560%
316,3.2780%
317,3.3150%
318,3.3200%
319,3.3520%
320,3.4080%
321,3.3580%
322,3.3580%
323,3.3570%
324,3.3630%
325,3.3570%
326,3.4640%
327,3.4590%
328,3.4580%
329,3.4510%
330,3.3960%
331,3.3860%
332,3.2150%
333,3.1750%
334,3.1510%
335,3.0730%
336,3.0780%
337,3.0770%
338,3.0920%
339,3.0900%
340,3.1560%
341,3.1720%
342,3.1890%
343,3.1460%
344,3.1450%
345,3.2980%
346,3.2150%
347,3.2040%
348,3.2890%
349,3.3100%
350,3.6010%
351,3.5270%
352,3.5770%
353,3.6320%
354,3.5520%
355,3.8900%
356,3.6460%
357,3.6190%
358,3.6220%
359,3.6740%
360,3.8770%
361,3.8570%
362,3.8800%
363,3.8980%
364,3.9330%
365,3.9830%
366,4.0670%
367,3.8420%
368,3.8850%
369,3.9780%
370,4.0300%
371,4.0320%
372,4.0150%
373,3.9440%
374,3.9630%
375,3.9920%
376,4.0270%
377,4.0460%
378,4.1220%
379,4.1780%
380,4.1580%
381,4.1240%
382,4.0970%
383,4.0840%
384,4.0530%
385,4.0350%
386,4.0160%
387,3.9860%
388,3.9590%
389,3.9360%
390,3.9450%
391,3.9520%
392,3.9600%
393,3.9850%
394,3.9910%
395,3.9770%
396,3.9780%
397,3.9750%
398,3.9690%
399,3.9710%
400,3.9730%
401,3.9770%
402,3.9830%
403,3.9890%
404,3.9980%
405,4.0090%
406,4.0130%
407,3.9770%
408,3.6030%
409,4.2980%
410,4.3820%
411,4.3850%
412,4.4280%
413,4.4880%
414,4.8250%
415,4.1660%
416,4.1410%
417,4.1490%
418,4.2180%
419,4.1370%
420,4.1350%
421,4.1490%
422,4.1650%
423,4.1850%
424,4.2060%
425,4.3070%
426,4.3710%
427,4.4020%
428,4.4250%
429,4.4420%
430,4.4490%
431,4.4620%
432,4.4870%
433,4.4940%
434,4.5070%
435,4.4800%
436,4.4930%
437,4.4700%
438,4.5110%
439,4.5360%
440,4.5840%
441,4.6640%
442,4.7440%
443,4.8130%
444,4.8630%
445,4.8870%
446,4.8030%
447,4.8050%
448,4.7230%
449,4.6110%
450,4.3760%
451,4.2860%
452,4.2970%
453,4.2310%
454,4.3120%
455,4.4630%
456,4.5480%
457,4.5490%
458,4.5280%
459,4.4910%
460,4.3660%
461,4.2430%
462,4.2190%
463,4.5180%
464,4.5090%
465,4.5150%
466,4.5210%
467,4.5250%
468,4.5510%
469,4.3710%
470,4.2580%
471,4.2890%
472,4.5700%
473,4.5690%
474,4.5400%
475,4.4120%
476,4.6340%
477,4.6140%
478,4.5560%
479,4.5500%
480,4.5440%
481,4.5420%
482,4.4370%
483,4.4110%
484,4.6580%
485,4.6820%
486,4.7340%
487,5.2040%
488,5.2100%
489,5.2520%
490,4.7980%
491,4.8020%
492,4.7930%
493,4.3660%
494,4.4000%
495,4.4260%
496,4.4510%
497,4.4720%
498,4.5350%
499,4.5390%
500,4.5460%
501,4.5420%
502,4.5310%
503,4.5310%
504,4.5300%
505,4.5340%
506,4.5500%
507,4.5530%
508,4.5630%
509,4.5490%
510,4.5200%
511,4.5110%
512,4.4950%
513,4.5070%
514,4.5110%
515,4.5200%
516,4.5090%
517,4.5160%
518,4.5240%
519,4.5450%
520,4.5380%
521,4.5370%
522,4.4970%
523,4.4970%
524,4.5020%
525,4.4840%
526,4.4740%
527,4.4610%
528,4.4380%
529,4.4230%
530,4.4090%
531,4.4070%
532,4.4030%
533,4.3800%
534,4.3770%
535,4.3690%
536,4.4550%
537,4.4560%
538,4.4500%
539,4.4690%
540,4.4620%
541,4.4530%
542,4.3620%
543,4.3710%
544,4.3860%
545,4.3800%
546,4.3690%
547,4.3750%
548,4.3690%
549,4.3540%
550,4.3330%
551,4.3350%
