data,易方达安心回报债券型证券投资基金A类(110027)
1,1.0000
2,1.0010
3,1.0010
4,1.0030
5,1.0060
6,1.0000
7,1.0000
8,1.0000
9,0.9990
10,0.9970
11,0.9970
12,0.9980
13,0.9980
14,0.9950
15,0.9970
16,0.9980
17,1.0030
18,1.0040
19,1.0060
20,1.0060
21,1.0060
22,1.0040
23,1.0020
24,0.9990
25,1.0000
26,1.0010
27,1.0030
28,1.0030
29,0.9970
30,0.9920
31,0.9900
32,0.9880
33,0.9850
34,0.9830
35,0.9820
36,0.9830
37,0.9820
38,0.9810
39,0.9810
40,0.9820
41,0.9820
42,0.9810
43,0.9800
44,0.9800
45,0.9820
46,0.9800
47,0.9800
48,0.9820
49,0.9820
50,0.9820
51,0.9800
52,0.9810
53,0.9820
54,0.9830
55,0.9850
56,0.9850
57,0.9860
58,0.9890
59,0.9890
60,0.9820
61,0.9800
62,0.9810
63,0.9820
64,0.9830
65,0.9850
66,0.9850
67,0.9860
68,0.9890
69,0.9890
70,1.0220
71,1.0200
72,1.0220
73,1.0180
74,1.0170
75,1.0210
76,1.0150
77,1.0110
78,1.0180
79,1.0200
80,1.0120
81,1.0100
82,1.0040
83,1.0040
84,1.0050
85,1.0040
86,1.0050
87,1.0040
88,1.0050
89,1.0080
90,0.9970
91,1.0050
92,1.0010
93,0.9980
94,1.0010
95,1.0030
96,1.0020
97,1.0020
98,1.0010
99,0.9960
100,0.9950
101,0.9940
102,1.0030
103,1.0040
104,1.0040
105,1.0000
106,1.0010
107,1.0010
108,1.0000
109,0.9980
110,0.9990
111,1.0000
112,1.0070
113,1.0070
114,1.0050
115,1.0030
116,1.0030
117,1.0120
118,1.0200
119,1.0200
120,1.0230
121,1.0150
122,1.0120
123,1.0210
124,1.0160
125,1.0220
126,1.0300
127,1.0240
128,1.0230
129,1.0200
130,1.0250
131,1.0250
132,1.0240
133,1.0190
134,1.0230
135,1.0220
136,1.0210
137,1.0220
138,1.0220
139,1.0230
140,1.0220
141,1.0200
142,1.0220
143,1.0230
144,1.0260
145,1.0260
146,1.0280
147,1.0290
148,1.0290
149,1.0250
150,1.0260
151,1.0330
152,1.0310
153,1.0280
154,1.0270
155,1.0290
156,1.0430
157,1.0390
158,1.0400
159,1.0300
160,1.0240
161,1.0300
162,1.0290
163,1.0240
164,1.0230
165,1.0240
166,1.0220
167,1.0200
168,1.0200
169,1.0170
170,1.0170
171,1.0210
172,1.0250
173,1.0260
174,1.0230
175,1.0280
176,1.0280
177,1.0310
178,1.0330
179,1.0350
180,1.0320
181,1.0370
182,1.0390
183,1.0420
184,1.0380
185,1.0380
186,1.0400
187,1.0380
188,1.0400
189,1.0430
190,1.0420
191,1.0440
192,1.0450
193,1.0440
194,1.0410
195,1.0420
196,1.0420
197,1.0460
198,1.0490
199,1.0490
200,1.0510
201,1.0530
202,1.0540
203,1.0600
204,1.0600
205,1.0600
206,1.0580
207,1.0660
208,1.0710
209,1.0710
210,1.0710
211,1.0700
212,1.0640
213,1.0640
214,1.0650
215,1.0660
216,1.0700
217,1.0790
218,1.0790
219,1.0830
220,1.0810
221,1.0810
222,1.0840
223,1.0780
224,1.0760
225,1.0750
226,1.0690
227,1.0700
228,1.0720
229,1.0680
230,1.0750
231,1.0750
232,1.0760
233,1.0780
234,1.0760
235,1.0740
236,1.0840
237,1.0810
238,1.0770
239,1.0770
240,1.0820
241,1.0800
242,1.0740
243,1.0750
244,1.0710
245,1.0720
246,1.0700
247,1.0690
248,1.0710
249,1.0700
250,1.0660
251,1.0640
252,1.0600
253,1.0610
254,1.0640
255,1.0560
256,1.0580
257,1.0600
258,1.0590
259,1.0580
260,1.0610
261,1.0600
262,1.0570
263,1.0570
264,1.0570
265,1.0560
266,1.0530
267,1.0510
268,1.0520
269,1.0500
270,1.0490
271,1.0460
272,1.0390
273,1.0380
274,1.0360
275,1.0340
276,1.0340
277,1.0370
278,1.0350
279,1.0360
280,1.0350
281,1.0400
282,1.0390
283,1.0370
284,1.0350
285,1.0320
286,1.0300
287,1.0250
288,1.0230
289,1.0190
290,1.0190
291,1.0180
292,1.0170
293,1.0180
294,1.0170
295,1.0200
296,1.0250
297,1.0250
298,1.0340
299,1.0370
300,1.0360
301,1.0370
302,1.0360
303,1.0360
304,1.0360
305,1.0430
306,1.0450
307,1.0450
308,1.0410
309,1.0420
310,1.0380
311,1.0330
312,1.0330
313,1.0350
314,1.0380
315,1.0430
316,1.0450
317,1.0410
318,1.0380
319,1.0390
320,1.0330
321,1.0340
322,1.0370
323,1.0340
324,1.0330
325,1.0320
326,1.0320
327,1.0330
328,1.0350
329,1.0350
330,1.0390
331,1.0410
332,1.0400
333,1.0370
334,1.0320
335,1.0320
336,1.0370
337,1.0360
338,1.0400
339,1.0480
340,1.0490
341,1.0530
342,1.0570
343,1.0540
344,1.0550
345,1.0540
346,1.0690
347,1.0700
348,1.0670
349,1.0680
350,1.0720
351,1.0730
352,1.0750
353,1.0890
354,1.0920
355,1.0910
356,1.0960
357,1.1020
358,1.1030
359,1.1060
360,1.1070
361,1.1080
362,1.1150
363,1.1080
364,1.1280
365,1.1360
366,1.1370
367,1.0990
368,1.1070
369,1.1080
370,1.1030
371,1.1040
372,1.1000
373,1.0950
374,1.1080
375,1.1100
376,1.1140
377,1.1170
378,1.1220
379,1.1230
380,1.1250
381,1.1260
382,1.1310
383,1.1380
384,1.1370
385,1.1270
386,1.1340
387,1.1210
388,1.1170
389,1.1190
390,1.1130
391,1.1150
392,1.1250
393,1.1290
394,1.1110
395,1.1170
396,1.1240
397,1.1190
398,1.1170
399,1.1160
400,1.1100
401,1.1050
402,1.1080
403,1.1080
404,1.1070
405,1.1050
406,1.1130
407,1.1180
408,1.1210
409,1.1190
410,1.1190
411,1.1190
412,1.1120
413,1.1120
414,1.1140
415,1.1080
416,1.1060
417,1.1100
418,1.1130
419,1.1130
420,1.1150
421,1.1160
422,1.1140
423,1.1170
424,1.1170
425,1.1170
426,1.1200
427,1.1170
428,1.1090
429,1.1140
430,1.1120
431,1.1130
432,1.1160
433,1.1190
434,1.1210
435,1.1230
436,1.1250
437,1.1240
438,1.1240
439,1.1220
440,1.1180
441,1.1230
442,1.1300
443,1.1360
444,1.1420
445,1.1420
446,1.1410
447,1.1380
448,1.1400
449,1.1410
450,1.1470
451,1.1490
452,1.1470
453,1.1420
454,1.1410
455,1.1360
456,1.1380
457,1.1340
458,1.1290
459,1.1180
460,1.1210
461,1.1220
462,1.1250
463,1.1210
464,1.1080
465,1.1070
466,1.1000
467,1.1030
468,1.1120
469,1.1110
470,1.1130
471,1.1130
472,1.1180
473,1.1210
474,1.1210
475,1.1210
476,1.1200
477,1.1170
478,1.1170
479,1.1180
480,1.1230
481,1.1210
482,1.1230
483,1.1220
484,1.1180
485,1.1140
486,1.1120
487,1.1110
488,1.1100
489,1.1100
490,1.1120
491,1.1120
492,1.1090
493,1.1100
494,1.1110
495,1.1130
496,1.1140
497,1.1150
498,1.1160
499,1.1150
500,1.1140
501,1.1130
502,1.1130
503,1.1130
504,1.1110
505,1.1080
506,1.1060
507,1.1090
508,1.1060
509,1.1060
510,1.1070
511,1.1080
512,1.1120
513,1.1150
514,1.1130
515,1.1130
516,1.1100
517,1.1130
518,1.1160
519,1.1150
520,1.1180
521,1.1180
522,1.1220
523,1.1230
524,1.1190
525,1.1210
526,1.1210
527,1.1230
528,1.1150
