data,易方达平稳增长证券投资基金(110001)
1,1.0000
2,0.9990
3,0.9980
4,0.9980
5,0.9980
6,0.9980
7,0.9980
8,0.9970
9,0.9970
10,0.9970
11,0.9980
12,0.9970
13,0.9970
14,0.9960
15,0.9970
16,0.9960
17,0.9960
18,0.9930
19,0.9930
20,0.9920
21,0.9920
22,0.9930
23,0.9920
24,0.9930
25,0.9910
26,0.9920
27,0.9920
28,0.9950
29,0.9950
30,0.9940
31,0.9920
32,0.9900
33,0.9910
34,0.9910
35,0.9910
36,0.9920
37,0.9940
38,0.9970
39,0.9960
40,0.9960
41,0.9930
42,0.9910
43,0.9910
44,0.9910
45,0.9880
46,0.9890
47,0.9870
48,0.9880
49,0.9850
50,0.9810
51,0.9820
52,0.9820
53,0.9780
54,0.9800
55,0.9850
56,0.9860
57,0.9810
58,0.9830
59,0.9840
60,0.9830
61,0.9830
62,0.9820
63,0.9800
64,0.9800
65,0.9800
66,0.9820
67,0.9830
68,0.9840
69,0.9840
70,0.9840
71,0.9860
72,0.9870
73,0.9870
74,0.9850
75,0.9790
76,0.9790
77,0.9760
78,0.9750
79,0.9660
80,0.9650
81,0.9670
82,0.9660
83,0.9760
84,0.9800
85,0.9780
86,0.9780
87,0.9990
88,0.9990
89,1.0060
90,1.0030
91,1.0040
92,0.9970
93,0.9960
94,0.9940
95,1.0030
96,1.0090
97,1.0100
98,1.0110
99,1.0030
100,1.0070
101,1.0120
102,1.0090
103,1.0100
104,1.0040
105,1.0030
106,1.0090
107,1.0090
108,0.9980
109,1.0000
110,1.0100
111,1.0120
112,1.0130
113,1.0120
114,1.0180
115,1.0180
116,1.0160
117,1.0100
118,1.0080
119,0.9990
120,0.9980
121,1.0010
122,0.9980
123,0.9990
124,1.0020
125,1.0000
126,1.0040
127,1.0050
128,1.0080
129,1.0090
130,1.0040
131,1.0040
132,1.0190
133,1.0200
134,1.0310
135,1.0340
136,1.0340
137,1.0300
138,1.0350
139,1.0360
140,1.0390
141,1.0520
142,1.0560
143,1.0710
144,1.0840
145,1.0940
146,1.0850
147,1.0870
148,1.0830
149,1.0650
150,1.0640
151,1.0520
152,1.0310
153,1.0260
154,1.0650
155,1.0540
156,1.0640
157,1.0750
158,1.0540
159,1.0510
160,1.0650
161,1.0680
162,1.0660
163,1.0550
164,1.0540
165,1.0620
166,1.0720
167,1.0750
168,1.0730
169,1.0630
170,1.0690
171,1.0740
172,1.0750
173,1.0690
174,1.0730
175,1.0630
176,1.0560
177,1.0490
178,1.0510
179,1.0650
180,1.0640
181,1.0660
182,1.0600
183,1.0580
184,1.0560
185,1.0480
186,1.0430
187,1.0370
188,1.0370
189,1.0330
190,1.0380
191,1.0330
192,1.0130
193,1.0130
194,1.0180
195,1.0220
196,1.0220
197,1.0240
198,1.0270
199,1.0240
200,1.0400
201,1.0370
202,1.0380
203,1.0400
204,1.0440
205,1.0540
206,1.0380
207,1.0370
208,1.0360
209,1.0360
210,1.0310
211,1.0240
212,1.0220
213,1.0280
214,1.0310
215,1.0300
216,1.0330
217,1.0380
218,1.0370
219,1.0320
220,1.0330
221,1.0250
222,1.0260
223,1.0280
224,1.0200
225,1.0140
226,1.0110
227,1.0110
228,1.0140
229,1.0110
230,1.0110
231,1.0100
232,1.0050
233,1.0050
234,1.0040
235,1.0010
236,1.0040
237,1.0160
238,1.0140
239,1.0110
240,1.0090
241,1.0020
242,0.9990
243,0.9920
244,0.9940
245,0.9970
246,0.9920
247,0.9870
248,0.9880
249,0.9820
250,0.9830
251,0.9840
252,0.9770
253,0.9800
254,0.9800
255,0.9740
256,0.9740
257,0.9710
258,0.9760
259,0.9790
260,0.9790
261,0.9910
262,0.9910
263,0.9880
264,0.9850
265,0.9800
266,0.9830
267,0.9800
268,0.9820
269,0.9980
270,0.9940
271,0.9960
272,0.9940
273,1.0030
274,1.0070
275,1.0040
276,1.0060
277,1.0160
278,1.0330
279,1.0330
280,1.0270
281,1.0120
282,1.0180
283,1.0160
284,1.0030
285,1.0030
286,1.0090
287,1.0050
288,0.9980
289,1.0040
290,1.0150
291,1.0120
292,1.0300
293,1.0300
294,1.0320
295,1.0250
296,1.0310
297,1.0500
298,1.0520
299,1.0610
300,1.0640
301,1.0640
302,1.0600
303,1.0660
304,1.0830
305,1.0850
306,1.0830
307,1.0820
308,1.0820
309,1.0750
310,1.0850
311,1.0940
312,1.0990
313,1.1090
314,1.1210
315,1.1240
316,1.1240
317,1.1080
318,1.1170
319,1.1110
320,1.1230
321,1.1590
322,1.1650
323,1.1740
324,1.1850
325,1.1700
326,1.1950
327,1.1900
328,1.1820
329,1.1810
330,1.1870
331,1.1960
332,1.1700
333,1.1870
334,1.1910
335,1.2080
336,1.2080
337,1.2010
338,1.2090
339,1.2020
340,1.1910
341,1.1750
342,1.1850
343,1.2040
344,1.2120
345,1.2150
346,1.2100
347,1.2080
348,1.1790
349,1.1800
350,1.1660
351,1.1770
352,1.1880
353,1.1950
354,1.1940
355,1.1840
356,1.1830
357,1.1840
358,1.1760
359,1.1770
360,1.1990
361,1.2070
362,1.2120
363,1.2390
364,1.2420
365,1.2450
366,1.2300
367,1.2450
368,1.2470
369,1.2350
370,1.2420
371,1.2410
372,1.2480
373,1.2430
374,1.2430
375,1.2500
376,1.2660
377,1.2790
378,1.2830
379,1.2880
380,1.2860
381,1.2970
382,1.2710
383,1.2670
384,1.2550
385,1.2450
386,1.2390
387,1.2560
388,1.2410
389,1.2370
390,1.2310
391,1.2290
392,1.2210
393,1.2330
394,1.2290
395,1.2120
396,1.1870
397,1.2020
398,1.1800
399,1.1840
400,1.1990
401,1.1960
402,1.1850
403,1.1720
404,1.1650
405,1.1680
406,1.1630
407,1.1670
408,1.1680
409,1.1570
410,1.1670
411,1.1830
412,1.1790
413,1.1820
414,1.1970
415,1.1920
416,1.1820
417,1.1800
418,1.1450
419,1.1400
420,1.1300
421,1.1290
422,1.1300
423,1.1180
424,1.1260
425,1.1330
426,1.1210
427,1.1060
428,1.1040
429,1.1170
430,1.1130
431,1.1110
432,1.1030
433,1.0970
434,1.1070
435,1.1100
436,1.1300
437,1.1350
438,1.1370
439,1.1410
440,1.1370
441,1.1370
442,1.1360
443,1.1230
444,1.1270
445,1.1380
446,1.1590
447,1.1730
448,1.1800
449,1.1780
450,1.1780
451,1.1590
452,1.1610
453,1.1550
454,1.1520
455,1.1580
456,1.1650
457,1.1570
458,1.1510
459,1.1390
460,1.1600
461,1.1490
462,1.1470
463,1.1520
464,1.1560
465,1.1490
466,1.1450
467,1.1530
468,1.1490
469,1.1520
470,1.1540
471,1.1500
472,1.1490
473,1.1370
474,1.1370
475,1.1350
476,1.1360
477,1.1230
478,1.1210
479,1.1320
480,1.1190
481,1.1190
482,1.1180
483,1.1150
484,1.1170
485,1.1110
486,1.1020
487,1.1050
488,1.0970
489,1.1150
490,1.1400
491,1.1460
492,1.1710
493,1.1920
494,1.1890
495,1.1550
496,1.1920
497,1.1850
498,1.1860
499,1.1960
500,1.1900
501,1.1900
502,1.2120
503,1.2060
504,1.1850
505,1.1880
506,1.1720
507,1.1770
508,1.1730
509,1.1750
510,1.1810
511,1.1820
512,1.2010
513,1.1930
514,1.2040
515,1.2030
516,1.1960
517,1.1880
518,1.1840
519,1.1850
520,1.1910
521,1.1710
522,1.1710
523,1.1770
524,1.1790
525,1.2020
526,1.1930
527,1.1930
528,1.1950
529,1.1980
530,1.1950
531,1.1990
532,1.1620
533,1.1580
534,1.1480
535,1.1480
536,1.1470
537,1.1460
538,1.1390
539,1.1390
540,1.1360
541,1.1310
542,1.1290
543,1.1270
544,1.1480
545,1.1480
546,1.1470
547,1.1460
548,1.1390
549,1.1390
550,1.1360
551,1.1310
552,1.1290
553,1.1270
554,1.1090
555,1.1210
556,1.1140
557,1.1160
558,1.1140
559,1.1190
560,1.1180
561,1.1150
562,1.1170
563,1.1030
564,1.1100
565,1.1030
566,1.0990
567,1.1060
568,1.1070
569,1.1090
570,1.1100
571,1.1070
572,1.0970
573,1.0970
574,1.0900
575,1.0850
576,1.0990
577,1.1120
578,1.1160
579,1.1160
580,1.1100
581,1.1090
582,1.1100
583,1.1130
584,1.1450
585,1.1410
586,1.1580
587,1.1580
588,1.1480
589,1.1430
590,1.1580
591,1.1730
592,1.1690
593,1.1630
594,1.1650
595,1.1590
596,1.1570
597,1.1500
598,1.1530
599,1.1540
600,1.1620
601,1.1760
602,1.1760
603,1.1680
604,1.1790
605,1.1990
606,1.1850
607,1.1780
608,1.1750
609,1.1640
610,1.1690
611,1.1800
612,1.1700
613,1.1620
614,1.1620
615,1.1690
616,1.1650
617,1.1540
618,1.1580
619,1.1850
620,1.1820
621,1.1840
622,1.2060
623,1.2030
624,1.1620
625,1.1690
626,1.1650
627,1.1540
628,1.1580
629,1.1850
630,1.1820
631,1.1840
632,1.2060
633,1.2030
634,1.1760
635,1.1580
636,1.1590
637,1.1550
638,1.1650
639,1.1590
640,1.1450
641,1.1370
642,1.1200
643,1.1010
644,1.0990
645,1.0860
646,1.0890
647,1.0860
648,1.0880
649,1.0910
650,1.0780
651,1.0700
652,1.0720
653,1.0630
654,1.0490
655,1.0520
656,1.0560
657,1.0400
658,1.0130
659,1.0190
660,1.0460
661,1.0420
662,1.0980
663,1.0990
664,1.0810
665,1.0750
666,1.0710
667,1.0660
668,1.0810
669,1.0830
670,1.1060
671,1.1030
672,1.1080
673,1.1050
674,1.1060
675,1.0860
676,1.0790
677,1.0760
678,1.0690
679,1.0590
680,1.0590
681,1.0580
682,1.0460
683,1.0470
684,1.0450
685,1.0430
686,1.0590
687,1.0540
688,1.0600
689,1.0590
690,1.0550
691,1.0550
692,1.0630
693,1.0630
694,1.0720
695,1.0670
696,1.0780
697,1.0930
698,1.0920
699,1.0890
700,1.0900
701,1.0970
702,1.1010
703,1.0990
704,1.1130
705,1.1080
706,1.1050
707,1.1080
708,1.1290
709,1.1170
710,1.1370
711,1.1220
712,1.1250
713,1.1070
714,1.1070
715,1.1160
716,1.1130
717,1.1140
718,1.1110
719,1.1080
720,1.1030
721,1.1040
722,1.1110
723,1.1220
724,1.1220
725,1.1220
726,1.1150
727,1.1270
728,1.1320
729,1.1290
730,1.1300
731,1.1420
732,1.1440
733,1.1410
734,1.1360
735,1.1350
736,1.1320
737,1.1190
738,1.1100
739,1.1090
740,1.1130
741,1.1040
742,1.1040
743,1.1110
744,1.1140
745,1.1130
746,1.1190
747,1.1210
748,1.1180
749,1.1100
750,1.1070
751,1.1060
752,1.1030
753,1.1040
754,1.1050
755,1.1080
756,1.1000
757,1.0910
758,1.0950
759,1.0880
760,1.0730
761,1.0680
762,1.0700
763,1.0620
764,1.0640
765,1.0590
766,1.0600
767,1.0640
768,1.0550
769,1.0550
770,1.0510
771,1.0430
772,1.0450
773,1.0460
774,1.0570
775,1.0620
776,1.0550
777,1.0590
778,1.0610
779,1.0640
780,1.0600
781,1.0540
782,1.0530
783,1.0480
784,1.0450
785,1.0370
786,1.0430
787,1.0480
788,1.0490
789,1.0620
790,1.0590
791,1.0560
792,1.0660
793,1.0700
794,1.0780
795,1.0770
796,1.0800
797,1.0780
798,1.0860
799,1.0930
800,1.0960
801,1.0950
802,1.0980
803,1.1150
804,1.1070
805,1.1070
806,1.1270
807,1.1440
808,1.1570
809,1.1590
810,1.1620
811,1.1590
812,1.1630
813,1.1600
814,1.1460
815,1.1440
816,1.1520
817,1.1560
818,1.1570
819,1.1500
820,1.1600
821,1.1730
822,1.1940
823,1.1890
824,1.1870
825,1.1780
826,1.1890
827,1.2020
828,1.2140
829,1.2130
830,1.1950
831,1.1950
832,1.1900
833,1.2000
834,1.2020
835,1.2010
836,1.2080
837,1.2190
838,1.2270
839,1.2380
840,1.2240
841,1.2270
842,1.2220
843,1.1990
844,1.2020
845,1.2000
846,1.2010
847,1.2140
848,1.2130
849,1.2240
850,1.2270
851,1.2240
852,1.2340
853,1.2430
854,1.2590
855,1.2600
856,1.2540
857,1.2630
858,1.2760
859,1.2820
860,1.2760
861,1.2870
862,1.3100
863,1.3200
864,1.3280
865,1.3330
866,1.3280
867,1.3420
868,1.3450
869,1.3340
870,1.3010
871,1.3180
872,1.3270
873,1.3380
874,1.3580
875,1.3560
876,1.3750
877,1.3750
878,1.3920
879,1.4170
880,1.4160
881,1.4430
882,1.4700
883,1.4900
884,1.4940
885,1.4860
886,1.5230
887,1.5800
888,1.5710
889,1.5610
890,1.5720
891,1.6140
892,1.5970
893,1.5450
894,1.5360
895,1.5550
896,1.5820
897,1.6140
898,1.6520
899,1.6590
900,1.6990
901,1.6750
902,1.6720
903,1.6500
904,1.5860
905,1.5950
906,1.5950
907,1.6290
908,1.6280
909,1.6210
910,1.6190
911,1.6390
912,1.6630
913,1.6120
914,1.6000
915,1.5890
916,1.5940
917,1.6100
918,1.6190
919,1.6020
920,1.6170
921,1.6140
922,1.6180
923,1.6190
924,1.6100
925,1.6250
926,1.6060
927,1.6020
928,1.6060
929,1.5990
930,1.5650
931,1.5690
932,1.5760
933,1.5690
934,1.5520
935,1.5570
936,1.5720
937,1.5790
938,1.5870
939,1.5790
940,1.5640
941,1.5540
942,1.5110
943,1.4960
944,1.4850
945,1.4700
946,1.4530
947,1.4490
948,1.4650
949,1.4670
950,1.4760
951,1.4880
952,1.4720
953,1.4820
954,1.4980
955,1.4850
956,1.4770
957,1.4810
958,1.4990
959,1.4960
960,1.5020
961,1.5110
962,1.5340
963,1.5550
964,1.5560
965,1.5560
966,1.5400
967,1.5570
968,1.5540
969,1.5510
970,1.5400
971,1.5400
972,1.5450
973,1.5520
974,1.5430
975,1.5520
976,1.5650
977,1.5670
978,1.5690
979,1.5780
980,1.5860
981,1.5950
982,1.6030
983,1.5880
984,1.5930
985,1.6050
986,1.6090
987,1.6390
988,1.6310
989,1.6210
990,1.5990
991,1.6030
992,1.5800
993,1.5830
994,1.6070
995,1.6110
996,1.6110
997,1.5960
998,1.6150
999,1.6380
1000,1.6450
1001,1.6340
1002,1.6210
1003,1.6290
1004,1.6270
1005,1.6250
1006,1.6370
1007,1.6420
1008,1.6490
1009,1.6540
1010,1.6740
1011,1.6620
1012,1.6440
1013,1.6590
1014,1.6750
1015,1.6860
1016,1.7060
1017,1.7170
1018,1.7200
1019,1.7650
1020,1.7590
1021,1.7720
1022,1.7690
1023,1.7780
1024,1.7890
1025,1.8050
1026,1.8210
1027,1.8250
1028,1.0090
1029,1.0030
1030,1.0030
1031,1.0000
1032,1.0040
1033,1.0050
1034,1.0070
1035,1.0100
1036,1.0150
1037,1.0280
1038,1.0270
1039,1.0310
1040,1.0260
1041,1.0300
1042,1.0410
1043,1.0460
1044,1.0570
1045,1.0530
1046,1.0660
1047,1.0660
1048,1.0720
1049,1.0690
1050,1.0820
1051,1.1120
1052,1.1260
1053,1.1160
1054,1.1040
1055,1.1340
1056,1.1550
1057,1.1440
1058,1.1490
1059,1.1770
1060,1.2090
1061,1.2040
1062,1.2150
1063,1.1890
1064,1.2110
1065,1.2200
1066,1.2180
1067,1.1630
1068,1.1720
1069,1.1400
1070,1.1360
1071,1.1430
1072,1.1610
1073,1.1770
1074,1.1750
1075,1.2030
1076,1.2170
1077,1.2320
1078,1.2540
1079,1.2500
1080,1.2460
1081,1.1630
1082,1.1810
1083,1.1600
1084,1.1700
1085,1.1630
1086,1.1780
1087,1.2010
1088,1.2110
1089,1.2050
1090,1.2070
1091,1.2110
1092,1.1940
1093,1.2130
1094,1.2020
1095,1.2110
1096,1.2110
1097,1.2200
1098,1.2230
1099,1.2260
1100,1.2430
1101,1.2440
1102,1.2430
1103,1.2390
1104,1.2360
1105,1.2550
1106,1.2690
1107,1.2750
1108,1.2820
1109,1.2940
1110,1.3190
1111,1.3290
1112,1.3360
1113,1.3490
1114,1.3520
1115,1.3800
1116,1.3840
1117,1.3950
1118,1.3530
1119,1.3910
1120,1.4240
1121,1.4280
1122,1.4200
1123,1.4340
1124,1.4230
1125,1.4420
1126,1.4680
1127,1.4690
1128,1.4710
1129,1.4700
1130,1.4860
1131,1.4610
1132,1.4900
1133,1.5160
1134,1.5230
1135,1.5410
1136,1.5460
1137,1.5620
1138,1.5530
1139,1.5680
1140,1.6000
1141,1.6300
1142,1.5510
1143,1.5750
1144,1.5330
1145,1.4600
1146,1.4920
1147,1.5090
1148,1.5430
1149,1.5520
1150,1.5830
1151,1.6100
1152,1.6340
1153,1.6250
1154,1.6270
1155,1.6600
1156,1.6630
1157,1.6420
1158,1.6550
1159,1.6190
1160,1.5850
1161,1.5890
1162,1.6240
1163,1.5770
1164,1.5700
1165,1.5630
1166,1.5810
1167,1.5610
1168,1.5090
1169,1.5500
1170,1.5820
1171,1.5660
1172,1.5680
1173,1.5770
1174,1.5770
1175,1.5510
1176,1.5770
1177,1.5880
1178,1.5880
1179,1.6390
1180,1.6850
1181,1.6860
1182,1.7070
1183,1.7120
1184,1.7150
1185,1.7450
1186,1.7630
1187,1.7310
1188,1.7780
1189,1.8250
1190,1.8590
1191,1.8680
