data,景顺长城低碳科技主题灵活配置混合型证券投资基金(002244)
1,1.0000
2,1.0610
3,1.1000
4,1.0940
5,1.1040
6,1.1040
7,1.0420
8,1.0290
9,1.0360
10,1.0220
11,1.0350
12,1.0360
13,1.0260
14,1.0220
15,1.0550
16,1.0530
17,1.0600
18,1.0170
19,0.9650
20,0.9610
21,0.9520
22,0.9590
23,0.9550
24,0.9720
25,0.9750
26,0.9470
27,0.9580
28,0.9820
29,0.9990
30,0.9870
31,0.9790
32,0.9910
33,0.9860
34,0.9920
35,1.0470
36,1.0620
37,1.0730
38,1.0710
39,1.0760
40,1.0780
41,1.0740
42,1.0160
43,1.0150
44,1.0630
45,1.0830
46,1.0850
47,1.1090
48,1.1010
49,1.1390
50,1.1300
51,1.1150
52,1.1550
53,1.1760
54,1.1760
55,1.1780
56,1.1630
57,1.1820
58,1.1870
59,1.1870
60,1.1860
61,1.1890
62,1.1860
63,1.1920
64,1.2030
65,1.2080
66,1.1910
67,1.1880
68,1.1950
69,1.1930
70,1.1980
71,1.1920
72,1.1880
73,1.2050
74,1.1430
75,1.1280
76,1.1140
77,1.0990
78,1.1120
79,1.1110
80,1.1220
81,1.1170
82,1.1350
83,1.1430
84,1.1360
85,1.1130
86,1.1290
87,1.1570
88,1.1650
89,1.1680
90,1.1640
91,1.1710
92,1.1660
93,1.1640
94,1.1660
95,1.1540
96,1.1670
97,1.1700
98,1.1720
99,1.1700
100,1.1620
101,1.1490
102,1.1510
103,1.1730
104,1.1720
105,1.1790
106,1.1750
107,1.1350
108,1.1440
109,1.1440
110,1.1570
111,1.1530
112,1.1580
113,1.1660
114,1.1610
115,1.1260
116,1.1390
117,1.1390
118,1.1460
119,1.1520
120,1.1880
121,1.1920
122,1.1900
123,1.1940
124,1.1880
125,1.1750
126,1.1960
127,1.2010
128,1.2000
129,1.1900
130,1.1940
131,1.2050
132,1.2030
133,1.2060
134,1.1870
135,1.1780
136,1.1890
137,1.1770
138,1.1860
139,1.1830
140,1.1830
141,1.1890
142,1.1760
143,1.1870
144,1.1880
145,1.1950
146,1.2090
147,1.2130
148,1.2010
149,1.1970
150,1.2000
151,1.2100
152,1.2030
153,1.1880
154,1.1910
155,1.1890
156,1.1780
157,1.1790
158,1.1810
159,1.1590
160,1.1620
161,1.1600
162,1.1700
163,1.1590
164,1.1560
165,1.0960
166,1.0980
167,1.0880
168,1.0990
169,1.1080
170,1.1060
171,1.1080
172,1.1200
173,1.1180
174,1.1040
175,1.1130
176,1.1100
177,1.1040
178,1.0990
179,1.1030
180,1.1020
181,1.1180
182,1.1310
183,1.1300
184,1.1190
185,1.1190
186,1.1100
187,1.0950
188,1.0780
189,1.0600
190,1.0260
191,1.0430
192,1.0400
193,1.0380
194,1.0540
195,1.0620
196,1.0540
197,1.0580
198,1.0650
199,1.0610
200,1.0780
201,1.0730
202,1.0820
203,1.0880
204,1.0820
205,1.0860
206,1.0810
207,1.0690
208,1.0730
209,1.0690
210,1.0710
211,1.0800
212,1.0860
213,1.0880
214,1.0980
215,1.0930
216,1.0970
217,1.0990
218,1.0870
219,1.0990
220,1.1140
221,1.1130
222,1.1110
223,1.1070
224,1.1070
225,1.1200
226,1.1180
227,1.1160
228,1.1280
229,1.1170
230,1.1200
231,1.1210
232,1.1110
233,1.1100
234,1.1140
235,1.1140
236,1.1110
237,1.0990
238,1.0720
239,1.0780
240,1.0990
241,1.1000
242,1.1000
243,1.0870
244,1.0980
245,1.0830
246,1.0860
247,1.0750
248,1.0590
249,1.0490
250,1.0370
251,1.0360
252,1.0300
253,1.0110
254,1.0130
255,1.0180
256,1.0360
257,1.0390
258,1.0370
259,1.0340
260,1.0340
261,1.0250
262,1.0130
263,1.0240
264,1.0100
265,1.0020
266,0.9970
267,0.9990
268,1.0230
269,1.0260
270,1.0150
271,1.0130
272,0.9870
273,0.9640
274,0.9730
275,0.9770
276,0.9780
277,0.9740
278,0.9450
279,0.9600
280,0.9680
281,0.9700
282,0.9910
283,0.9880
284,0.9860
285,0.9650
286,0.9880
287,0.9920
288,1.0060
289,1.0030
290,1.0080
291,1.0170
292,1.0130
293,0.9930
294,0.9980
295,1.0150
296,1.0100
297,0.9970
298,1.0050
299,1.0080
300,1.0210
301,1.0250
302,1.0370
303,1.0380
304,1.0480
305,1.0380
306,1.0180
307,1.0260
308,1.0190
309,1.0190
310,0.9740
311,0.9700
312,0.9940
313,1.0000
314,1.0040
315,1.0050
316,0.9970
317,1.0010
318,0.9980
319,1.0160
320,1.0330
321,1.0290
322,1.0200
323,1.0260
324,1.0180
325,1.0240
326,1.0120
327,1.0140
328,0.9930
329,0.9600
330,0.9780
331,0.9750
332,0.9720
333,0.9840
334,0.9750
335,0.9860
336,0.9800
337,0.9710
338,0.9630
339,0.9790
340,0.9920
341,0.9970
342,1.0090
343,1.0120
344,1.0220
345,1.0250
346,1.0260
347,1.0340
348,1.0230
349,1.0220
350,1.0350
351,1.0350
352,1.0410
353,1.0360
354,1.0230
355,1.0380
356,1.0270
357,1.0330
358,1.0270
359,1.0240
360,1.0080
361,1.0180
362,1.0290
363,1.0290
364,1.0410
365,1.0560
366,1.0620
367,1.0480
368,1.0460
369,1.0530
370,1.0330
371,1.0370
372,1.0300
373,1.0120
374,1.0210
375,1.0320
376,1.0260
377,1.0370
378,1.0480
379,1.0390
380,1.0220
381,1.0320
382,1.0440
383,1.0380
384,1.0180
385,1.0290
386,1.0330
387,1.0370
388,1.0450
389,1.0620
