data,景顺长城沪深300指数增强型证券投资基金(000311)
1,2.0920
2,2.0930
3,2.0890
4,2.0820
5,2.0710
6,2.0890
7,2.1020
8,2.1010
9,2.1130
10,2.1380
11,1.0000
12,0.9920
13,1.0100
14,1.0450
15,1.0390
16,1.0440
17,1.0380
18,1.0310
19,1.0260
20,1.0260
21,1.0360
22,1.0470
23,1.0470
24,1.0440
25,1.0560
26,1.0710
27,1.0680
28,1.0610
29,1.0620
30,1.0640
31,1.0440
32,1.0430
33,1.0430
34,1.0260
35,1.0190
36,1.0200
37,1.0110
38,0.9850
39,0.9910
40,0.9940
41,1.0020
42,0.9850
43,1.0030
44,1.0050
45,1.0190
46,1.0100
47,0.9920
48,0.9750
49,0.9730
50,0.9760
51,0.9700
52,0.9650
53,0.9580
54,0.9680
55,0.9670
56,0.9670
57,0.9590
58,0.9530
59,0.9620
60,0.9870
61,0.9820
62,0.9860
63,0.9700
64,0.9720
65,0.9760
66,0.9640
67,0.9680
68,0.9900
69,0.9950
70,0.9990
71,0.9950
72,1.0020
73,1.0120
74,1.0000
75,1.0120
76,1.0000
77,0.9920
78,0.9700
79,0.9480
80,0.9490
81,0.9460
82,0.9560
83,0.9630
84,0.9610
85,0.9520
86,0.9570
87,0.9510
88,0.9250
89,0.9290
90,0.9340
91,0.9440
92,0.9410
93,0.9520
94,0.9490
95,0.9420
96,0.9280
97,0.9610
98,0.9660
99,0.9650
100,0.9620
101,0.9570
102,0.9540
103,0.9550
104,0.9630
105,0.9720
106,0.9660
107,0.9740
108,0.9940
109,0.9940
110,1.0090
111,1.0070
112,1.0050
113,0.9880
114,0.9890
115,0.9850
116,0.9820
117,0.9670
118,0.9720
119,0.9720
120,0.9700
121,0.9600
122,0.9470
123,0.9600
124,0.9620
125,0.9640
126,0.9640
127,0.9550
128,0.9550
129,0.9720
130,0.9700
131,0.9600
132,0.9470
133,0.9600
134,0.9620
135,0.9640
136,0.9640
137,0.9550
138,0.9550
139,0.9530
140,0.9720
141,0.9710
142,0.9700
143,0.9570
144,0.9570
145,0.9450
146,0.9460
147,0.9530
148,0.9510
149,0.9590
150,0.9620
151,0.9580
152,0.9680
153,0.9630
154,0.9630
155,0.9600
156,0.9480
157,0.9570
158,0.9510
159,0.9510
160,0.9630
161,0.9620
162,0.9580
163,0.9700
164,0.9780
165,0.9680
166,0.9650
167,0.9510
168,0.9550
169,0.9530
170,0.9580
171,0.9530
172,0.9600
173,0.9620
174,0.9690
175,0.9670
176,0.9710
177,0.9770
178,0.9750
179,0.9740
180,0.9800
181,0.9660
182,0.9670
183,0.9740
184,0.9880
185,0.9840
186,0.9860
187,0.9820
188,0.9860
189,0.9740
190,0.9800
191,0.9660
192,0.9670
193,0.9740
194,0.9880
195,0.9840
196,0.9860
197,0.9820
198,0.9860
199,0.9870
200,0.9990
201,1.0040
202,1.0200
203,1.0300
204,1.0560
205,1.0540
206,1.0480
207,1.0590
208,1.0500
209,1.0720
210,1.0680
211,1.0640
212,1.0480
213,1.0520
214,1.0690
215,1.0630
216,1.0660
217,1.0580
218,1.0710
219,1.0720
220,1.0680
221,1.0640
222,1.0480
223,1.0520
224,1.0690
225,1.0630
226,1.0660
227,1.0580
228,1.0710
229,1.0770
230,1.0730
231,1.0700
232,1.0620
233,1.0690
234,1.0590
235,1.0530
236,1.0580
237,1.0500
238,1.0600
239,1.0690
240,1.0820
241,1.0920
242,1.0980
243,1.1060
244,1.1050
245,1.0970
246,1.0920
247,1.0970
248,1.0960
249,1.0740
250,1.0790
251,1.0810
252,1.0890
253,1.0680
254,1.0780
255,1.0960
256,1.0920
257,1.0930
258,1.0950
259,1.0950
260,1.1050
261,1.1020
262,1.0950
263,1.0900
264,1.0860
265,1.0930
266,1.0880
267,1.0880
268,1.0940
269,1.0950
270,1.1050
271,1.1020
272,1.0950
273,1.0900
274,1.0860
275,1.0930
276,1.0880
277,1.0880
278,1.0940
279,1.0850
280,1.0840
281,1.0760
282,1.0710
283,1.0630
284,1.0880
285,1.1050
286,1.1140
287,1.1340
288,1.1360
289,1.1430
290,1.1400
291,1.1400
292,1.1580
293,1.1860
294,1.2010
295,1.2230
296,1.2400
297,1.2690
298,1.2850
299,1.3360
300,1.3500
301,1.3960
302,1.4040
303,1.4530
304,1.3890
305,1.4260
306,1.4140
307,1.4230
308,1.4360
309,1.3360
310,1.3500
311,1.3960
312,1.4040
313,1.4530
314,1.3890
315,1.4260
316,1.4140
317,1.4230
318,1.4360
319,1.4800
320,1.5050
321,1.4930
322,1.5070
323,1.5110
324,1.4810
325,1.4360
326,1.4820
327,1.5370
328,1.5410
329,1.5460
330,1.5750
331,1.6210
332,1.6270
333,1.6280
334,1.5940
335,1.5860
336,1.5730
337,1.5720
338,1.5670
339,1.6110
340,1.6190
341,1.5090
342,1.5250
343,1.5870
344,1.5930
345,1.5980
346,1.6090
347,1.5970
348,1.5780
349,1.5560
