data,景顺长城研究精选股票型证券投资基金(000688)
1,1.0020
2,1.0090
3,0.9980
4,1.0390
5,1.0500
6,1.0320
7,1.0430
8,1.0550
9,1.0590
10,1.0020
11,1.0090
12,0.9980
13,1.0390
14,1.0500
15,1.0320
16,1.0430
17,1.0550
18,1.0590
19,1.0460
20,1.0290
21,1.0550
22,1.0480
23,1.0330
24,1.0080
25,1.0190
26,1.0010
27,0.9980
28,1.0090
29,1.0080
30,1.0110
31,1.0080
32,1.0150
33,1.0240
34,1.0410
35,1.0450
36,1.0440
37,1.0470
38,1.0480
39,1.1240
40,1.1190
41,1.1150
42,1.1010
43,1.0740
44,1.0650
45,1.0680
46,1.0820
47,1.0900
48,1.0720
49,1.0520
50,1.0700
51,1.0990
52,1.1360
53,1.1260
54,1.1140
55,1.1100
56,1.1100
57,1.1240
58,1.1160
59,1.1390
60,1.1520
61,1.0880
62,1.1220
63,1.1630
64,1.1710
65,1.1650
66,1.1800
67,1.1790
68,1.1590
69,1.1450
70,1.1370
71,1.1290
72,1.1610
73,1.1620
74,1.1550
75,1.1320
76,1.1310
77,1.1580
78,1.1760
79,1.1760
80,1.1900
81,1.2060
82,1.2190
83,1.2060
84,1.2150
85,1.2250
86,1.2480
87,1.2160
88,1.2280
89,1.2210
90,1.1940
91,1.2140
92,1.2260
93,1.2260
94,1.2300
95,1.2480
96,1.2930
97,1.2930
98,1.3070
99,1.3110
100,1.3300
101,1.3690
102,1.3850
103,1.4020
104,1.3590
105,1.3860
106,1.4140
107,1.4180
108,1.4450
109,1.4600
110,1.4940
111,1.5110
112,1.4830
113,1.4690
114,1.5110
115,1.5270
116,1.5090
117,1.4570
118,1.4800
119,1.4920
120,1.4490
121,1.5010
122,1.5390
123,1.5590
124,1.5700
125,1.5570
126,1.5250
127,1.5600
128,1.5650
129,1.5810
130,1.5270
131,1.5200
132,1.5130
133,1.5790
134,1.6570
135,1.6870
136,1.6950
137,1.7020
138,1.7080
139,1.7530
140,1.8130
141,1.8410
142,1.8960
143,1.9370
144,1.9500
145,2.0150
146,2.0050
147,1.8790
148,1.9230
149,2.0140
150,2.0760
151,2.0830
152,2.0600
153,2.0690
154,2.0030
155,1.9850
156,2.0400
157,2.0600
158,2.0770
159,2.0060
160,1.9470
161,1.9780
162,1.8860
163,1.7500
164,1.7760
165,1.7940
166,1.7200
167,1.5600
168,1.4480
169,1.5410
170,1.4530
171,1.3610
172,1.2890
173,1.2500
174,1.2150
175,1.1230
176,1.1820
177,1.2430
178,1.3190
179,1.3640
180,1.3020
181,1.3320
182,1.4150
183,1.4490
184,1.4760
185,1.4880
186,1.5360
187,1.5120
188,1.4090
189,1.3470
190,1.4080
191,1.3690
192,1.3430
193,1.2730
194,1.3510
195,1.3400
196,1.3420
197,1.3950
198,1.4720
199,1.4720
200,1.4380
201,1.4840
202,1.4800
203,1.4880
204,1.3750
205,1.4030
206,1.3500
207,1.2720
208,1.1720
209,1.0810
210,1.0400
211,1.0980
212,1.1770
213,1.1460
214,1.0770
215,1.0540
216,1.0690
217,1.1260
218,1.1740
219,1.1610
220,1.1710
221,1.0970
222,1.0450
223,1.1280
224,1.1190
225,1.1390
226,1.1840
227,1.1840
228,1.1740
229,1.1870
230,1.1430
231,1.1750
232,1.1560
233,1.1650
234,1.2230
235,1.2410
236,1.2800
237,1.2940
238,1.2730
239,1.3170
240,1.3360
241,1.3220
242,1.3490
243,1.2650
244,1.3160
245,1.3540
246,1.3600
247,1.3700
248,1.3310
249,1.3430
250,1.3460
251,1.3200
252,1.3220
253,1.3900
254,1.3820
255,1.4170
256,1.4430
257,1.4440
258,1.4690
259,1.4590
260,1.4110
261,1.4290
262,1.4060
263,1.3820
264,1.4130
265,1.4300
266,1.4180
267,1.4300
268,1.4600
269,1.4460
270,1.3660
271,1.3920
272,1.4000
273,1.3940
274,1.4350
275,1.4240
276,1.4430
277,1.4210
278,1.4310
279,1.4410
