data,民生加银内需增长混合型证券投资基金(690005)
1,1.0000
2,1.0050
3,1.0060
4,1.0020
5,1.0080
6,1.0010
7,0.9960
8,0.9850
9,0.9910
10,0.9760
11,0.9800
12,0.9860
13,0.9840
14,0.9770
15,0.9760
16,0.9740
17,0.9710
18,0.9610
19,0.9630
20,0.9660
21,0.9540
22,0.9550
23,0.9560
24,0.9590
25,0.9600
26,0.9590
27,0.9500
28,0.9510
29,0.9490
30,0.9500
31,0.9530
32,0.9510
33,0.9500
34,0.9360
35,0.9360
36,0.9300
37,0.9230
38,0.9190
39,0.9150
40,0.9240
41,0.9260
42,0.9180
43,0.9250
44,0.9300
45,0.9300
46,0.9180
47,0.9220
48,0.9210
49,0.9300
50,0.9240
51,0.9100
52,0.9080
53,0.9030
54,0.9140
55,0.9130
56,0.9230
57,0.9390
58,0.9450
59,0.9450
60,0.9370
61,0.9500
62,0.9530
63,0.9700
64,0.9740
65,0.9710
66,0.9680
67,0.9680
68,0.9740
69,0.9610
70,0.9740
71,0.9750
72,0.9820
73,0.9850
74,0.9770
75,0.9730
76,0.9620
77,0.9670
78,0.9420
79,0.9480
80,0.9610
81,0.9560
82,0.9420
83,0.9450
84,0.9410
85,0.9410
86,0.9430
87,0.9300
88,0.8960
89,0.8980
90,0.9080
91,0.9250
92,0.9300
93,0.9400
94,0.9320
95,0.9300
96,0.9150
97,0.9080
98,0.8990
99,0.9110
100,0.9130
101,0.9280
102,0.9300
103,0.9220
104,0.9150
105,0.9110
106,0.9070
107,0.8970
108,0.8740
109,0.8690
110,0.8850
111,0.8770
112,0.8730
113,0.8630
114,0.9150
115,0.9110
116,0.9070
117,0.8970
118,0.8740
119,0.8690
120,0.8850
121,0.8770
122,0.8730
123,0.8630
124,0.8720
125,0.8740
126,0.8730
127,0.8560
128,0.8590
129,0.8780
130,0.8580
131,0.8540
132,0.8440
133,0.8480
134,0.8200
135,0.8030
136,0.7930
137,0.8070
138,0.8210
139,0.8260
140,0.8240
141,0.8390
142,0.8440
143,0.8430
144,0.8200
145,0.8030
146,0.7930
147,0.8070
148,0.8210
149,0.8260
150,0.8240
151,0.8390
152,0.8440
153,0.8430
154,0.8630
155,0.8680
156,0.8720
157,0.8690
158,0.8610
159,0.8720
160,0.8590
161,0.8560
162,0.8760
163,0.8800
164,0.8630
165,0.8680
166,0.8720
167,0.8690
168,0.8610
169,0.8720
170,0.8590
171,0.8560
172,0.8760
173,0.8800
174,0.8140
175,0.8240
176,0.8110
177,0.7920
178,0.7910
179,0.7930
180,0.7950
181,0.7880
182,0.7850
183,0.7720
184,0.7650
185,0.7560
186,0.7700
187,0.7750
188,0.7690
189,0.7570
190,0.7540
191,0.7580
192,0.7510
193,0.7360
194,0.7310
195,0.7340
196,0.7440
197,0.7440
198,0.7280
199,0.7110
200,0.7130
201,0.7380
202,0.7590
203,0.7580
204,0.7590
205,0.7380
206,0.7160
207,0.7520
208,0.7430
209,0.7510
210,0.7610
211,0.7520
212,0.7530
213,0.7450
214,0.7570
215,0.7630
216,0.7630
217,0.7540
218,0.7700
219,0.7730
220,0.7750
221,0.7790
222,0.7780
223,0.7860
224,0.7840
225,0.7810
226,0.7810
227,0.7870
228,0.8000
229,0.8020
230,0.8120
231,0.8150
232,0.8150
233,0.8070
234,0.8080
235,0.8210
236,0.8190
237,0.8100
238,0.8060
239,0.8180
240,0.8310
241,0.8350
242,0.8410
243,0.8140
244,0.8090
245,0.8270
246,0.8320
247,0.8140
248,0.8140
249,0.8100
250,0.7970
251,0.8010
252,0.7990
253,0.7750
254,0.7680
255,0.7690
256,0.7910
257,0.7940
258,0.7860
259,0.7930
260,0.7940
261,0.8070
262,0.8090
263,0.8090
264,0.8010
265,0.8180
266,0.8110
267,0.8160
268,0.8070
269,0.8030
270,0.8060
271,0.8060
272,0.8030
273,0.8160
274,0.8220
275,0.8270
276,0.8310
277,0.8280
278,0.8130
279,0.8160
280,0.8140
281,0.8150
282,0.8130
283,0.8050
284,0.8140
285,0.8030
286,0.8080
287,0.8240
288,0.8280
289,0.8190
290,0.8110
291,0.8230
292,0.8380
293,0.8380
294,0.8390
295,0.8410
296,0.8210
297,0.8190
298,0.8140
299,0.8100
300,0.8040
301,0.8220
302,0.8230
303,0.8360
304,0.8270
305,0.8230
306,0.8300
307,0.8190
308,0.8150
309,0.8090
310,0.7900
311,0.7900
312,0.7930
313,0.7870
314,0.8030
315,0.8030
