data,民生加银量化中国灵活配置混合型证券投资基金(002449)
1,1.0000
2,1.0000
3,1.0000
4,1.0000
5,1.0010
6,1.0010
7,1.0050
8,1.0070
9,1.0070
10,1.0060
11,1.0140
12,1.0180
13,1.0180
14,1.0200
15,1.0170
16,1.0260
17,1.0300
18,1.0320
19,1.0340
20,1.0330
21,1.0310
22,1.0370
23,1.0420
24,1.0420
25,1.0390
26,1.0360
27,1.0360
28,1.0370
29,1.0380
30,1.0320
31,1.0320
32,1.0420
33,1.0180
34,1.0190
35,1.0160
36,1.0060
37,1.0110
38,1.0130
39,1.0170
40,1.0140
41,1.0200
42,1.0260
43,1.0230
44,1.0140
45,1.0220
46,1.0370
47,1.0390
48,1.0410
49,1.0390
50,1.0400
51,1.0360
52,1.0370
53,1.0380
54,1.0360
55,1.0380
56,1.0390
57,1.0380
58,1.0390
59,1.0350
60,1.0320
61,1.0340
62,1.0420
63,1.0410
64,1.0410
65,1.0380
66,1.0290
67,1.0310
68,1.0290
69,1.0320
70,1.0330
71,1.0330
72,1.0340
73,1.0330
74,1.0270
75,1.0280
76,1.0280
77,1.0290
78,1.0310
79,1.0430
80,1.0480
81,1.0490
82,1.0460
83,1.0460
84,1.0430
85,1.0480
86,1.0470
87,1.0480
88,1.0470
89,1.0500
90,1.0530
91,1.0500
92,1.0500
93,1.0440
94,1.0450
95,1.0490
96,1.0410
97,1.0420
98,1.0400
99,1.0400
100,1.0420
101,1.0360
102,1.0440
103,1.0470
104,1.0490
105,1.0520
106,1.0540
107,1.0520
108,1.0510
109,1.0530
110,1.0580
111,1.0550
112,1.0540
113,1.0540
114,1.0540
115,1.0520
116,1.0500
117,1.0520
118,1.0470
119,1.0460
120,1.0460
121,1.0500
122,1.0470
123,1.0470
124,1.0300
125,1.0310
126,1.0290
127,1.0300
128,1.0330
129,1.0320
130,1.0310
131,1.0370
132,1.0360
133,1.0310
134,1.0350
135,1.0350
136,1.0330
137,1.0310
138,1.0320
139,1.0320
140,1.0370
141,1.0460
142,1.0440
143,1.0390
144,1.0420
145,1.0390
146,1.0320
147,1.0240
148,1.0150
149,0.9960
150,1.0010
151,1.0020
152,0.9980
153,1.0080
154,1.0140
155,1.0130
156,1.0150
157,1.0190
158,1.0160
159,0.9960
160,1.0010
161,1.0020
162,0.9980
163,1.0080
164,1.0140
165,1.0130
166,1.0150
167,1.0190
168,1.0160
169,1.0230
170,1.0220
171,1.0260
172,1.0320
173,1.0320
174,1.0360
175,1.0370
176,1.0290
177,1.0330
178,1.0270
179,1.0480
180,1.0480
181,1.0480
182,1.0450
183,1.0470
184,1.0490
185,1.0490
186,1.0490
187,1.0510
188,1.0480
189,1.0490
190,1.0500
191,1.0490
192,1.0500
193,1.0510
194,1.0500
195,1.0500
196,1.0490
197,1.0480
198,1.0480
199,1.0500
200,1.0490
201,1.0480
202,1.0430
203,1.0460
204,1.0450
205,1.0450
206,1.0390
207,1.0340
208,1.0280
209,1.0240
210,1.0240
211,1.0260
212,1.0240
213,1.0240
214,1.0230
215,1.0240
216,1.0230
217,1.0230
218,1.0210
219,1.0190
220,1.0140
221,1.0050
222,1.0080
223,1.0020
224,1.0040
225,1.0030
226,1.0050
227,1.0150
228,1.0150
229,1.0130
230,1.0120
231,1.0080
232,0.9980
233,1.0000
234,1.0040
235,1.0040
236,1.0020
237,0.9940
238,0.9970
239,1.0000
240,1.0020
241,1.0120
242,1.0130
243,1.0140
244,1.0100
245,1.0160
246,1.0090
247,1.0120
248,1.0110
249,1.0170
250,1.0160
251,1.0240
252,1.0160
253,1.0230
254,1.0360
255,1.0390
256,1.0320
257,1.0380
258,1.0410
259,1.0400
260,1.0330
261,1.0420
262,1.0410
263,1.0420
264,1.0380
265,1.0350
266,1.0360
267,1.0380
268,1.0390
269,1.0180
270,1.0200
271,1.0370
272,1.0430
273,1.0430
274,1.0470
275,1.0430
276,1.0400
277,1.0420
278,1.0470
279,1.0570
280,1.0580
281,1.0540
282,1.0520
283,1.0470
284,1.0560
285,1.0560
286,1.0650
287,1.0620
288,1.0430
289,1.0570
290,1.0600
291,1.0600
292,1.0650
293,1.0630
294,1.0700
295,1.0690
296,1.0680
297,1.0620
298,1.0740
299,1.0850
300,1.0840
301,1.0870
302,1.0870
303,1.0900
304,1.0940
305,1.0960
306,1.0960
307,1.0910
308,1.0920
309,1.1000
310,1.1020
311,1.1070
312,1.1060
313,1.1010
314,1.1080
315,1.1020
316,1.1090
317,1.1030
318,1.1010
319,1.0950
320,1.0970
321,1.1040
322,1.1030
323,1.1110
324,1.1220
325,1.1280
326,1.1260
327,1.1270
328,1.1330
329,1.1240
330,1.1250
331,1.1230
332,1.1180
333,1.1230
334,1.1290
335,1.1300
336,1.1410
337,1.1450
338,1.1430
339,1.1290
340,1.1350
341,1.1330
342,1.1250
343,1.1150
344,1.1190
345,1.1240
346,1.1260
347,1.1310
348,1.1370
