data,泰达宏利价值优化型成长类行业混合型证券投资基金(162201)
1,1.0004
2,1.0005
3,1.0003
4,0.9991
5,0.9991
6,0.9996
7,0.9976
8,0.9957
9,0.9938
10,0.9938
11,0.9923
12,0.9953
13,0.9917
14,0.9922
15,0.9922
16,0.9942
17,0.9957
18,0.9953
19,0.9971
20,0.9987
21,0.9983
22,1.0074
23,1.0073
24,1.0066
25,1.0048
26,1.0083
27,1.0129
28,1.0010
29,1.0000
30,1.0026
31,1.0052
32,0.9985
33,0.9954
34,0.9945
35,0.9978
36,0.9993
37,1.0027
38,1.0057
39,1.0107
40,1.0090
41,1.0041
42,1.0017
43,0.9953
44,0.9974
45,1.0028
46,0.9918
47,0.9921
48,0.9931
49,0.9915
50,0.9929
51,0.9879
52,0.9892
53,0.9845
54,0.9730
55,0.9734
56,0.9733
57,0.9701
58,0.9740
59,0.9862
60,0.9897
61,0.9879
62,0.9865
63,0.9791
64,0.9758
65,0.9719
66,0.9748
67,0.9748
68,0.9657
69,0.9598
70,0.9670
71,0.9602
72,0.9616
73,0.9646
74,0.9610
75,0.9624
76,0.9637
77,0.9540
78,0.9505
79,0.9385
80,0.9410
81,0.9405
82,0.9412
83,0.9561
84,0.9528
85,0.9468
86,0.9450
87,0.9367
88,0.9392
89,0.9329
90,0.9363
91,0.9485
92,0.9430
93,0.9418
94,0.9356
95,0.9362
96,0.9347
97,0.9323
98,0.9332
99,0.9373
100,0.9460
101,0.9408
102,0.9249
103,0.9200
104,0.9215
105,0.9137
106,0.9022
107,0.9052
108,0.9103
109,0.9072
110,0.9038
111,0.9120
112,0.9281
113,0.9190
114,0.9369
115,0.9333
116,0.9347
117,0.9262
118,0.9295
119,0.9439
120,0.9439
121,0.9486
122,0.9486
123,0.9482
124,0.9460
125,0.9516
126,0.9627
127,0.9621
128,0.9609
129,0.9606
130,0.9553
131,0.9506
132,0.9539
133,0.9515
134,0.9624
135,0.9675
136,0.9813
137,0.9886
138,0.9918
139,0.9871
140,0.9924
141,0.9859
142,0.9933
143,1.0174
144,1.0385
145,1.0448
146,1.0664
147,1.0611
148,1.0838
149,1.0754
150,1.0729
151,1.0754
152,1.0846
153,1.1156
154,1.1264
155,1.1491
156,1.1422
157,1.1624
158,1.1652
159,1.1515
160,1.1618
161,1.1511
162,1.1574
163,1.1475
164,1.1500
165,1.1728
166,1.1846
167,1.1876
168,1.1818
169,1.1797
170,1.1536
171,1.1628
172,1.1453
173,1.1414
174,1.1579
175,1.1645
176,1.1568
177,1.1420
178,1.1442
179,1.1390
180,1.1243
181,1.1224
182,1.1419
183,1.1446
184,1.1494
185,1.1721
186,1.1801
187,1.1821
188,1.1666
189,1.1777
190,1.1799
191,1.1693
192,1.0920
193,1.1004
194,1.1057
195,1.1030
196,1.1055
197,1.1128
198,1.1219
199,1.1258
200,1.1292
201,1.1374
202,1.1329
203,1.1359
204,1.1172
205,1.1228
206,1.1102
207,1.0949
208,1.0935
209,1.1060
210,1.1032
211,1.0996
212,1.0832
213,1.0875
214,1.0924
215,1.1054
216,1.0972
217,1.0905
218,1.0759
219,1.0857
220,1.0671
221,1.0679
222,1.0792
223,1.0808
224,1.0676
225,1.0600
226,1.0580
227,1.0620
228,1.0583
229,1.0649
230,1.0632
231,1.0515
232,1.0575
233,1.0763
234,1.0775
235,1.0778
236,1.0904
237,1.0836
238,1.0705
239,1.0722
240,1.0663
241,1.0596
242,1.0516
243,1.0474
244,1.0451
245,1.0317
246,1.0385
247,1.0435
248,1.0320
249,1.0225
250,1.0237
251,1.0347
252,1.0298
253,1.0309
254,1.0225
255,1.0129
256,1.0197
257,1.0193
258,1.0412
259,1.0419
260,1.0410
261,1.0459
262,1.0398
263,1.0404
264,1.0405
265,1.0295
266,1.0331
267,1.0369
268,1.0476
269,1.0695
270,1.0702
271,1.0675
272,1.0711
273,1.0565
274,1.0546
275,1.0468
276,1.0430
277,1.0474
278,1.0546
279,1.0475
280,1.0451
281,1.0406
282,1.0522
283,1.0425
284,1.0413
285,1.0341
286,1.0340
287,1.0282
288,1.0257
289,1.0295
290,1.0225
291,1.0247
292,1.0234
293,1.0182
294,1.0200
295,1.0106
296,1.0144
297,1.0113
298,1.0099
299,1.0052
300,1.0016
301,1.0134
302,1.0038
303,1.0094
304,1.0093
305,1.0060
306,1.0060
307,1.0006
308,0.9911
309,0.9915
310,0.9792
311,0.9946
312,1.0218
313,1.0264
314,1.0522
315,1.0747
316,1.0700
317,1.0613
318,1.0865
319,1.0799
320,1.0780
321,1.0943
322,1.0887
323,1.0838
324,1.1060
325,1.1076
326,1.0885
327,1.0926
328,1.0639
329,1.0671
330,1.0670
331,1.0690
332,1.0779
333,1.0804
334,1.0971
335,1.0984
336,1.1082
337,1.1170
338,1.1141
339,1.1051
340,1.0864
341,1.0825
342,1.0935
343,1.0757
344,1.0721
345,1.0688
346,1.0718
