data,泰达宏利复兴伟业灵活配置混合型证券投资基金(001170)
1,0.9990
2,1.0020
3,1.0220
4,1.0950
5,1.2390
6,1.2770
7,1.3680
8,1.3660
9,1.2020
10,1.1330
11,1.1120
12,1.0320
13,1.0160
14,1.0210
15,1.0300
16,1.0490
17,1.0540
18,1.0410
19,1.0400
20,1.0570
21,1.0670
22,1.0700
23,1.0740
24,1.0840
25,1.0710
26,1.0340
27,1.0200
28,1.0370
29,1.0240
30,1.0150
31,1.0000
32,1.0110
33,1.0060
34,1.0040
35,1.0100
36,1.0330
37,1.0350
38,1.0170
39,1.0270
40,1.0330
41,1.0400
42,0.9840
43,0.9960
44,0.9660
45,0.9250
46,0.8710
47,0.8390
48,0.8200
49,0.8290
50,0.8560
51,0.8530
52,0.8320
53,0.8220
54,0.8170
55,0.8280
56,0.8440
57,0.8380
58,0.8370
59,0.8140
60,0.7910
61,0.8160
62,0.8090
63,0.8120
64,0.8290
65,0.8310
66,0.8240
67,0.8370
68,0.8190
69,0.8280
70,0.8170
71,0.8240
72,0.8520
73,0.8690
74,0.8940
75,0.9100
76,0.9060
77,0.9280
78,0.9380
79,0.9300
80,0.9490
81,0.8940
82,0.9250
83,0.9430
84,0.9510
85,0.9630
86,0.9390
87,0.9450
88,0.9360
89,0.9140
90,0.9140
91,0.9600
92,0.9640
93,0.9900
94,0.9970
95,0.9930
96,1.0060
97,1.0030
98,0.9830
99,0.9900
100,0.9850
101,0.9690
102,0.9900
103,0.9930
104,0.9920
105,1.0000
106,1.0140
107,1.0030
108,0.9410
109,0.9370
110,0.9320
111,0.9470
112,0.9580
113,0.9460
114,0.9550
115,0.9400
116,0.9380
117,0.9300
118,0.9220
119,0.9340
120,0.9430
121,0.9460
122,0.9650
123,0.9600
124,0.9630
125,0.9690
126,0.9600
127,0.9600
128,0.9680
129,0.9500
130,0.9660
131,0.9780
132,0.9670
133,0.8830
134,0.8670
135,0.8900
136,0.8080
137,0.8120
138,0.7460
139,0.7350
140,0.7060
141,0.7360
142,0.7160
143,0.7320
144,0.7600
145,0.7520
146,0.7170
147,0.7260
148,0.7320
149,0.6920
150,0.6810
151,0.6670
152,0.6810
153,0.6780
154,0.6890
155,0.6890
156,0.6940
157,0.6910
158,0.6890
159,0.7040
160,0.7080
161,0.7060
162,0.7080
163,0.7190
164,0.7180
165,0.7110
166,0.6780
167,0.6840
168,0.6660
169,0.6710
170,0.6900
171,0.6850
172,0.6800
173,0.6830
174,0.6800
175,0.6710
176,0.6640
177,0.6630
178,0.6720
179,0.6680
180,0.6660
181,0.6740
182,0.6850
183,0.6930
184,0.6910
185,0.6920
186,0.6870
187,0.6910
188,0.6850
189,0.6770
190,0.6930
191,0.6930
192,0.6940
193,0.7020
194,0.7040
195,0.6980
196,0.6940
197,0.7060
198,0.7000
