data,泰达宏利睿智稳健灵活配置混合型证券投资基金(003501)
1,1.0091
2,1.0109
3,1.0085
4,1.0014
5,0.9962
6,1.0028
7,1.0049
8,1.0052
9,1.0103
10,1.0115
11,1.0001
12,0.9927
13,0.9952
14,0.9901
15,0.9878
16,0.9890
17,0.9889
18,0.9890
19,0.9969
20,0.9958
21,0.9928
22,0.9956
23,0.9946
24,0.9900
25,0.9848
26,0.9785
27,0.9607
28,0.9596
29,0.9581
30,0.9554
31,0.9629
32,0.9668
33,0.9670
34,0.9682
35,0.9707
36,0.9677
37,0.9849
38,0.9880
39,0.9910
40,0.9888
41,0.9893
42,0.9855
43,0.9873
44,0.9890
45,0.9852
46,0.9863
47,0.9849
48,0.9880
49,0.9910
50,0.9888
51,0.9893
52,0.9855
53,0.9873
54,0.9890
55,0.9852
56,0.9863
57,0.9926
58,0.9934
59,0.9903
60,0.9873
61,0.9877
62,0.9906
63,0.9893
64,0.9885
65,0.9931
66,0.9887
67,0.9911
68,0.9917
69,0.9894
70,0.9893
71,0.9900
72,0.9872
73,0.9866
74,0.9820
75,0.9725
76,0.9743
77,0.9911
78,0.9917
79,0.9894
80,0.9893
81,0.9900
82,0.9872
83,0.9866
84,0.9820
85,0.9725
86,0.9743
87,0.9869
88,0.9895
89,0.9901
90,0.9897
91,0.9952
92,0.9920
93,0.9955
94,0.9883
95,0.9821
96,0.9788
97,0.9869
98,0.9895
99,0.9901
100,0.9897
101,0.9952
102,0.9920
103,0.9955
104,0.9883
105,0.9821
106,0.9788
107,0.9706
108,0.9677
109,0.9655
110,0.9530
111,0.9543
112,0.9551
113,0.9559
114,0.9594
115,0.9595
116,0.9567
